BA,Mean_Load_Ratio,Mean_Solar_Ratio,Mean_Wind_Ratio
AVA,1.082,0.967,1.02
AZPS,1.117,0.984,0.958
BANC,1.13,0.946,-999.0
BPAT,1.061,1.022,1.067
CISO,1.096,1.02,1.074
EPE,1.109,1.035,1.031
IID,1.112,0.951,-999.0
IPCO,1.096,0.993,1.039
LDWP,1.095,0.994,1.025
NEVP,1.158,1.064,0.938
NWMT,1.079,0.998,0.963
PACE,1.094,1.021,1.079
PACW,1.078,0.983,1.074
PGE,1.112,0.982,1.078
PNM,1.119,0.982,1.133
PSCO,1.145,1.016,1.098
PSEI,1.062,0.993,1.011
SRP,1.097,1.031,0.965
TEPC,1.101,1.007,0.778
WACM,1.115,1.017,1.055
WALC,1.066,1.056,0.871
WAUW,1.111,-999.0,0.814
