Time_UTC,Load,BA
2017-01-01 00:00:00,2352.86,AECI
2017-01-01 01:00:00,2450.48,AECI
2017-01-01 02:00:00,2549.79,AECI
2017-01-01 03:00:00,2570.02,AECI
2017-01-01 04:00:00,2486.12,AECI
2017-01-01 05:00:00,2415.38,AECI
2017-01-01 06:00:00,2375.41,AECI
2017-01-01 07:00:00,2323.3,AECI
2017-01-01 08:00:00,2316.4,AECI
2017-01-01 09:00:00,2331.43,AECI
2017-01-01 10:00:00,2356.48,AECI
2017-01-01 11:00:00,2404.95,AECI
2017-01-01 12:00:00,2459.1,AECI
2017-01-01 13:00:00,2514.08,AECI
2017-01-01 14:00:00,2602.62,AECI
2017-01-01 15:00:00,2686.58,AECI
2017-01-01 16:00:00,2673.72,AECI
2017-01-01 17:00:00,2611.57,AECI
2017-01-01 18:00:00,2555.29,AECI
2017-01-01 19:00:00,2486.51,AECI
2017-01-01 20:00:00,2417.05,AECI
2017-01-01 21:00:00,2374.92,AECI
2017-01-01 22:00:00,2324.32,AECI
2017-01-01 23:00:00,2322.71,AECI
2017-01-02 00:00:00,2612.84,AECI
2017-01-02 01:00:00,2677.66,AECI
2017-01-02 02:00:00,2736.14,AECI
2017-01-02 03:00:00,2707.26,AECI
2017-01-02 04:00:00,2567.01,AECI
2017-01-02 05:00:00,2431.25,AECI
2017-01-02 06:00:00,2277.69,AECI
2017-01-02 07:00:00,2164.81,AECI
2017-01-02 08:00:00,2071.74,AECI
2017-01-02 09:00:00,2038.89,AECI
2017-01-02 10:00:00,2048.91,AECI
2017-01-02 11:00:00,2073.68,AECI
2017-01-02 12:00:00,2121.3,AECI
2017-01-02 13:00:00,2160.18,AECI
2017-01-02 14:00:00,2182.67,AECI
2017-01-02 15:00:00,2232.23,AECI
2017-01-02 16:00:00,2248.51,AECI
2017-01-02 17:00:00,2238.97,AECI
2017-01-02 18:00:00,2241.82,AECI
2017-01-02 19:00:00,2228.64,AECI
2017-01-02 20:00:00,2210.63,AECI
2017-01-02 21:00:00,2176.38,AECI
2017-01-02 22:00:00,2136.1,AECI
2017-01-02 23:00:00,2131.91,AECI
2017-01-03 00:00:00,2251.19,AECI
2017-01-03 01:00:00,2308.31,AECI
2017-01-03 02:00:00,2342.46,AECI
2017-01-03 03:00:00,2319.3,AECI
2017-01-03 04:00:00,2220.91,AECI
2017-01-03 05:00:00,2122.23,AECI
2017-01-03 06:00:00,2028.73,AECI
2017-01-03 07:00:00,1962.39,AECI
2017-01-03 08:00:00,1987.94,AECI
2017-01-03 09:00:00,2064.56,AECI
2017-01-03 10:00:00,2150.1,AECI
2017-01-03 11:00:00,2227.65,AECI
2017-01-03 12:00:00,2311.78,AECI
2017-01-03 13:00:00,2406.21,AECI
2017-01-03 14:00:00,2524.94,AECI
2017-01-03 15:00:00,2680.28,AECI
2017-01-03 16:00:00,2788.29,AECI
2017-01-03 17:00:00,2864.07,AECI
2017-01-03 18:00:00,2931.59,AECI
