Time_UTC,Load,BA
2017-01-01 00:00:00,1743.69,AVA
2017-01-01 01:00:00,1842.06,AVA
2017-01-01 02:00:00,1915.32,AVA
2017-01-01 03:00:00,1906.79,AVA
2017-01-01 04:00:00,1866.39,AVA
2017-01-01 05:00:00,1819.6,AVA
2017-01-01 06:00:00,1789.74,AVA
2017-01-01 07:00:00,1726.93,AVA
2017-01-01 08:00:00,1636.11,AVA
2017-01-01 09:00:00,1577.37,AVA
2017-01-01 10:00:00,1539.81,AVA
2017-01-01 11:00:00,1527.29,AVA
2017-01-01 12:00:00,1552.96,AVA
2017-01-01 13:00:00,1565.06,AVA
2017-01-01 14:00:00,1592.53,AVA
2017-01-01 15:00:00,1639.39,AVA
2017-01-01 16:00:00,1695.02,AVA
2017-01-01 17:00:00,1751.44,AVA
2017-01-01 18:00:00,1793.18,AVA
2017-01-01 19:00:00,1808.29,AVA
2017-01-01 20:00:00,1807.99,AVA
2017-01-01 21:00:00,1809.16,AVA
2017-01-01 22:00:00,1802.01,AVA
2017-01-01 23:00:00,1789.7,AVA
2017-01-02 00:00:00,1792.55,AVA
2017-01-02 01:00:00,1863.69,AVA
2017-01-02 02:00:00,1924.6,AVA
2017-01-02 03:00:00,1971.12,AVA
2017-01-02 04:00:00,1933.05,AVA
2017-01-02 05:00:00,1855.38,AVA
2017-01-02 06:00:00,1779.67,AVA
2017-01-02 07:00:00,1713.99,AVA
2017-01-02 08:00:00,1666.4,AVA
2017-01-02 09:00:00,1628.54,AVA
2017-01-02 10:00:00,1607.68,AVA
2017-01-02 11:00:00,1607.35,AVA
2017-01-02 12:00:00,1637.94,AVA
2017-01-02 13:00:00,1692.01,AVA
2017-01-02 14:00:00,1760.1,AVA
2017-01-02 15:00:00,1818.88,AVA
2017-01-02 16:00:00,1900.52,AVA
2017-01-02 17:00:00,1971.59,AVA
2017-01-02 18:00:00,1993.14,AVA
2017-01-02 19:00:00,1989.42,AVA
2017-01-02 20:00:00,1972.39,AVA
2017-01-02 21:00:00,1951.51,AVA
2017-01-02 22:00:00,1929.07,AVA
2017-01-02 23:00:00,1913.2,AVA
2017-01-03 00:00:00,2005.92,AVA
2017-01-03 01:00:00,2063.08,AVA
2017-01-03 02:00:00,2112.17,AVA
2017-01-03 03:00:00,2155.34,AVA
2017-01-03 04:00:00,2135.55,AVA
2017-01-03 05:00:00,2069.04,AVA
2017-01-03 06:00:00,2001.11,AVA
2017-01-03 07:00:00,1930.44,AVA
2017-01-03 08:00:00,1866.84,AVA
2017-01-03 09:00:00,1813.15,AVA
2017-01-03 10:00:00,1791.81,AVA
2017-01-03 11:00:00,1825.99,AVA
2017-01-03 12:00:00,1888.67,AVA
2017-01-03 13:00:00,1964.28,AVA
