Time_UTC,Load,BA
2017-01-01 00:00:00,1786.16,BANC
2017-01-01 01:00:00,2013.6,BANC
2017-01-01 02:00:00,2067.32,BANC
2017-01-01 03:00:00,2128.91,BANC
2017-01-01 04:00:00,2113.8,BANC
2017-01-01 05:00:00,2024.15,BANC
2017-01-01 06:00:00,1928.33,BANC
2017-01-01 07:00:00,1843.94,BANC
2017-01-01 08:00:00,1755.1,BANC
2017-01-01 09:00:00,1677.34,BANC
2017-01-01 10:00:00,1599.87,BANC
2017-01-01 11:00:00,1575.61,BANC
2017-01-01 12:00:00,1576.06,BANC
2017-01-01 13:00:00,1584.01,BANC
2017-01-01 14:00:00,1609.83,BANC
2017-01-01 15:00:00,1636.14,BANC
2017-01-01 16:00:00,1690.93,BANC
2017-01-01 17:00:00,1740.68,BANC
2017-01-01 18:00:00,1815.42,BANC
2017-01-01 19:00:00,1840.29,BANC
2017-01-01 20:00:00,1817.07,BANC
2017-01-01 21:00:00,1781.04,BANC
2017-01-01 22:00:00,1728.49,BANC
2017-01-01 23:00:00,1678.14,BANC
2017-01-02 00:00:00,1820.07,BANC
2017-01-02 01:00:00,2024.94,BANC
2017-01-02 02:00:00,2074.16,BANC
2017-01-02 03:00:00,2139.24,BANC
2017-01-02 04:00:00,2121.29,BANC
2017-01-02 05:00:00,2036.27,BANC
2017-01-02 06:00:00,1947.87,BANC
2017-01-02 07:00:00,1873.47,BANC
2017-01-02 08:00:00,1784.63,BANC
2017-01-02 09:00:00,1691.26,BANC
2017-01-02 10:00:00,1607.51,BANC
2017-01-02 11:00:00,1587.09,BANC
2017-01-02 12:00:00,1571.75,BANC
2017-01-02 13:00:00,1598.22,BANC
2017-01-02 14:00:00,1658.09,BANC
2017-01-02 15:00:00,1719.41,BANC
2017-01-02 16:00:00,1811.74,BANC
2017-01-02 17:00:00,1903.23,BANC
2017-01-02 18:00:00,1924.83,BANC
2017-01-02 19:00:00,1943.41,BANC
2017-01-02 20:00:00,1965.3,BANC
2017-01-02 21:00:00,1968.93,BANC
2017-01-02 22:00:00,1997.63,BANC
2017-01-02 23:00:00,1989.4,BANC
2017-01-03 00:00:00,2109.63,BANC
2017-01-03 01:00:00,2204.97,BANC
2017-01-03 02:00:00,2245.59,BANC
2017-01-03 03:00:00,2287.56,BANC
2017-01-03 04:00:00,2324.95,BANC
2017-01-03 05:00:00,2215.39,BANC
2017-01-03 06:00:00,2079.44,BANC
2017-01-03 07:00:00,1956.68,BANC
2017-01-03 08:00:00,1830.24,BANC
2017-01-03 09:00:00,1715.57,BANC
2017-01-03 10:00:00,1674.74,BANC
2017-01-03 11:00:00,1692.1,BANC
2017-01-03 12:00:00,1716.57,BANC
2017-01-03 13:00:00,1782.64,BANC
2017-01-03 14:00:00,1860.37,BANC
2017-01-03 15:00:00,1929.37,BANC
