Time_UTC,Load,BA
2017-01-01 00:00:00,8010.42,BPAT
2017-01-01 01:00:00,8390.86,BPAT
2017-01-01 02:00:00,8694.79,BPAT
2017-01-01 03:00:00,8721.71,BPAT
2017-01-01 04:00:00,8520.43,BPAT
2017-01-01 05:00:00,8270.66,BPAT
2017-01-01 06:00:00,8038.85,BPAT
2017-01-01 07:00:00,7856.38,BPAT
2017-01-01 08:00:00,7523.43,BPAT
2017-01-01 09:00:00,7262.2,BPAT
2017-01-01 10:00:00,7097.31,BPAT
2017-01-01 11:00:00,7075.16,BPAT
2017-01-01 12:00:00,7112.83,BPAT
2017-01-01 13:00:00,7385.87,BPAT
2017-01-01 14:00:00,7619.98,BPAT
2017-01-01 15:00:00,7858.16,BPAT
2017-01-01 16:00:00,8157.24,BPAT
2017-01-01 17:00:00,8393.49,BPAT
2017-01-01 18:00:00,8568.62,BPAT
2017-01-01 19:00:00,8526.41,BPAT
2017-01-01 20:00:00,8450.49,BPAT
2017-01-01 21:00:00,8352.34,BPAT
2017-01-01 22:00:00,8193.77,BPAT
2017-01-01 23:00:00,8007.53,BPAT
2017-01-02 00:00:00,8022.84,BPAT
2017-01-02 01:00:00,8403.76,BPAT
2017-01-02 02:00:00,8682.57,BPAT
2017-01-02 03:00:00,8891.84,BPAT
2017-01-02 04:00:00,8734.07,BPAT
2017-01-02 05:00:00,8397.88,BPAT
2017-01-02 06:00:00,8074.99,BPAT
2017-01-02 07:00:00,7790.81,BPAT
2017-01-02 08:00:00,7494.72,BPAT
2017-01-02 09:00:00,7285.69,BPAT
2017-01-02 10:00:00,7235.3,BPAT
2017-01-02 11:00:00,7335.63,BPAT
2017-01-02 12:00:00,7585.31,BPAT
2017-01-02 13:00:00,7902.34,BPAT
2017-01-02 14:00:00,8239.71,BPAT
2017-01-02 15:00:00,8578.81,BPAT
2017-01-02 16:00:00,8972.06,BPAT
2017-01-02 17:00:00,9489.9,BPAT
2017-01-02 18:00:00,9458.86,BPAT
2017-01-02 19:00:00,9256.83,BPAT
