Time_UTC,Load,BA
2017-01-01 00:00:00,337.31,CHPD
2017-01-01 01:00:00,331.15,CHPD
2017-01-01 02:00:00,318.78,CHPD
2017-01-01 03:00:00,312.71,CHPD
2017-01-01 04:00:00,305.19,CHPD
2017-01-01 05:00:00,300.34,CHPD
2017-01-01 06:00:00,297.15,CHPD
2017-01-01 07:00:00,288.05,CHPD
2017-01-01 08:00:00,284.39,CHPD
2017-01-01 09:00:00,281.99,CHPD
2017-01-01 10:00:00,286.59,CHPD
2017-01-01 11:00:00,290.79,CHPD
2017-01-01 12:00:00,294.07,CHPD
2017-01-01 13:00:00,296.44,CHPD
2017-01-01 14:00:00,305.88,CHPD
2017-01-01 15:00:00,314.3,CHPD
2017-01-01 16:00:00,322.62,CHPD
2017-01-01 17:00:00,326.25,CHPD
2017-01-01 18:00:00,323.33,CHPD
2017-01-01 19:00:00,316.65,CHPD
2017-01-01 20:00:00,319.83,CHPD
2017-01-01 21:00:00,321.29,CHPD
2017-01-01 22:00:00,318.92,CHPD
2017-01-01 23:00:00,317.12,CHPD
2017-01-02 00:00:00,304.95,CHPD
2017-01-02 01:00:00,314.01,CHPD
2017-01-02 02:00:00,312.24,CHPD
2017-01-02 03:00:00,298.99,CHPD
2017-01-02 04:00:00,294.47,CHPD
2017-01-02 05:00:00,294.77,CHPD
2017-01-02 06:00:00,295.3,CHPD
2017-01-02 07:00:00,292.17,CHPD
2017-01-02 08:00:00,282.35,CHPD
2017-01-02 09:00:00,277.49,CHPD
2017-01-02 10:00:00,284.65,CHPD
2017-01-02 11:00:00,293.6,CHPD
2017-01-02 12:00:00,304.68,CHPD
2017-01-02 13:00:00,316.77,CHPD
2017-01-02 14:00:00,327.55,CHPD
2017-01-02 15:00:00,339.82,CHPD
2017-01-02 16:00:00,350.11,CHPD
2017-01-02 17:00:00,359.28,CHPD
2017-01-02 18:00:00,348.89,CHPD
2017-01-02 19:00:00,339.19,CHPD
2017-01-02 20:00:00,333.15,CHPD
2017-01-02 21:00:00,330.94,CHPD
2017-01-02 22:00:00,333.83,CHPD
2017-01-02 23:00:00,347.59,CHPD
2017-01-03 00:00:00,398.12,CHPD
2017-01-03 01:00:00,408.03,CHPD
2017-01-03 02:00:00,404.85,CHPD
2017-01-03 03:00:00,401.24,CHPD
2017-01-03 04:00:00,397.02,CHPD
2017-01-03 05:00:00,392.48,CHPD
2017-01-03 06:00:00,387.25,CHPD
2017-01-03 07:00:00,381.58,CHPD
2017-01-03 08:00:00,377.43,CHPD
2017-01-03 09:00:00,382.46,CHPD
2017-01-03 10:00:00,391.07,CHPD
2017-01-03 11:00:00,401.32,CHPD
2017-01-03 12:00:00,414.74,CHPD
2017-01-03 13:00:00,427.56,CHPD
2017-01-03 14:00:00,442.79,CHPD
2017-01-03 15:00:00,459.11,CHPD
2017-01-03 16:00:00,471.01,CHPD
2017-01-03 17:00:00,474.71,CHPD
2017-01-03 18:00:00,453.22,CHPD
2017-01-03 19:00:00,431.62,CHPD
2017-01-03 20:00:00,422.06,CHPD
2017-01-03 21:00:00,419.63,CHPD
2017-01-03 22:00:00,424.9,CHPD
2017-01-03 23:00:00,432.76,CHPD
2017-01-04 00:00:00,384.28,CHPD
2017-01-04 01:00:00,404.84,CHPD
2017-01-04 02:00:00,407.69,CHPD
2017-01-04 03:00:00,407.86,CHPD
2017-01-04 04:00:00,406.13,CHPD
2017-01-04 05:00:00,404.17,CHPD
2017-01-04 06:00:00,399.77,CHPD
2017-01-04 07:00:00,394.29,CHPD
2017-01-04 08:00:00,386.77,CHPD
2017-01-04 09:00:00,390.22,CHPD
2017-01-04 10:00:00,395.84,CHPD
2017-01-04 11:00:00,406.23,CHPD
2017-01-04 12:00:00,417.96,CHPD
2017-01-04 13:00:00,429.97,CHPD
2017-01-04 14:00:00,444.2,CHPD
2017-01-04 15:00:00,456.12,CHPD
2017-01-04 16:00:00,464.42,CHPD
2017-01-04 17:00:00,467.87,CHPD
2017-01-04 18:00:00,447.8,CHPD
2017-01-04 19:00:00,428.5,CHPD
2017-01-04 20:00:00,415.99,CHPD
2017-01-04 21:00:00,410.81,CHPD
2017-01-04 22:00:00,410.53,CHPD
2017-01-04 23:00:00,415.57,CHPD
2017-01-05 00:00:00,370.28,CHPD
2017-01-05 01:00:00,385.43,CHPD
2017-01-05 02:00:00,386.16,CHPD
2017-01-05 03:00:00,385.06,CHPD
2017-01-05 04:00:00,383.41,CHPD
2017-01-05 05:00:00,378.37,CHPD
2017-01-05 06:00:00,370.92,CHPD
2017-01-05 07:00:00,363.16,CHPD
2017-01-05 08:00:00,361.06,CHPD
2017-01-05 09:00:00,364.45,CHPD
2017-01-05 10:00:00,374.6,CHPD
2017-01-05 11:00:00,388.12,CHPD
2017-01-05 12:00:00,401.72,CHPD
2017-01-05 13:00:00,413.52,CHPD
2017-01-05 14:00:00,429.19,CHPD
2017-01-05 15:00:00,444.18,CHPD
2017-01-05 16:00:00,456.73,CHPD
2017-01-05 17:00:00,453.27,CHPD
2017-01-05 18:00:00,427.95,CHPD
2017-01-05 19:00:00,398.67,CHPD
2017-01-05 20:00:00,383.04,CHPD
2017-01-05 21:00:00,374.06,CHPD
2017-01-05 22:00:00,372.41,CHPD
2017-01-05 23:00:00,380.6,CHPD
2017-01-06 00:00:00,367.99,CHPD
2017-01-06 01:00:00,398.42,CHPD
2017-01-06 02:00:00,402.88,CHPD
2017-01-06 03:00:00,403.9,CHPD
2017-01-06 04:00:00,402.53,CHPD
2017-01-06 05:00:00,398.75,CHPD
2017-01-06 06:00:00,395.76,CHPD
2017-01-06 07:00:00,388.89,CHPD
2017-01-06 08:00:00,381.64,CHPD
2017-01-06 09:00:00,382.02,CHPD
2017-01-06 10:00:00,388.86,CHPD
2017-01-06 11:00:00,402.07,CHPD
2017-01-06 12:00:00,416.02,CHPD
2017-01-06 13:00:00,430.14,CHPD
2017-01-06 14:00:00,443.49,CHPD
2017-01-06 15:00:00,457.78,CHPD
2017-01-06 16:00:00,468.25,CHPD
2017-01-06 17:00:00,468.17,CHPD
2017-01-06 18:00:00,435.38,CHPD
2017-01-06 19:00:00,406.89,CHPD
2017-01-06 20:00:00,391.19,CHPD
2017-01-06 21:00:00,385.2,CHPD
2017-01-06 22:00:00,390.34,CHPD
2017-01-06 23:00:00,401.61,CHPD
2017-01-07 00:00:00,383.14,CHPD
2017-01-07 01:00:00,422.72,CHPD
2017-01-07 02:00:00,428.02,CHPD
2017-01-07 03:00:00,425.36,CHPD
2017-01-07 04:00:00,424.18,CHPD
2017-01-07 05:00:00,422.59,CHPD
2017-01-07 06:00:00,420.68,CHPD
2017-01-07 07:00:00,417.27,CHPD
2017-01-07 08:00:00,417.44,CHPD
2017-01-07 09:00:00,420.01,CHPD
2017-01-07 10:00:00,423.5,CHPD
2017-01-07 11:00:00,423.11,CHPD
2017-01-07 12:00:00,427.46,CHPD
2017-01-07 13:00:00,432.3,CHPD
2017-01-07 14:00:00,438.07,CHPD
2017-01-07 15:00:00,444.84,CHPD
2017-01-07 16:00:00,452.25,CHPD
2017-01-07 17:00:00,455.84,CHPD
2017-01-07 18:00:00,443.32,CHPD
2017-01-07 19:00:00,436.44,CHPD
2017-01-07 20:00:00,428.79,CHPD
2017-01-07 21:00:00,423.64,CHPD
2017-01-07 22:00:00,420.98,CHPD
2017-01-07 23:00:00,422.91,CHPD
2017-01-08 00:00:00,411.03,CHPD
2017-01-08 01:00:00,414.38,CHPD
2017-01-08 02:00:00,405.24,CHPD
2017-01-08 03:00:00,392.93,CHPD
2017-01-08 04:00:00,389.01,CHPD
2017-01-08 05:00:00,383.86,CHPD
2017-01-08 06:00:00,384.95,CHPD
2017-01-08 07:00:00,380.37,CHPD
2017-01-08 08:00:00,362.84,CHPD
2017-01-08 09:00:00,362.03,CHPD
2017-01-08 10:00:00,367.51,CHPD
2017-01-08 11:00:00,367.0,CHPD
2017-01-08 12:00:00,368.84,CHPD
2017-01-08 13:00:00,362.79,CHPD
2017-01-08 14:00:00,359.1,CHPD
2017-01-08 15:00:00,366.0,CHPD
2017-01-08 16:00:00,372.12,CHPD
2017-01-08 17:00:00,368.86,CHPD
2017-01-08 18:00:00,361.51,CHPD
2017-01-08 19:00:00,356.1,CHPD
2017-01-08 20:00:00,361.07,CHPD
2017-01-08 21:00:00,360.14,CHPD
2017-01-08 22:00:00,373.65,CHPD
2017-01-08 23:00:00,376.09,CHPD
2017-01-09 00:00:00,386.29,CHPD
2017-01-09 01:00:00,388.54,CHPD
2017-01-09 02:00:00,379.07,CHPD
2017-01-09 03:00:00,364.56,CHPD
2017-01-09 04:00:00,352.96,CHPD
2017-01-09 05:00:00,339.4,CHPD
2017-01-09 06:00:00,315.94,CHPD
2017-01-09 07:00:00,302.6,CHPD
2017-01-09 08:00:00,291.77,CHPD
2017-01-09 09:00:00,284.94,CHPD
2017-01-09 10:00:00,280.58,CHPD
2017-01-09 11:00:00,291.95,CHPD
2017-01-09 12:00:00,302.79,CHPD
2017-01-09 13:00:00,317.11,CHPD
2017-01-09 14:00:00,329.55,CHPD
2017-01-09 15:00:00,339.38,CHPD
2017-01-09 16:00:00,351.9,CHPD
2017-01-09 17:00:00,351.35,CHPD
2017-01-09 18:00:00,336.15,CHPD
2017-01-09 19:00:00,324.55,CHPD
2017-01-09 20:00:00,322.55,CHPD
2017-01-09 21:00:00,320.31,CHPD
2017-01-09 22:00:00,321.78,CHPD
2017-01-09 23:00:00,325.51,CHPD
2017-01-10 00:00:00,325.43,CHPD
2017-01-10 01:00:00,330.21,CHPD
2017-01-10 02:00:00,322.29,CHPD
2017-01-10 03:00:00,316.28,CHPD
2017-01-10 04:00:00,317.93,CHPD
2017-01-10 05:00:00,308.07,CHPD
2017-01-10 06:00:00,305.12,CHPD
2017-01-10 07:00:00,297.99,CHPD
2017-01-10 08:00:00,298.01,CHPD
2017-01-10 09:00:00,294.22,CHPD
2017-01-10 10:00:00,308.88,CHPD
2017-01-10 11:00:00,318.13,CHPD
2017-01-10 12:00:00,326.49,CHPD
2017-01-10 13:00:00,331.85,CHPD
2017-01-10 14:00:00,341.53,CHPD
2017-01-10 15:00:00,348.67,CHPD
2017-01-10 16:00:00,362.43,CHPD
2017-01-10 17:00:00,360.04,CHPD
2017-01-10 18:00:00,347.0,CHPD
2017-01-10 19:00:00,332.56,CHPD
2017-01-10 20:00:00,326.84,CHPD
2017-01-10 21:00:00,329.61,CHPD
2017-01-10 22:00:00,336.14,CHPD
2017-01-10 23:00:00,346.93,CHPD
2017-01-11 00:00:00,321.5,CHPD
2017-01-11 01:00:00,344.5,CHPD
2017-01-11 02:00:00,345.92,CHPD
2017-01-11 03:00:00,347.87,CHPD
2017-01-11 04:00:00,353.7,CHPD
2017-01-11 05:00:00,351.04,CHPD
2017-01-11 06:00:00,353.4,CHPD
2017-01-11 07:00:00,353.37,CHPD
2017-01-11 08:00:00,344.33,CHPD
2017-01-11 09:00:00,346.91,CHPD
2017-01-11 10:00:00,358.1,CHPD
2017-01-11 11:00:00,370.82,CHPD
2017-01-11 12:00:00,385.87,CHPD
2017-01-11 13:00:00,398.25,CHPD
2017-01-11 14:00:00,411.93,CHPD
2017-01-11 15:00:00,423.31,CHPD
2017-01-11 16:00:00,432.44,CHPD
2017-01-11 17:00:00,432.53,CHPD
2017-01-11 18:00:00,410.8,CHPD
2017-01-11 19:00:00,392.49,CHPD
2017-01-11 20:00:00,379.68,CHPD
2017-01-11 21:00:00,378.88,CHPD
2017-01-11 22:00:00,378.26,CHPD
2017-01-11 23:00:00,382.72,CHPD
2017-01-12 00:00:00,355.76,CHPD
2017-01-12 01:00:00,382.26,CHPD
2017-01-12 02:00:00,387.7,CHPD
2017-01-12 03:00:00,388.68,CHPD
2017-01-12 04:00:00,387.41,CHPD
2017-01-12 05:00:00,385.23,CHPD
2017-01-12 06:00:00,383.99,CHPD
2017-01-12 07:00:00,381.83,CHPD
2017-01-12 08:00:00,380.91,CHPD
2017-01-12 09:00:00,385.53,CHPD
2017-01-12 10:00:00,394.46,CHPD
2017-01-12 11:00:00,404.38,CHPD
2017-01-12 12:00:00,417.08,CHPD
2017-01-12 13:00:00,429.27,CHPD
2017-01-12 14:00:00,441.5,CHPD
2017-01-12 15:00:00,453.13,CHPD
2017-01-12 16:00:00,462.16,CHPD
2017-01-12 17:00:00,457.89,CHPD
2017-01-12 18:00:00,428.03,CHPD
2017-01-12 19:00:00,397.23,CHPD
2017-01-12 20:00:00,378.72,CHPD
2017-01-12 21:00:00,369.34,CHPD
2017-01-12 22:00:00,368.78,CHPD
2017-01-12 23:00:00,371.59,CHPD
2017-01-13 00:00:00,337.01,CHPD
2017-01-13 01:00:00,380.09,CHPD
2017-01-13 02:00:00,385.41,CHPD
2017-01-13 03:00:00,382.62,CHPD
2017-01-13 04:00:00,382.15,CHPD
2017-01-13 05:00:00,378.52,CHPD
2017-01-13 06:00:00,372.44,CHPD
2017-01-13 07:00:00,367.8,CHPD
2017-01-13 08:00:00,363.31,CHPD
2017-01-13 09:00:00,364.31,CHPD
2017-01-13 10:00:00,374.38,CHPD
2017-01-13 11:00:00,386.44,CHPD
2017-01-13 12:00:00,400.2,CHPD
2017-01-13 13:00:00,414.91,CHPD
2017-01-13 14:00:00,428.49,CHPD
2017-01-13 15:00:00,444.48,CHPD
2017-01-13 16:00:00,458.23,CHPD
2017-01-13 17:00:00,454.5,CHPD
2017-01-13 18:00:00,423.68,CHPD
2017-01-13 19:00:00,395.68,CHPD
2017-01-13 20:00:00,379.63,CHPD
2017-01-13 21:00:00,373.01,CHPD
2017-01-13 22:00:00,376.55,CHPD
2017-01-13 23:00:00,388.65,CHPD
2017-01-14 00:00:00,360.8,CHPD
2017-01-14 01:00:00,394.56,CHPD
2017-01-14 02:00:00,401.14,CHPD
2017-01-14 03:00:00,401.14,CHPD
2017-01-14 04:00:00,399.47,CHPD
2017-01-14 05:00:00,398.08,CHPD
2017-01-14 06:00:00,391.96,CHPD
2017-01-14 07:00:00,381.3,CHPD
2017-01-14 08:00:00,374.24,CHPD
2017-01-14 09:00:00,367.47,CHPD
2017-01-14 10:00:00,368.4,CHPD
2017-01-14 11:00:00,372.48,CHPD
2017-01-14 12:00:00,378.97,CHPD
2017-01-14 13:00:00,386.74,CHPD
2017-01-14 14:00:00,400.8,CHPD
2017-01-14 15:00:00,411.98,CHPD
2017-01-14 16:00:00,423.45,CHPD
2017-01-14 17:00:00,425.29,CHPD
2017-01-14 18:00:00,400.67,CHPD
2017-01-14 19:00:00,377.27,CHPD
2017-01-14 20:00:00,360.01,CHPD
2017-01-14 21:00:00,349.04,CHPD
2017-01-14 22:00:00,343.51,CHPD
2017-01-14 23:00:00,348.04,CHPD
2017-01-15 00:00:00,335.84,CHPD
2017-01-15 01:00:00,373.75,CHPD
2017-01-15 02:00:00,380.48,CHPD
2017-01-15 03:00:00,382.99,CHPD
2017-01-15 04:00:00,375.14,CHPD
2017-01-15 05:00:00,364.38,CHPD
2017-01-15 06:00:00,355.57,CHPD
2017-01-15 07:00:00,348.44,CHPD
