Time_UTC,Load,BA
2017-01-01 00:00:00,817.83,EPE
2017-01-01 01:00:00,884.77,EPE
2017-01-01 02:00:00,941.86,EPE
2017-01-01 03:00:00,920.36,EPE
2017-01-01 04:00:00,891.56,EPE
2017-01-01 05:00:00,854.53,EPE
2017-01-01 06:00:00,825.39,EPE
2017-01-01 07:00:00,793.57,EPE
2017-01-01 08:00:00,760.31,EPE
2017-01-01 09:00:00,732.64,EPE
2017-01-01 10:00:00,713.41,EPE
2017-01-01 11:00:00,710.98,EPE
2017-01-01 12:00:00,717.91,EPE
2017-01-01 13:00:00,723.36,EPE
2017-01-01 14:00:00,728.47,EPE
2017-01-01 15:00:00,743.88,EPE
2017-01-01 16:00:00,762.44,EPE
2017-01-01 17:00:00,774.63,EPE
2017-01-01 18:00:00,787.87,EPE
2017-01-01 19:00:00,796.08,EPE
2017-01-01 20:00:00,797.13,EPE
2017-01-01 21:00:00,807.18,EPE
2017-01-01 22:00:00,811.54,EPE
2017-01-01 23:00:00,805.44,EPE
2017-01-02 00:00:00,808.02,EPE
2017-01-02 01:00:00,864.36,EPE
2017-01-02 02:00:00,924.03,EPE
2017-01-02 03:00:00,937.01,EPE
2017-01-02 04:00:00,909.84,EPE
2017-01-02 05:00:00,868.88,EPE
2017-01-02 06:00:00,830.87,EPE
2017-01-02 07:00:00,791.29,EPE
2017-01-02 08:00:00,757.11,EPE
2017-01-02 09:00:00,734.14,EPE
2017-01-02 10:00:00,729.77,EPE
2017-01-02 11:00:00,741.79,EPE
2017-01-02 12:00:00,763.1,EPE
2017-01-02 13:00:00,785.96,EPE
2017-01-02 14:00:00,811.69,EPE
2017-01-02 15:00:00,860.43,EPE
2017-01-02 16:00:00,867.96,EPE
2017-01-02 17:00:00,871.18,EPE
2017-01-02 18:00:00,880.16,EPE
2017-01-02 19:00:00,879.9,EPE
2017-01-02 20:00:00,880.39,EPE
2017-01-02 21:00:00,880.86,EPE
2017-01-02 22:00:00,884.85,EPE
2017-01-02 23:00:00,884.61,EPE
2017-01-03 00:00:00,880.42,EPE
2017-01-03 01:00:00,929.35,EPE
2017-01-03 02:00:00,977.6,EPE
2017-01-03 03:00:00,1004.15,EPE
2017-01-03 04:00:00,978.47,EPE
2017-01-03 05:00:00,918.29,EPE
2017-01-03 06:00:00,860.47,EPE
2017-01-03 07:00:00,803.93,EPE
2017-01-03 08:00:00,755.92,EPE
2017-01-03 09:00:00,740.87,EPE
2017-01-03 10:00:00,750.41,EPE
2017-01-03 11:00:00,774.82,EPE
2017-01-03 12:00:00,800.01,EPE
2017-01-03 13:00:00,825.45,EPE
2017-01-03 14:00:00,847.65,EPE
2017-01-03 15:00:00,928.06,EPE
2017-01-03 16:00:00,946.02,EPE
2017-01-03 17:00:00,939.35,EPE
2017-01-03 18:00:00,935.86,EPE
2017-01-03 19:00:00,932.49,EPE
2017-01-03 20:00:00,925.55,EPE
2017-01-03 21:00:00,916.24,EPE
2017-01-03 22:00:00,912.33,EPE
2017-01-03 23:00:00,915.78,EPE
2017-01-04 00:00:00,875.99,EPE
2017-01-04 01:00:00,916.21,EPE
2017-01-04 02:00:00,962.02,EPE
2017-01-04 03:00:00,985.77,EPE
2017-01-04 04:00:00,960.11,EPE
2017-01-04 05:00:00,910.32,EPE
2017-01-04 06:00:00,851.07,EPE
2017-01-04 07:00:00,793.52,EPE
2017-01-04 08:00:00,745.98,EPE
2017-01-04 09:00:00,738.25,EPE
2017-01-04 10:00:00,735.57,EPE
2017-01-04 11:00:00,752.3,EPE
2017-01-04 12:00:00,769.61,EPE
2017-01-04 13:00:00,787.28,EPE
2017-01-04 14:00:00,813.43,EPE
2017-01-04 15:00:00,888.12,EPE
2017-01-04 16:00:00,918.56,EPE
