Time_UTC,Load,BA
2017-01-01 00:00:00,5390.95,FPC
2017-01-01 01:00:00,5384.55,FPC
2017-01-01 02:00:00,5286.96,FPC
2017-01-01 03:00:00,5068.05,FPC
2017-01-01 04:00:00,4779.78,FPC
2017-01-01 05:00:00,4461.99,FPC
2017-01-01 06:00:00,4192.19,FPC
2017-01-01 07:00:00,3945.67,FPC
2017-01-01 08:00:00,3811.94,FPC
2017-01-01 09:00:00,3715.58,FPC
2017-01-01 10:00:00,3670.11,FPC
2017-01-01 11:00:00,3690.17,FPC
2017-01-01 12:00:00,3756.71,FPC
2017-01-01 13:00:00,3934.53,FPC
2017-01-01 14:00:00,3905.26,FPC
2017-01-01 15:00:00,4209.53,FPC
2017-01-01 16:00:00,4477.58,FPC
2017-01-01 17:00:00,4846.79,FPC
2017-01-01 18:00:00,5224.94,FPC
2017-01-01 19:00:00,5487.41,FPC
2017-01-01 20:00:00,5630.89,FPC
2017-01-01 21:00:00,5651.8,FPC
2017-01-01 22:00:00,5463.99,FPC
2017-01-01 23:00:00,4893.53,FPC
2017-01-02 00:00:00,6169.25,FPC
2017-01-02 01:00:00,5909.71,FPC
2017-01-02 02:00:00,5581.19,FPC
2017-01-02 03:00:00,5154.91,FPC
2017-01-02 04:00:00,4651.9,FPC
2017-01-02 05:00:00,4223.72,FPC
2017-01-02 06:00:00,3822.51,FPC
2017-01-02 07:00:00,3475.83,FPC
2017-01-02 08:00:00,3290.67,FPC
2017-01-02 09:00:00,3265.46,FPC
2017-01-02 10:00:00,3364.11,FPC
2017-01-02 11:00:00,3566.63,FPC
2017-01-02 12:00:00,3790.74,FPC
2017-01-02 13:00:00,4237.91,FPC
2017-01-02 14:00:00,4697.87,FPC
2017-01-02 15:00:00,5183.71,FPC
2017-01-02 16:00:00,5550.74,FPC
2017-01-02 17:00:00,5953.35,FPC
2017-01-02 18:00:00,6389.23,FPC
2017-01-02 19:00:00,6696.86,FPC
2017-01-02 20:00:00,6851.33,FPC
2017-01-02 21:00:00,6910.77,FPC
2017-01-02 22:00:00,6802.26,FPC
2017-01-02 23:00:00,6228.11,FPC
2017-01-03 00:00:00,6908.02,FPC
2017-01-03 01:00:00,6673.27,FPC
2017-01-03 02:00:00,6320.71,FPC
2017-01-03 03:00:00,5796.82,FPC
2017-01-03 04:00:00,5289.3,FPC
2017-01-03 05:00:00,4811.91,FPC
2017-01-03 06:00:00,4354.78,FPC
2017-01-03 07:00:00,3990.48,FPC
2017-01-03 08:00:00,3856.49,FPC
2017-01-03 09:00:00,3956.92,FPC
2017-01-03 10:00:00,4104.71,FPC
2017-01-03 11:00:00,4255.83,FPC
2017-01-03 12:00:00,4417.97,FPC
2017-01-03 13:00:00,4702.06,FPC
2017-01-03 14:00:00,5031.76,FPC
2017-01-03 15:00:00,5348.4,FPC
2017-01-03 16:00:00,5620.59,FPC
2017-01-03 17:00:00,5998.32,FPC
2017-01-03 18:00:00,6383.9,FPC
2017-01-03 19:00:00,6523.82,FPC
2017-01-03 20:00:00,6536.07,FPC
2017-01-03 21:00:00,6531.21,FPC
2017-01-03 22:00:00,6422.9,FPC
2017-01-03 23:00:00,6113.9,FPC
2017-01-04 00:00:00,6815.7,FPC
2017-01-04 01:00:00,6575.84,FPC
2017-01-04 02:00:00,6224.16,FPC
2017-01-04 03:00:00,5713.37,FPC
2017-01-04 04:00:00,5231.69,FPC
2017-01-04 05:00:00,4744.57,FPC
2017-01-04 06:00:00,4291.12,FPC
2017-01-04 07:00:00,3962.49,FPC
2017-01-04 08:00:00,3827.69,FPC
2017-01-04 09:00:00,3931.73,FPC
2017-01-04 10:00:00,4095.05,FPC
2017-01-04 11:00:00,4272.68,FPC
2017-01-04 12:00:00,4445.9,FPC
2017-01-04 13:00:00,4646.8,FPC
2017-01-04 14:00:00,4930.5,FPC
2017-01-04 15:00:00,5181.65,FPC
2017-01-04 16:00:00,5350.82,FPC
2017-01-04 17:00:00,5436.79,FPC
2017-01-04 18:00:00,5494.04,FPC
2017-01-04 19:00:00,5490.44,FPC
2017-01-04 20:00:00,5570.38,FPC
2017-01-04 21:00:00,5742.64,FPC
2017-01-04 22:00:00,5748.81,FPC
2017-01-04 23:00:00,5413.83,FPC
2017-01-05 00:00:00,6186.38,FPC
2017-01-05 01:00:00,6101.55,FPC
2017-01-05 02:00:00,5862.31,FPC
2017-01-05 03:00:00,5458.66,FPC
2017-01-05 04:00:00,5025.13,FPC
2017-01-05 05:00:00,4596.52,FPC
2017-01-05 06:00:00,4169.01,FPC
2017-01-05 07:00:00,3873.9,FPC
2017-01-05 08:00:00,3976.62,FPC
2017-01-05 09:00:00,4113.94,FPC
2017-01-05 10:00:00,4237.97,FPC
2017-01-05 11:00:00,4476.01,FPC
2017-01-05 12:00:00,4825.43,FPC
2017-01-05 13:00:00,5260.56,FPC
2017-01-05 14:00:00,5467.71,FPC
2017-01-05 15:00:00,5388.41,FPC
2017-01-05 16:00:00,5382.81,FPC
