Time_UTC,Load,BA
2017-01-01 00:00:00,199.55,GVL
2017-01-01 01:00:00,196.3,GVL
2017-01-01 02:00:00,196.03,GVL
2017-01-01 03:00:00,190.91,GVL
2017-01-01 04:00:00,178.27,GVL
2017-01-01 05:00:00,165.92,GVL
2017-01-01 06:00:00,156.95,GVL
2017-01-01 07:00:00,151.19,GVL
2017-01-01 08:00:00,145.88,GVL
2017-01-01 09:00:00,139.59,GVL
2017-01-01 10:00:00,138.75,GVL
2017-01-01 11:00:00,142.26,GVL
2017-01-01 12:00:00,146.9,GVL
2017-01-01 13:00:00,151.5,GVL
2017-01-01 14:00:00,143.71,GVL
2017-01-01 15:00:00,140.95,GVL
2017-01-01 16:00:00,145.2,GVL
2017-01-01 17:00:00,149.57,GVL
2017-01-01 18:00:00,154.22,GVL
2017-01-01 19:00:00,163.66,GVL
2017-01-01 20:00:00,170.78,GVL
2017-01-01 21:00:00,176.79,GVL
2017-01-01 22:00:00,174.45,GVL
2017-01-01 23:00:00,172.71,GVL
2017-01-02 00:00:00,221.63,GVL
2017-01-02 01:00:00,216.02,GVL
2017-01-02 02:00:00,212.96,GVL
2017-01-02 03:00:00,199.32,GVL
2017-01-02 04:00:00,183.31,GVL
2017-01-02 05:00:00,167.13,GVL
2017-01-02 06:00:00,152.55,GVL
2017-01-02 07:00:00,140.75,GVL
2017-01-02 08:00:00,134.47,GVL
2017-01-02 09:00:00,133.5,GVL
2017-01-02 10:00:00,138.83,GVL
2017-01-02 11:00:00,144.36,GVL
2017-01-02 12:00:00,151.51,GVL
2017-01-02 13:00:00,159.18,GVL
2017-01-02 14:00:00,167.68,GVL
2017-01-02 15:00:00,177.99,GVL
2017-01-02 16:00:00,184.76,GVL
2017-01-02 17:00:00,190.56,GVL
2017-01-02 18:00:00,201.41,GVL
2017-01-02 19:00:00,210.33,GVL
2017-01-02 20:00:00,219.22,GVL
2017-01-02 21:00:00,224.77,GVL
2017-01-02 22:00:00,222.79,GVL
2017-01-02 23:00:00,213.84,GVL
2017-01-03 00:00:00,265.62,GVL
2017-01-03 01:00:00,248.99,GVL
2017-01-03 02:00:00,239.63,GVL
2017-01-03 03:00:00,220.7,GVL
2017-01-03 04:00:00,201.69,GVL
2017-01-03 05:00:00,185.12,GVL
2017-01-03 06:00:00,165.98,GVL
2017-01-03 07:00:00,151.87,GVL
2017-01-03 08:00:00,148.62,GVL
2017-01-03 09:00:00,156.37,GVL
2017-01-03 10:00:00,161.9,GVL
2017-01-03 11:00:00,166.91,GVL
2017-01-03 12:00:00,169.95,GVL
2017-01-03 13:00:00,179.84,GVL
2017-01-03 14:00:00,186.81,GVL
2017-01-03 15:00:00,190.16,GVL
2017-01-03 16:00:00,189.59,GVL
2017-01-03 17:00:00,201.28,GVL
2017-01-03 18:00:00,213.5,GVL
2017-01-03 19:00:00,215.48,GVL
2017-01-03 20:00:00,214.32,GVL
2017-01-03 21:00:00,215.52,GVL
2017-01-03 22:00:00,217.57,GVL
2017-01-03 23:00:00,218.07,GVL
2017-01-04 00:00:00,253.97,GVL
2017-01-04 01:00:00,246.6,GVL
2017-01-04 02:00:00,240.11,GVL
2017-01-04 03:00:00,227.81,GVL
2017-01-04 04:00:00,212.31,GVL
2017-01-04 05:00:00,192.85,GVL
2017-01-04 06:00:00,169.46,GVL
2017-01-04 07:00:00,152.84,GVL
2017-01-04 08:00:00,147.77,GVL
2017-01-04 09:00:00,150.04,GVL
2017-01-04 10:00:00,154.66,GVL
2017-01-04 11:00:00,161.1,GVL
2017-01-04 12:00:00,168.06,GVL
2017-01-04 13:00:00,176.28,GVL
2017-01-04 14:00:00,187.56,GVL
2017-01-04 15:00:00,193.25,GVL
2017-01-04 16:00:00,189.28,GVL
2017-01-04 17:00:00,188.84,GVL
2017-01-04 18:00:00,187.48,GVL
2017-01-04 19:00:00,188.18,GVL
2017-01-04 20:00:00,192.38,GVL
2017-01-04 21:00:00,194.49,GVL
2017-01-04 22:00:00,193.47,GVL
2017-01-04 23:00:00,191.59,GVL
2017-01-05 00:00:00,235.9,GVL
2017-01-05 01:00:00,228.67,GVL
2017-01-05 02:00:00,223.17,GVL
2017-01-05 03:00:00,208.28,GVL
2017-01-05 04:00:00,190.09,GVL
2017-01-05 05:00:00,176.58,GVL
2017-01-05 06:00:00,163.94,GVL
2017-01-05 07:00:00,150.83,GVL
2017-01-05 08:00:00,144.37,GVL
2017-01-05 09:00:00,147.38,GVL
2017-01-05 10:00:00,156.05,GVL
2017-01-05 11:00:00,169.08,GVL
2017-01-05 12:00:00,184.19,GVL
2017-01-05 13:00:00,196.86,GVL
2017-01-05 14:00:00,198.68,GVL
2017-01-05 15:00:00,192.9,GVL
2017-01-05 16:00:00,191.31,GVL
2017-01-05 17:00:00,191.21,GVL
2017-01-05 18:00:00,190.07,GVL
2017-01-05 19:00:00,190.86,GVL
2017-01-05 20:00:00,192.03,GVL
2017-01-05 21:00:00,193.65,GVL
2017-01-05 22:00:00,191.22,GVL
2017-01-05 23:00:00,192.77,GVL
2017-01-06 00:00:00,235.24,GVL
2017-01-06 01:00:00,233.59,GVL
2017-01-06 02:00:00,229.83,GVL
2017-01-06 03:00:00,218.17,GVL
2017-01-06 04:00:00,205.4,GVL
2017-01-06 05:00:00,190.07,GVL
2017-01-06 06:00:00,174.71,GVL
2017-01-06 07:00:00,164.15,GVL
2017-01-06 08:00:00,164.04,GVL
2017-01-06 09:00:00,170.76,GVL
2017-01-06 10:00:00,176.99,GVL
2017-01-06 11:00:00,182.85,GVL
2017-01-06 12:00:00,188.37,GVL
2017-01-06 13:00:00,196.13,GVL
2017-01-06 14:00:00,197.16,GVL
2017-01-06 15:00:00,189.68,GVL
2017-01-06 16:00:00,188.57,GVL
2017-01-06 17:00:00,188.0,GVL
2017-01-06 18:00:00,187.38,GVL
2017-01-06 19:00:00,191.04,GVL
2017-01-06 20:00:00,193.75,GVL
2017-01-06 21:00:00,197.35,GVL
2017-01-06 22:00:00,202.56,GVL
2017-01-06 23:00:00,200.7,GVL
2017-01-07 00:00:00,225.9,GVL
2017-01-07 01:00:00,219.44,GVL
2017-01-07 02:00:00,208.17,GVL
2017-01-07 03:00:00,193.65,GVL
2017-01-07 04:00:00,177.43,GVL
2017-01-07 05:00:00,163.48,GVL
2017-01-07 06:00:00,150.49,GVL
2017-01-07 07:00:00,144.47,GVL
2017-01-07 08:00:00,140.06,GVL
2017-01-07 09:00:00,142.71,GVL
2017-01-07 10:00:00,145.08,GVL
2017-01-07 11:00:00,150.93,GVL
2017-01-07 12:00:00,154.77,GVL
2017-01-07 13:00:00,162.2,GVL
2017-01-07 14:00:00,173.58,GVL
2017-01-07 15:00:00,192.35,GVL
2017-01-07 16:00:00,201.45,GVL
2017-01-07 17:00:00,213.52,GVL
2017-01-07 18:00:00,218.52,GVL
2017-01-07 19:00:00,226.57,GVL
2017-01-07 20:00:00,231.9,GVL
2017-01-07 21:00:00,231.42,GVL
2017-01-07 22:00:00,233.03,GVL
2017-01-07 23:00:00,243.21,GVL
2017-01-08 00:00:00,280.84,GVL
2017-01-08 01:00:00,284.18,GVL
2017-01-08 02:00:00,285.9,GVL
2017-01-08 03:00:00,277.08,GVL
2017-01-08 04:00:00,268.08,GVL
2017-01-08 05:00:00,264.46,GVL
2017-01-08 06:00:00,262.34,GVL
2017-01-08 07:00:00,261.97,GVL
2017-01-08 08:00:00,263.02,GVL
2017-01-08 09:00:00,272.27,GVL
2017-01-08 10:00:00,282.71,GVL
2017-01-08 11:00:00,290.17,GVL
2017-01-08 12:00:00,296.51,GVL
2017-01-08 13:00:00,305.2,GVL
2017-01-08 14:00:00,305.2,GVL
2017-01-08 15:00:00,301.94,GVL
2017-01-08 16:00:00,291.93,GVL
2017-01-08 17:00:00,281.85,GVL
2017-01-08 18:00:00,268.38,GVL
2017-01-08 19:00:00,256.18,GVL
2017-01-08 20:00:00,245.31,GVL
2017-01-08 21:00:00,241.4,GVL
2017-01-08 22:00:00,239.79,GVL
2017-01-08 23:00:00,252.14,GVL
2017-01-09 00:00:00,322.16,GVL
2017-01-09 01:00:00,330.43,GVL
2017-01-09 02:00:00,333.62,GVL
2017-01-09 03:00:00,324.59,GVL
2017-01-09 04:00:00,313.54,GVL
2017-01-09 05:00:00,299.8,GVL
2017-01-09 06:00:00,284.66,GVL
2017-01-09 07:00:00,275.51,GVL
2017-01-09 08:00:00,274.54,GVL
2017-01-09 09:00:00,279.2,GVL
2017-01-09 10:00:00,284.79,GVL
2017-01-09 11:00:00,291.24,GVL
2017-01-09 12:00:00,294.88,GVL
2017-01-09 13:00:00,297.19,GVL
2017-01-09 14:00:00,280.96,GVL
2017-01-09 15:00:00,249.06,GVL
2017-01-09 16:00:00,231.61,GVL
2017-01-09 17:00:00,224.12,GVL
2017-01-09 18:00:00,215.04,GVL
