Time_UTC,Load,BA
2017-01-01 00:00:00,276.79,IID
2017-01-01 01:00:00,304.76,IID
2017-01-01 02:00:00,313.35,IID
2017-01-01 03:00:00,317.62,IID
2017-01-01 04:00:00,308.9,IID
2017-01-01 05:00:00,300.56,IID
2017-01-01 06:00:00,278.47,IID
2017-01-01 07:00:00,256.72,IID
2017-01-01 08:00:00,246.83,IID
2017-01-01 09:00:00,238.38,IID
2017-01-01 10:00:00,236.37,IID
2017-01-01 11:00:00,230.46,IID
2017-01-01 12:00:00,230.74,IID
2017-01-01 13:00:00,229.65,IID
2017-01-01 14:00:00,228.19,IID
2017-01-01 15:00:00,238.2,IID
2017-01-01 16:00:00,233.31,IID
2017-01-01 17:00:00,225.48,IID
2017-01-01 18:00:00,227.12,IID
2017-01-01 19:00:00,236.83,IID
2017-01-01 20:00:00,248.95,IID
2017-01-01 21:00:00,250.9,IID
2017-01-01 22:00:00,244.32,IID
2017-01-01 23:00:00,244.24,IID
2017-01-02 00:00:00,254.45,IID
2017-01-02 01:00:00,288.87,IID
2017-01-02 02:00:00,303.87,IID
2017-01-02 03:00:00,317.83,IID
2017-01-02 04:00:00,323.59,IID
2017-01-02 05:00:00,305.11,IID
2017-01-02 06:00:00,282.78,IID
2017-01-02 07:00:00,266.9,IID
2017-01-02 08:00:00,247.2,IID
2017-01-02 09:00:00,235.03,IID
2017-01-02 10:00:00,232.5,IID
2017-01-02 11:00:00,234.57,IID
2017-01-02 12:00:00,240.5,IID
2017-01-02 13:00:00,245.3,IID
2017-01-02 14:00:00,249.78,IID
2017-01-02 15:00:00,255.37,IID
2017-01-02 16:00:00,264.34,IID
2017-01-02 17:00:00,272.63,IID
2017-01-02 18:00:00,276.92,IID
2017-01-02 19:00:00,277.53,IID
2017-01-02 20:00:00,279.69,IID
2017-01-02 21:00:00,282.25,IID
2017-01-02 22:00:00,283.92,IID
2017-01-02 23:00:00,274.25,IID
2017-01-03 00:00:00,278.7,IID
2017-01-03 01:00:00,303.16,IID
2017-01-03 02:00:00,316.19,IID
2017-01-03 03:00:00,326.68,IID
2017-01-03 04:00:00,333.64,IID
2017-01-03 05:00:00,322.81,IID
2017-01-03 06:00:00,296.96,IID
2017-01-03 07:00:00,271.2,IID
2017-01-03 08:00:00,252.01,IID
2017-01-03 09:00:00,246.85,IID
2017-01-03 10:00:00,245.26,IID
2017-01-03 11:00:00,249.35,IID
2017-01-03 12:00:00,257.33,IID
2017-01-03 13:00:00,266.53,IID
2017-01-03 14:00:00,275.8,IID
2017-01-03 15:00:00,285.5,IID
2017-01-03 16:00:00,294.83,IID
2017-01-03 17:00:00,295.56,IID
2017-01-03 18:00:00,296.45,IID
2017-01-03 19:00:00,297.99,IID
2017-01-03 20:00:00,300.47,IID
2017-01-03 21:00:00,303.37,IID
2017-01-03 22:00:00,304.93,IID
2017-01-03 23:00:00,307.67,IID
2017-01-04 00:00:00,279.25,IID
2017-01-04 01:00:00,309.58,IID
2017-01-04 02:00:00,323.34,IID
2017-01-04 03:00:00,337.51,IID
2017-01-04 04:00:00,343.58,IID
2017-01-04 05:00:00,328.79,IID
2017-01-04 06:00:00,302.43,IID
2017-01-04 07:00:00,279.86,IID
2017-01-04 08:00:00,258.11,IID
2017-01-04 09:00:00,245.58,IID
2017-01-04 10:00:00,243.36,IID
2017-01-04 11:00:00,251.12,IID
2017-01-04 12:00:00,258.71,IID
2017-01-04 13:00:00,266.72,IID
2017-01-04 14:00:00,275.24,IID
2017-01-04 15:00:00,284.14,IID
2017-01-04 16:00:00,293.35,IID
2017-01-04 17:00:00,293.81,IID
2017-01-04 18:00:00,292.72,IID
2017-01-04 19:00:00,292.88,IID
2017-01-04 20:00:00,293.96,IID
2017-01-04 21:00:00,294.51,IID
2017-01-04 22:00:00,297.04,IID
2017-01-04 23:00:00,299.8,IID
2017-01-05 00:00:00,283.14,IID
2017-01-05 01:00:00,317.55,IID
2017-01-05 02:00:00,328.0,IID
2017-01-05 03:00:00,337.83,IID
2017-01-05 04:00:00,343.15,IID
2017-01-05 05:00:00,327.43,IID
2017-01-05 06:00:00,301.28,IID
2017-01-05 07:00:00,273.0,IID
2017-01-05 08:00:00,254.06,IID
2017-01-05 09:00:00,242.47,IID
2017-01-05 10:00:00,237.0,IID
2017-01-05 11:00:00,236.23,IID
2017-01-05 12:00:00,240.44,IID
2017-01-05 13:00:00,247.24,IID
2017-01-05 14:00:00,254.21,IID
2017-01-05 15:00:00,259.8,IID
2017-01-05 16:00:00,269.3,IID
2017-01-05 17:00:00,277.99,IID
2017-01-05 18:00:00,287.79,IID
2017-01-05 19:00:00,298.73,IID
2017-01-05 20:00:00,304.13,IID
2017-01-05 21:00:00,304.58,IID
2017-01-05 22:00:00,304.13,IID
2017-01-05 23:00:00,299.27,IID
2017-01-06 00:00:00,294.05,IID
2017-01-06 01:00:00,316.11,IID
2017-01-06 02:00:00,324.52,IID
2017-01-06 03:00:00,330.53,IID
2017-01-06 04:00:00,339.11,IID
2017-01-06 05:00:00,336.3,IID
2017-01-06 06:00:00,324.95,IID
2017-01-06 07:00:00,295.21,IID
2017-01-06 08:00:00,273.08,IID
2017-01-06 09:00:00,256.58,IID
2017-01-06 10:00:00,242.74,IID
2017-01-06 11:00:00,234.13,IID
2017-01-06 12:00:00,237.21,IID
2017-01-06 13:00:00,247.02,IID
2017-01-06 14:00:00,257.2,IID
2017-01-06 15:00:00,269.77,IID
2017-01-06 16:00:00,285.86,IID
2017-01-06 17:00:00,288.0,IID
2017-01-06 18:00:00,288.35,IID
2017-01-06 19:00:00,293.03,IID
2017-01-06 20:00:00,295.54,IID
2017-01-06 21:00:00,298.42,IID
2017-01-06 22:00:00,297.07,IID
2017-01-06 23:00:00,298.05,IID
2017-01-07 00:00:00,249.45,IID
2017-01-07 01:00:00,304.55,IID
2017-01-07 02:00:00,315.13,IID
2017-01-07 03:00:00,320.8,IID
2017-01-07 04:00:00,323.01,IID
2017-01-07 05:00:00,313.07,IID
2017-01-07 06:00:00,289.91,IID
2017-01-07 07:00:00,267.34,IID
2017-01-07 08:00:00,246.88,IID
2017-01-07 09:00:00,238.56,IID
2017-01-07 10:00:00,234.46,IID
2017-01-07 11:00:00,233.98,IID
2017-01-07 12:00:00,238.34,IID
2017-01-07 13:00:00,240.45,IID
2017-01-07 14:00:00,242.46,IID
2017-01-07 15:00:00,244.68,IID
2017-01-07 16:00:00,246.58,IID
2017-01-07 17:00:00,243.16,IID
2017-01-07 18:00:00,244.57,IID
2017-01-07 19:00:00,250.61,IID
2017-01-07 20:00:00,256.79,IID
2017-01-07 21:00:00,265.45,IID
2017-01-07 22:00:00,273.25,IID
2017-01-07 23:00:00,276.92,IID
2017-01-08 00:00:00,258.3,IID
2017-01-08 01:00:00,294.97,IID
2017-01-08 02:00:00,307.72,IID
2017-01-08 03:00:00,312.64,IID
2017-01-08 04:00:00,310.73,IID
2017-01-08 05:00:00,298.53,IID
2017-01-08 06:00:00,274.87,IID
2017-01-08 07:00:00,252.77,IID
2017-01-08 08:00:00,237.72,IID
2017-01-08 09:00:00,227.15,IID
2017-01-08 10:00:00,222.15,IID
2017-01-08 11:00:00,218.35,IID
2017-01-08 12:00:00,220.27,IID
2017-01-08 13:00:00,223.84,IID
2017-01-08 14:00:00,228.9,IID
2017-01-08 15:00:00,234.26,IID
2017-01-08 16:00:00,233.63,IID
2017-01-08 17:00:00,230.68,IID
2017-01-08 18:00:00,235.47,IID
2017-01-08 19:00:00,244.46,IID
2017-01-08 20:00:00,254.91,IID
2017-01-08 21:00:00,264.27,IID
2017-01-08 22:00:00,268.92,IID
2017-01-08 23:00:00,272.87,IID
2017-01-09 00:00:00,302.96,IID
