Time_UTC,Load,BA
2017-01-01 00:00:00,2190.3,IPCO
2017-01-01 01:00:00,2256.7,IPCO
2017-01-01 02:00:00,2307.21,IPCO
2017-01-01 03:00:00,2342.63,IPCO
2017-01-01 04:00:00,2341.42,IPCO
2017-01-01 05:00:00,2256.75,IPCO
2017-01-01 06:00:00,2157.6,IPCO
2017-01-01 07:00:00,2073.35,IPCO
2017-01-01 08:00:00,2011.08,IPCO
2017-01-01 09:00:00,1979.99,IPCO
2017-01-01 10:00:00,1992.9,IPCO
2017-01-01 11:00:00,2019.26,IPCO
2017-01-01 12:00:00,2045.64,IPCO
2017-01-01 13:00:00,2096.55,IPCO
2017-01-01 14:00:00,2136.53,IPCO
2017-01-01 15:00:00,2141.2,IPCO
2017-01-01 16:00:00,2220.94,IPCO
2017-01-01 17:00:00,2173.2,IPCO
2017-01-01 18:00:00,2107.3,IPCO
2017-01-01 19:00:00,2100.92,IPCO
2017-01-01 20:00:00,2089.5,IPCO
2017-01-01 21:00:00,2081.53,IPCO
2017-01-01 22:00:00,2044.89,IPCO
2017-01-01 23:00:00,2030.44,IPCO
2017-01-02 00:00:00,2102.28,IPCO
2017-01-02 01:00:00,2205.07,IPCO
2017-01-02 02:00:00,2254.28,IPCO
2017-01-02 03:00:00,2291.01,IPCO
2017-01-02 04:00:00,2262.76,IPCO
2017-01-02 05:00:00,2180.71,IPCO
2017-01-02 06:00:00,2098.2,IPCO
2017-01-02 07:00:00,2020.34,IPCO
2017-01-02 08:00:00,1943.89,IPCO
2017-01-02 09:00:00,1923.81,IPCO
2017-01-02 10:00:00,1938.58,IPCO
2017-01-02 11:00:00,1973.46,IPCO
2017-01-02 12:00:00,2031.76,IPCO
2017-01-02 13:00:00,2091.9,IPCO
2017-01-02 14:00:00,2143.83,IPCO
2017-01-02 15:00:00,2210.01,IPCO
2017-01-02 16:00:00,2258.14,IPCO
2017-01-02 17:00:00,2276.93,IPCO
2017-01-02 18:00:00,2199.62,IPCO
2017-01-02 19:00:00,2120.99,IPCO
2017-01-02 20:00:00,2052.35,IPCO
2017-01-02 21:00:00,2009.13,IPCO
2017-01-02 22:00:00,1985.1,IPCO
2017-01-02 23:00:00,2036.03,IPCO
2017-01-03 00:00:00,2200.05,IPCO
2017-01-03 01:00:00,2300.82,IPCO
2017-01-03 02:00:00,2366.02,IPCO
2017-01-03 03:00:00,2414.05,IPCO
2017-01-03 04:00:00,2361.62,IPCO
2017-01-03 05:00:00,2248.52,IPCO
