Time_UTC,Load,BA
2017-01-01 00:00:00,16042.92,ISNE
2017-01-01 01:00:00,15382.36,ISNE
2017-01-01 02:00:00,14729.55,ISNE
2017-01-01 03:00:00,14059.34,ISNE
2017-01-01 04:00:00,13395.53,ISNE
2017-01-01 05:00:00,12737.39,ISNE
2017-01-01 06:00:00,12131.67,ISNE
2017-01-01 07:00:00,11898.42,ISNE
2017-01-01 08:00:00,11766.3,ISNE
2017-01-01 09:00:00,11648.96,ISNE
2017-01-01 10:00:00,11505.99,ISNE
2017-01-01 11:00:00,11550.16,ISNE
2017-01-01 12:00:00,11741.52,ISNE
2017-01-01 13:00:00,11741.29,ISNE
2017-01-01 14:00:00,11892.25,ISNE
2017-01-01 15:00:00,12045.9,ISNE
2017-01-01 16:00:00,12336.46,ISNE
2017-01-01 17:00:00,12528.85,ISNE
2017-01-01 18:00:00,12624.91,ISNE
2017-01-01 19:00:00,12631.4,ISNE
2017-01-01 20:00:00,12769.25,ISNE
2017-01-01 21:00:00,13540.54,ISNE
2017-01-01 22:00:00,14095.72,ISNE
2017-01-01 23:00:00,14519.42,ISNE
2017-01-02 00:00:00,16175.14,ISNE
2017-01-02 01:00:00,15530.75,ISNE
2017-01-02 02:00:00,14900.79,ISNE
2017-01-02 03:00:00,14241.38,ISNE
2017-01-02 04:00:00,13576.87,ISNE
2017-01-02 05:00:00,12955.02,ISNE
2017-01-02 06:00:00,12492.11,ISNE
2017-01-02 07:00:00,12158.71,ISNE
2017-01-02 08:00:00,12096.74,ISNE
2017-01-02 09:00:00,12074.11,ISNE
2017-01-02 10:00:00,12188.82,ISNE
2017-01-02 11:00:00,12396.78,ISNE
2017-01-02 12:00:00,12749.87,ISNE
2017-01-02 13:00:00,13772.47,ISNE
2017-01-02 14:00:00,14356.95,ISNE
2017-01-02 15:00:00,14526.14,ISNE
2017-01-02 16:00:00,14645.29,ISNE
2017-01-02 17:00:00,14775.04,ISNE
2017-01-02 18:00:00,14848.15,ISNE
2017-01-02 19:00:00,14831.15,ISNE
2017-01-02 20:00:00,14908.94,ISNE
2017-01-02 21:00:00,15520.42,ISNE
2017-01-02 22:00:00,15997.81,ISNE
2017-01-02 23:00:00,16406.74,ISNE
2017-01-03 00:00:00,17232.4,ISNE
