Time_UTC,Load,BA
2017-01-01 00:00:00,74400.97,MISO
2017-01-01 01:00:00,73955.52,MISO
2017-01-01 02:00:00,72827.07,MISO
2017-01-01 03:00:00,71515.35,MISO
2017-01-01 04:00:00,69757.53,MISO
2017-01-01 05:00:00,67279.46,MISO
2017-01-01 06:00:00,64925.48,MISO
2017-01-01 07:00:00,62932.01,MISO
2017-01-01 08:00:00,61701.32,MISO
2017-01-01 09:00:00,60898.37,MISO
2017-01-01 10:00:00,60618.09,MISO
2017-01-01 11:00:00,61505.58,MISO
2017-01-01 12:00:00,62438.12,MISO
2017-01-01 13:00:00,63345.98,MISO
2017-01-01 14:00:00,64528.19,MISO
2017-01-01 15:00:00,65930.61,MISO
2017-01-01 16:00:00,66248.11,MISO
2017-01-01 17:00:00,66210.85,MISO
2017-01-01 18:00:00,66213.91,MISO
2017-01-01 19:00:00,66232.87,MISO
2017-01-01 20:00:00,66215.48,MISO
2017-01-01 21:00:00,66252.48,MISO
2017-01-01 22:00:00,66041.18,MISO
2017-01-01 23:00:00,66944.46,MISO
2017-01-02 00:00:00,74026.03,MISO
2017-01-02 01:00:00,73571.92,MISO
2017-01-02 02:00:00,72710.06,MISO
2017-01-02 03:00:00,71598.41,MISO
2017-01-02 04:00:00,69717.36,MISO
2017-01-02 05:00:00,67385.57,MISO
2017-01-02 06:00:00,64980.57,MISO
2017-01-02 07:00:00,62820.39,MISO
2017-01-02 08:00:00,61496.59,MISO
2017-01-02 09:00:00,61614.68,MISO
2017-01-02 10:00:00,63049.32,MISO
2017-01-02 11:00:00,64793.15,MISO
2017-01-02 12:00:00,66500.45,MISO
2017-01-02 13:00:00,68051.87,MISO
2017-01-02 14:00:00,70652.25,MISO
2017-01-02 15:00:00,72968.5,MISO
2017-01-02 16:00:00,74264.18,MISO
2017-01-02 17:00:00,75597.27,MISO
2017-01-02 18:00:00,76338.05,MISO
2017-01-02 19:00:00,76807.29,MISO
2017-01-02 20:00:00,76768.7,MISO
2017-01-02 21:00:00,76302.6,MISO
2017-01-02 22:00:00,76031.03,MISO
2017-01-02 23:00:00,75796.44,MISO
2017-01-03 00:00:00,78256.36,MISO
2017-01-03 01:00:00,77511.77,MISO
2017-01-03 02:00:00,76608.22,MISO
2017-01-03 03:00:00,74228.08,MISO
2017-01-03 04:00:00,71429.54,MISO
2017-01-03 05:00:00,68652.48,MISO
2017-01-03 06:00:00,66115.61,MISO
2017-01-03 07:00:00,63967.97,MISO
2017-01-03 08:00:00,63392.22,MISO
2017-01-03 09:00:00,64053.36,MISO
2017-01-03 10:00:00,65605.69,MISO
2017-01-03 11:00:00,67441.91,MISO
2017-01-03 12:00:00,69170.55,MISO
2017-01-03 13:00:00,71118.71,MISO
2017-01-03 14:00:00,73951.97,MISO
2017-01-03 15:00:00,77376.62,MISO
2017-01-03 16:00:00,78505.28,MISO
2017-01-03 17:00:00,78771.59,MISO
2017-01-03 18:00:00,78940.15,MISO
2017-01-03 19:00:00,78970.14,MISO
2017-01-03 20:00:00,78920.56,MISO
2017-01-03 21:00:00,78511.97,MISO
2017-01-03 22:00:00,78318.14,MISO
2017-01-03 23:00:00,78237.62,MISO
2017-01-04 00:00:00,82164.35,MISO
2017-01-04 01:00:00,82763.6,MISO
2017-01-04 02:00:00,82553.53,MISO
2017-01-04 03:00:00,80917.74,MISO
2017-01-04 04:00:00,79177.74,MISO
2017-01-04 05:00:00,77377.88,MISO
2017-01-04 06:00:00,75794.72,MISO
