Time_UTC,Load,BA
2017-01-01 00:00:00,3663.18,NEVP
2017-01-01 01:00:00,3968.98,NEVP
2017-01-01 02:00:00,4070.69,NEVP
2017-01-01 03:00:00,4076.06,NEVP
2017-01-01 04:00:00,4052.6,NEVP
2017-01-01 05:00:00,3973.03,NEVP
2017-01-01 06:00:00,3824.48,NEVP
2017-01-01 07:00:00,3663.42,NEVP
2017-01-01 08:00:00,3505.82,NEVP
2017-01-01 09:00:00,3393.11,NEVP
2017-01-01 10:00:00,3337.03,NEVP
2017-01-01 11:00:00,3316.39,NEVP
2017-01-01 12:00:00,3314.42,NEVP
2017-01-01 13:00:00,3326.37,NEVP
2017-01-01 14:00:00,3334.96,NEVP
2017-01-01 15:00:00,3343.83,NEVP
2017-01-01 16:00:00,3297.31,NEVP
2017-01-01 17:00:00,3261.3,NEVP
2017-01-01 18:00:00,3277.46,NEVP
2017-01-01 19:00:00,3286.02,NEVP
2017-01-01 20:00:00,3292.4,NEVP
2017-01-01 21:00:00,3280.73,NEVP
2017-01-01 22:00:00,3264.11,NEVP
2017-01-01 23:00:00,3270.38,NEVP
2017-01-02 00:00:00,3465.31,NEVP
2017-01-02 01:00:00,3762.08,NEVP
2017-01-02 02:00:00,3863.39,NEVP
2017-01-02 03:00:00,3952.33,NEVP
2017-01-02 04:00:00,4002.98,NEVP
2017-01-02 05:00:00,3905.06,NEVP
2017-01-02 06:00:00,3764.9,NEVP
2017-01-02 07:00:00,3638.7,NEVP
2017-01-02 08:00:00,3507.03,NEVP
2017-01-02 09:00:00,3387.06,NEVP
2017-01-02 10:00:00,3294.7,NEVP
2017-01-02 11:00:00,3267.94,NEVP
2017-01-02 12:00:00,3268.27,NEVP
2017-01-02 13:00:00,3287.54,NEVP
2017-01-02 14:00:00,3334.39,NEVP
2017-01-02 15:00:00,3397.56,NEVP
2017-01-02 16:00:00,3450.35,NEVP
2017-01-02 17:00:00,3474.25,NEVP
2017-01-02 18:00:00,3497.51,NEVP
2017-01-02 19:00:00,3489.78,NEVP
2017-01-02 20:00:00,3474.23,NEVP
2017-01-02 21:00:00,3455.73,NEVP
2017-01-02 22:00:00,3444.54,NEVP
2017-01-02 23:00:00,3427.99,NEVP
2017-01-03 00:00:00,3579.62,NEVP
2017-01-03 01:00:00,3813.42,NEVP
2017-01-03 02:00:00,3939.5,NEVP
2017-01-03 03:00:00,4052.67,NEVP
2017-01-03 04:00:00,4148.76,NEVP
2017-01-03 05:00:00,4042.49,NEVP
2017-01-03 06:00:00,3859.71,NEVP
2017-01-03 07:00:00,3678.16,NEVP
2017-01-03 08:00:00,3523.92,NEVP
2017-01-03 09:00:00,3396.19,NEVP
2017-01-03 10:00:00,3376.97,NEVP
2017-01-03 11:00:00,3386.13,NEVP
2017-01-03 12:00:00,3440.5,NEVP
2017-01-03 13:00:00,3513.41,NEVP
2017-01-03 14:00:00,3589.37,NEVP
2017-01-03 15:00:00,3654.58,NEVP
2017-01-03 16:00:00,3725.11,NEVP
2017-01-03 17:00:00,3738.73,NEVP
2017-01-03 18:00:00,3713.59,NEVP
2017-01-03 19:00:00,3681.1,NEVP
2017-01-03 20:00:00,3672.83,NEVP
2017-01-03 21:00:00,3652.4,NEVP
2017-01-03 22:00:00,3628.74,NEVP
2017-01-03 23:00:00,3648.77,NEVP
2017-01-04 00:00:00,3666.93,NEVP
2017-01-04 01:00:00,3914.56,NEVP
2017-01-04 02:00:00,4015.48,NEVP
2017-01-04 03:00:00,4122.91,NEVP
2017-01-04 04:00:00,4132.96,NEVP
2017-01-04 05:00:00,4025.76,NEVP
2017-01-04 06:00:00,3832.16,NEVP
2017-01-04 07:00:00,3649.17,NEVP
2017-01-04 08:00:00,3468.98,NEVP
2017-01-04 09:00:00,3316.32,NEVP
2017-01-04 10:00:00,3274.53,NEVP
2017-01-04 11:00:00,3292.04,NEVP
2017-01-04 12:00:00,3351.22,NEVP
2017-01-04 13:00:00,3410.58,NEVP
2017-01-04 14:00:00,3476.85,NEVP
2017-01-04 15:00:00,3541.97,NEVP
2017-01-04 16:00:00,3640.81,NEVP
2017-01-04 17:00:00,3659.46,NEVP
2017-01-04 18:00:00,3640.02,NEVP
2017-01-04 19:00:00,3618.7,NEVP
2017-01-04 20:00:00,3590.79,NEVP
2017-01-04 21:00:00,3556.0,NEVP
2017-01-04 22:00:00,3547.97,NEVP
2017-01-04 23:00:00,3567.51,NEVP
2017-01-05 00:00:00,3577.38,NEVP
2017-01-05 01:00:00,3813.04,NEVP
2017-01-05 02:00:00,3936.43,NEVP
2017-01-05 03:00:00,4056.23,NEVP
2017-01-05 04:00:00,4103.7,NEVP
2017-01-05 05:00:00,4008.77,NEVP
2017-01-05 06:00:00,3827.0,NEVP
2017-01-05 07:00:00,3643.14,NEVP
2017-01-05 08:00:00,3476.11,NEVP
2017-01-05 09:00:00,3369.44,NEVP
2017-01-05 10:00:00,3345.84,NEVP
2017-01-05 11:00:00,3335.57,NEVP
2017-01-05 12:00:00,3385.82,NEVP
2017-01-05 13:00:00,3448.57,NEVP
2017-01-05 14:00:00,3515.98,NEVP
2017-01-05 15:00:00,3590.3,NEVP
2017-01-05 16:00:00,3675.64,NEVP
2017-01-05 17:00:00,3723.19,NEVP
2017-01-05 18:00:00,3707.19,NEVP
2017-01-05 19:00:00,3685.14,NEVP
2017-01-05 20:00:00,3649.43,NEVP
2017-01-05 21:00:00,3592.62,NEVP
2017-01-05 22:00:00,3557.04,NEVP
2017-01-05 23:00:00,3566.34,NEVP
2017-01-06 00:00:00,3571.27,NEVP
2017-01-06 01:00:00,3851.75,NEVP
2017-01-06 02:00:00,3981.53,NEVP
2017-01-06 03:00:00,4111.74,NEVP
2017-01-06 04:00:00,4190.09,NEVP
2017-01-06 05:00:00,4096.45,NEVP
2017-01-06 06:00:00,3938.02,NEVP
2017-01-06 07:00:00,3776.38,NEVP
2017-01-06 08:00:00,3634.88,NEVP
2017-01-06 09:00:00,3516.46,NEVP
2017-01-06 10:00:00,3531.33,NEVP
2017-01-06 11:00:00,3608.42,NEVP
2017-01-06 12:00:00,3690.91,NEVP
