Time_UTC,Load,BA
2017-01-01 00:00:00,1472.14,NWMT
2017-01-01 01:00:00,1513.45,NWMT
2017-01-01 02:00:00,1521.43,NWMT
2017-01-01 03:00:00,1519.23,NWMT
2017-01-01 04:00:00,1497.41,NWMT
2017-01-01 05:00:00,1453.45,NWMT
2017-01-01 06:00:00,1399.71,NWMT
2017-01-01 07:00:00,1350.72,NWMT
2017-01-01 08:00:00,1314.42,NWMT
2017-01-01 09:00:00,1298.27,NWMT
2017-01-01 10:00:00,1301.35,NWMT
2017-01-01 11:00:00,1313.2,NWMT
2017-01-01 12:00:00,1330.0,NWMT
2017-01-01 13:00:00,1352.14,NWMT
2017-01-01 14:00:00,1382.25,NWMT
2017-01-01 15:00:00,1413.38,NWMT
2017-01-01 16:00:00,1465.4,NWMT
2017-01-01 17:00:00,1494.84,NWMT
2017-01-01 18:00:00,1509.4,NWMT
2017-01-01 19:00:00,1516.08,NWMT
2017-01-01 20:00:00,1518.65,NWMT
2017-01-01 21:00:00,1520.53,NWMT
2017-01-01 22:00:00,1518.67,NWMT
2017-01-01 23:00:00,1520.39,NWMT
2017-01-02 00:00:00,1578.47,NWMT
2017-01-02 01:00:00,1611.07,NWMT
2017-01-02 02:00:00,1644.43,NWMT
2017-01-02 03:00:00,1644.27,NWMT
2017-01-02 04:00:00,1616.82,NWMT
2017-01-02 05:00:00,1562.11,NWMT
2017-01-02 06:00:00,1507.6,NWMT
2017-01-02 07:00:00,1458.05,NWMT
2017-01-02 08:00:00,1423.02,NWMT
2017-01-02 09:00:00,1395.87,NWMT
2017-01-02 10:00:00,1379.57,NWMT
2017-01-02 11:00:00,1386.73,NWMT
2017-01-02 12:00:00,1418.96,NWMT
2017-01-02 13:00:00,1461.0,NWMT
2017-01-02 14:00:00,1503.53,NWMT
2017-01-02 15:00:00,1548.11,NWMT
2017-01-02 16:00:00,1614.4,NWMT
2017-01-02 17:00:00,1660.46,NWMT
2017-01-02 18:00:00,1668.42,NWMT
2017-01-02 19:00:00,1659.98,NWMT
2017-01-02 20:00:00,1651.32,NWMT
2017-01-02 21:00:00,1642.25,NWMT
2017-01-02 22:00:00,1629.85,NWMT
2017-01-02 23:00:00,1624.72,NWMT
2017-01-03 00:00:00,1725.68,NWMT
2017-01-03 01:00:00,1764.7,NWMT
2017-01-03 02:00:00,1769.38,NWMT
2017-01-03 03:00:00,1761.09,NWMT
2017-01-03 04:00:00,1712.83,NWMT
2017-01-03 05:00:00,1655.58,NWMT
2017-01-03 06:00:00,1602.1,NWMT
2017-01-03 07:00:00,1556.98,NWMT
2017-01-03 08:00:00,1520.82,NWMT
2017-01-03 09:00:00,1502.74,NWMT
2017-01-03 10:00:00,1496.17,NWMT
2017-01-03 11:00:00,1509.02,NWMT
2017-01-03 12:00:00,1538.94,NWMT
2017-01-03 13:00:00,1580.48,NWMT
2017-01-03 14:00:00,1621.35,NWMT
2017-01-03 15:00:00,1661.67,NWMT
