Time_UTC,Load,BA
2017-01-01 00:00:00,5340.64,PACE
2017-01-01 01:00:00,5543.73,PACE
2017-01-01 02:00:00,5626.84,PACE
2017-01-01 03:00:00,5698.98,PACE
2017-01-01 04:00:00,5630.69,PACE
2017-01-01 05:00:00,5472.91,PACE
2017-01-01 06:00:00,5288.8,PACE
2017-01-01 07:00:00,5097.4,PACE
2017-01-01 08:00:00,4919.16,PACE
2017-01-01 09:00:00,4829.67,PACE
2017-01-01 10:00:00,4792.41,PACE
2017-01-01 11:00:00,4767.99,PACE
2017-01-01 12:00:00,4787.21,PACE
2017-01-01 13:00:00,4809.94,PACE
2017-01-01 14:00:00,4835.61,PACE
2017-01-01 15:00:00,4877.84,PACE
2017-01-01 16:00:00,4934.22,PACE
2017-01-01 17:00:00,4862.39,PACE
2017-01-01 18:00:00,4814.28,PACE
2017-01-01 19:00:00,4784.4,PACE
2017-01-01 20:00:00,4743.33,PACE
2017-01-01 21:00:00,4712.57,PACE
2017-01-01 22:00:00,4687.55,PACE
2017-01-01 23:00:00,4671.84,PACE
2017-01-02 00:00:00,5413.91,PACE
2017-01-02 01:00:00,5581.31,PACE
2017-01-02 02:00:00,5616.28,PACE
2017-01-02 03:00:00,5656.81,PACE
2017-01-02 04:00:00,5670.35,PACE
2017-01-02 05:00:00,5473.0,PACE
2017-01-02 06:00:00,5289.53,PACE
2017-01-02 07:00:00,5121.63,PACE
2017-01-02 08:00:00,4965.26,PACE
2017-01-02 09:00:00,4839.99,PACE
2017-01-02 10:00:00,4839.23,PACE
2017-01-02 11:00:00,4930.24,PACE
2017-01-02 12:00:00,5013.81,PACE
2017-01-02 13:00:00,5097.71,PACE
2017-01-02 14:00:00,5196.03,PACE
2017-01-02 15:00:00,5325.82,PACE
2017-01-02 16:00:00,5518.8,PACE
2017-01-02 17:00:00,5582.06,PACE
2017-01-02 18:00:00,5594.25,PACE
2017-01-02 19:00:00,5587.93,PACE
2017-01-02 20:00:00,5569.63,PACE
2017-01-02 21:00:00,5546.82,PACE
2017-01-02 22:00:00,5564.35,PACE
2017-01-02 23:00:00,5588.69,PACE
2017-01-03 00:00:00,5999.16,PACE
2017-01-03 01:00:00,6029.19,PACE
2017-01-03 02:00:00,6046.24,PACE
2017-01-03 03:00:00,6073.61,PACE
2017-01-03 04:00:00,6055.8,PACE
2017-01-03 05:00:00,5807.48,PACE
2017-01-03 06:00:00,5562.41,PACE
2017-01-03 07:00:00,5332.51,PACE
2017-01-03 08:00:00,5145.17,PACE
2017-01-03 09:00:00,5098.73,PACE
2017-01-03 10:00:00,5180.62,PACE
2017-01-03 11:00:00,5284.99,PACE
2017-01-03 12:00:00,5392.94,PACE
2017-01-03 13:00:00,5494.52,PACE
2017-01-03 14:00:00,5591.9,PACE
2017-01-03 15:00:00,5713.72,PACE
2017-01-03 16:00:00,5952.68,PACE
2017-01-03 17:00:00,5960.45,PACE
2017-01-03 18:00:00,5909.12,PACE
2017-01-03 19:00:00,5845.45,PACE
2017-01-03 20:00:00,5827.45,PACE
2017-01-03 21:00:00,5821.45,PACE
2017-01-03 22:00:00,5836.08,PACE
2017-01-03 23:00:00,5915.61,PACE
2017-01-04 00:00:00,5906.75,PACE
2017-01-04 01:00:00,5962.11,PACE
2017-01-04 02:00:00,5996.17,PACE
2017-01-04 03:00:00,6020.62,PACE
2017-01-04 04:00:00,6003.5,PACE
2017-01-04 05:00:00,5758.73,PACE
2017-01-04 06:00:00,5511.72,PACE
2017-01-04 07:00:00,5288.25,PACE
2017-01-04 08:00:00,5109.49,PACE
2017-01-04 09:00:00,5041.41,PACE
2017-01-04 10:00:00,5087.23,PACE
2017-01-04 11:00:00,5191.82,PACE
2017-01-04 12:00:00,5299.35,PACE
2017-01-04 13:00:00,5413.1,PACE
2017-01-04 14:00:00,5510.83,PACE
2017-01-04 15:00:00,5612.96,PACE
2017-01-04 16:00:00,5841.45,PACE
2017-01-04 17:00:00,5911.98,PACE
2017-01-04 18:00:00,5890.75,PACE
2017-01-04 19:00:00,5879.5,PACE
2017-01-04 20:00:00,5877.91,PACE
2017-01-04 21:00:00,5893.94,PACE
2017-01-04 22:00:00,5918.31,PACE
2017-01-04 23:00:00,5948.44,PACE
2017-01-05 00:00:00,5902.52,PACE
2017-01-05 01:00:00,5938.8,PACE
2017-01-05 02:00:00,5961.38,PACE
2017-01-05 03:00:00,5973.12,PACE
2017-01-05 04:00:00,5987.16,PACE
2017-01-05 05:00:00,5781.18,PACE
2017-01-05 06:00:00,5548.16,PACE
2017-01-05 07:00:00,5349.0,PACE
2017-01-05 08:00:00,5169.86,PACE
2017-01-05 09:00:00,5127.16,PACE
2017-01-05 10:00:00,5218.71,PACE
2017-01-05 11:00:00,5332.14,PACE
2017-01-05 12:00:00,5450.63,PACE
2017-01-05 13:00:00,5574.67,PACE
2017-01-05 14:00:00,5699.87,PACE
2017-01-05 15:00:00,5841.98,PACE
2017-01-05 16:00:00,6043.77,PACE
2017-01-05 17:00:00,6091.66,PACE
2017-01-05 18:00:00,6032.88,PACE
2017-01-05 19:00:00,5999.33,PACE
2017-01-05 20:00:00,5979.7,PACE
2017-01-05 21:00:00,5980.9,PACE
2017-01-05 22:00:00,6009.09,PACE
2017-01-05 23:00:00,6090.06,PACE
2017-01-06 00:00:00,6172.7,PACE
2017-01-06 01:00:00,6228.23,PACE
2017-01-06 02:00:00,6264.41,PACE
2017-01-06 03:00:00,6315.84,PACE
2017-01-06 04:00:00,6260.21,PACE
2017-01-06 05:00:00,6025.75,PACE
2017-01-06 06:00:00,5800.65,PACE
2017-01-06 07:00:00,5607.69,PACE
2017-01-06 08:00:00,5526.59,PACE
2017-01-06 09:00:00,5501.34,PACE
2017-01-06 10:00:00,5561.39,PACE
2017-01-06 11:00:00,5654.14,PACE
2017-01-06 12:00:00,5689.2,PACE
2017-01-06 13:00:00,5745.53,PACE
2017-01-06 14:00:00,5810.69,PACE
2017-01-06 15:00:00,5893.25,PACE
2017-01-06 16:00:00,6149.64,PACE
2017-01-06 17:00:00,6112.11,PACE
2017-01-06 18:00:00,6067.65,PACE
2017-01-06 19:00:00,6029.98,PACE
2017-01-06 20:00:00,5997.86,PACE
2017-01-06 21:00:00,5984.09,PACE
2017-01-06 22:00:00,5978.92,PACE
2017-01-06 23:00:00,6040.5,PACE
2017-01-07 00:00:00,6014.86,PACE
2017-01-07 01:00:00,6118.98,PACE
2017-01-07 02:00:00,6191.65,PACE
2017-01-07 03:00:00,6256.65,PACE
2017-01-07 04:00:00,6111.74,PACE
2017-01-07 05:00:00,5945.73,PACE
2017-01-07 06:00:00,5765.77,PACE
2017-01-07 07:00:00,5606.16,PACE
2017-01-07 08:00:00,5500.56,PACE
2017-01-07 09:00:00,5443.81,PACE
2017-01-07 10:00:00,5441.4,PACE
2017-01-07 11:00:00,5464.96,PACE
2017-01-07 12:00:00,5503.11,PACE
2017-01-07 13:00:00,5558.44,PACE
2017-01-07 14:00:00,5606.31,PACE
2017-01-07 15:00:00,5693.01,PACE
2017-01-07 16:00:00,5758.0,PACE
2017-01-07 17:00:00,5753.56,PACE
2017-01-07 18:00:00,5759.58,PACE
2017-01-07 19:00:00,5720.43,PACE
2017-01-07 20:00:00,5709.67,PACE
2017-01-07 21:00:00,5701.16,PACE
2017-01-07 22:00:00,5704.11,PACE
2017-01-07 23:00:00,5709.53,PACE
2017-01-08 00:00:00,5891.11,PACE
2017-01-08 01:00:00,5963.43,PACE
2017-01-08 02:00:00,6023.28,PACE
2017-01-08 03:00:00,6073.52,PACE
2017-01-08 04:00:00,6003.79,PACE
2017-01-08 05:00:00,5814.62,PACE
2017-01-08 06:00:00,5627.85,PACE
2017-01-08 07:00:00,5425.27,PACE
2017-01-08 08:00:00,5244.27,PACE
2017-01-08 09:00:00,5162.44,PACE
2017-01-08 10:00:00,5123.5,PACE
2017-01-08 11:00:00,5128.7,PACE
2017-01-08 12:00:00,5161.67,PACE
2017-01-08 13:00:00,5203.33,PACE
2017-01-08 14:00:00,5243.67,PACE
2017-01-08 15:00:00,5296.62,PACE
2017-01-08 16:00:00,5422.71,PACE
2017-01-08 17:00:00,5472.95,PACE
2017-01-08 18:00:00,5533.19,PACE
2017-01-08 19:00:00,5537.23,PACE
2017-01-08 20:00:00,5513.49,PACE
2017-01-08 21:00:00,5501.24,PACE
2017-01-08 22:00:00,5495.59,PACE
2017-01-08 23:00:00,5483.46,PACE
2017-01-09 00:00:00,5787.63,PACE
2017-01-09 01:00:00,5849.37,PACE
2017-01-09 02:00:00,5859.02,PACE
2017-01-09 03:00:00,5856.89,PACE
2017-01-09 04:00:00,5852.39,PACE
2017-01-09 05:00:00,5667.56,PACE
2017-01-09 06:00:00,5453.11,PACE
2017-01-09 07:00:00,5243.97,PACE
2017-01-09 08:00:00,5044.65,PACE
2017-01-09 09:00:00,5009.4,PACE
2017-01-09 10:00:00,5020.0,PACE
2017-01-09 11:00:00,5087.01,PACE
2017-01-09 12:00:00,5166.97,PACE
2017-01-09 13:00:00,5246.57,PACE
2017-01-09 14:00:00,5349.02,PACE
2017-01-09 15:00:00,5459.17,PACE
2017-01-09 16:00:00,5690.1,PACE
2017-01-09 17:00:00,5796.63,PACE
2017-01-09 18:00:00,5821.28,PACE
2017-01-09 19:00:00,5801.48,PACE
2017-01-09 20:00:00,5805.35,PACE
2017-01-09 21:00:00,5840.22,PACE
2017-01-09 22:00:00,5860.48,PACE
2017-01-09 23:00:00,5899.64,PACE
2017-01-10 00:00:00,5799.51,PACE
2017-01-10 01:00:00,5835.32,PACE
2017-01-10 02:00:00,5870.59,PACE
2017-01-10 03:00:00,5893.13,PACE
2017-01-10 04:00:00,5893.62,PACE
2017-01-10 05:00:00,5701.5,PACE
2017-01-10 06:00:00,5486.37,PACE
2017-01-10 07:00:00,5246.42,PACE
2017-01-10 08:00:00,5042.04,PACE
2017-01-10 09:00:00,5025.46,PACE
2017-01-10 10:00:00,5097.08,PACE
2017-01-10 11:00:00,5175.22,PACE
2017-01-10 12:00:00,5260.48,PACE
2017-01-10 13:00:00,5369.29,PACE
2017-01-10 14:00:00,5478.01,PACE
2017-01-10 15:00:00,5589.87,PACE
2017-01-10 16:00:00,5831.84,PACE
2017-01-10 17:00:00,5795.86,PACE
2017-01-10 18:00:00,5774.94,PACE
2017-01-10 19:00:00,5735.04,PACE
2017-01-10 20:00:00,5751.69,PACE
2017-01-10 21:00:00,5780.55,PACE
2017-01-10 22:00:00,5840.36,PACE
2017-01-10 23:00:00,5861.73,PACE
2017-01-11 00:00:00,5844.89,PACE
2017-01-11 01:00:00,5902.05,PACE
2017-01-11 02:00:00,5916.34,PACE
2017-01-11 03:00:00,5926.94,PACE
2017-01-11 04:00:00,5922.67,PACE
2017-01-11 05:00:00,5749.33,PACE
2017-01-11 06:00:00,5524.05,PACE
2017-01-11 07:00:00,5324.98,PACE
2017-01-11 08:00:00,5138.62,PACE
2017-01-11 09:00:00,5092.48,PACE
2017-01-11 10:00:00,5102.22,PACE
2017-01-11 11:00:00,5158.61,PACE
2017-01-11 12:00:00,5249.32,PACE
2017-01-11 13:00:00,5352.39,PACE
2017-01-11 14:00:00,5462.32,PACE
2017-01-11 15:00:00,5573.02,PACE
2017-01-11 16:00:00,5833.82,PACE
2017-01-11 17:00:00,5799.21,PACE
2017-01-11 18:00:00,5763.35,PACE
2017-01-11 19:00:00,5818.62,PACE
2017-01-11 20:00:00,5815.86,PACE
2017-01-11 21:00:00,5835.27,PACE
2017-01-11 22:00:00,5851.42,PACE
2017-01-11 23:00:00,5889.09,PACE
2017-01-12 00:00:00,5868.35,PACE
2017-01-12 01:00:00,5924.56,PACE
2017-01-12 02:00:00,5924.3,PACE
2017-01-12 03:00:00,5945.9,PACE
2017-01-12 04:00:00,5941.85,PACE
2017-01-12 05:00:00,5709.2,PACE
2017-01-12 06:00:00,5443.11,PACE
2017-01-12 07:00:00,5202.94,PACE
2017-01-12 08:00:00,5026.42,PACE
2017-01-12 09:00:00,4999.74,PACE
2017-01-12 10:00:00,5079.49,PACE
2017-01-12 11:00:00,5189.77,PACE
2017-01-12 12:00:00,5299.52,PACE
2017-01-12 13:00:00,5406.56,PACE
2017-01-12 14:00:00,5517.97,PACE
2017-01-12 15:00:00,5631.7,PACE
2017-01-12 16:00:00,5892.82,PACE
2017-01-12 17:00:00,5876.48,PACE
2017-01-12 18:00:00,5824.33,PACE
2017-01-12 19:00:00,5804.25,PACE
2017-01-12 20:00:00,5791.52,PACE
2017-01-12 21:00:00,5813.78,PACE
2017-01-12 22:00:00,5848.59,PACE
2017-01-12 23:00:00,5907.27,PACE
2017-01-13 00:00:00,5831.51,PACE
2017-01-13 01:00:00,5916.67,PACE
2017-01-13 02:00:00,5945.1,PACE
2017-01-13 03:00:00,5981.63,PACE
2017-01-13 04:00:00,5975.57,PACE
2017-01-13 05:00:00,5727.58,PACE
2017-01-13 06:00:00,5484.48,PACE
2017-01-13 07:00:00,5247.05,PACE
2017-01-13 08:00:00,5059.64,PACE
2017-01-13 09:00:00,5015.39,PACE
2017-01-13 10:00:00,5095.56,PACE
2017-01-13 11:00:00,5202.95,PACE
