Time_UTC,Load,BA
2017-01-01 00:00:00,2641.79,PACW
2017-01-01 01:00:00,2762.49,PACW
2017-01-01 02:00:00,2886.49,PACW
2017-01-01 03:00:00,2980.36,PACW
2017-01-01 04:00:00,2905.81,PACW
2017-01-01 05:00:00,2835.21,PACW
2017-01-01 06:00:00,2740.5,PACW
2017-01-01 07:00:00,2664.54,PACW
2017-01-01 08:00:00,2563.82,PACW
2017-01-01 09:00:00,2469.5,PACW
2017-01-01 10:00:00,2413.9,PACW
2017-01-01 11:00:00,2414.35,PACW
2017-01-01 12:00:00,2419.25,PACW
2017-01-01 13:00:00,2496.26,PACW
2017-01-01 14:00:00,2559.11,PACW
2017-01-01 15:00:00,2620.36,PACW
2017-01-01 16:00:00,2734.89,PACW
2017-01-01 17:00:00,2844.31,PACW
2017-01-01 18:00:00,2895.56,PACW
2017-01-01 19:00:00,2897.36,PACW
2017-01-01 20:00:00,2874.76,PACW
2017-01-01 21:00:00,2843.04,PACW
2017-01-01 22:00:00,2788.75,PACW
2017-01-01 23:00:00,2719.9,PACW
2017-01-02 00:00:00,2858.84,PACW
2017-01-02 01:00:00,2896.05,PACW
2017-01-02 02:00:00,2958.35,PACW
2017-01-02 03:00:00,3035.86,PACW
2017-01-02 04:00:00,3049.89,PACW
2017-01-02 05:00:00,2969.34,PACW
2017-01-02 06:00:00,2871.56,PACW
2017-01-02 07:00:00,2769.44,PACW
2017-01-02 08:00:00,2677.53,PACW
2017-01-02 09:00:00,2593.16,PACW
2017-01-02 10:00:00,2527.62,PACW
2017-01-02 11:00:00,2591.59,PACW
2017-01-02 12:00:00,2702.37,PACW
2017-01-02 13:00:00,2814.48,PACW
2017-01-02 14:00:00,2923.52,PACW
2017-01-02 15:00:00,3009.32,PACW
2017-01-02 16:00:00,3113.1,PACW
2017-01-02 17:00:00,3336.46,PACW
2017-01-02 18:00:00,3365.63,PACW
2017-01-02 19:00:00,3324.09,PACW
2017-01-02 20:00:00,3299.09,PACW
2017-01-02 21:00:00,3240.36,PACW
2017-01-02 22:00:00,3172.72,PACW
2017-01-02 23:00:00,3102.83,PACW
2017-01-03 00:00:00,3290.25,PACW
2017-01-03 01:00:00,3369.59,PACW
2017-01-03 02:00:00,3425.14,PACW
2017-01-03 03:00:00,3476.21,PACW
2017-01-03 04:00:00,3403.61,PACW
2017-01-03 05:00:00,3284.31,PACW
2017-01-03 06:00:00,3170.96,PACW
2017-01-03 07:00:00,3064.43,PACW
2017-01-03 08:00:00,2957.48,PACW
2017-01-03 09:00:00,2894.29,PACW
2017-01-03 10:00:00,2898.26,PACW
2017-01-03 11:00:00,2972.86,PACW
2017-01-03 12:00:00,3059.41,PACW
2017-01-03 13:00:00,3158.89,PACW
2017-01-03 14:00:00,3263.93,PACW
2017-01-03 15:00:00,3333.27,PACW
2017-01-03 16:00:00,3463.17,PACW
2017-01-03 17:00:00,3638.56,PACW
2017-01-03 18:00:00,3513.86,PACW
2017-01-03 19:00:00,3391.34,PACW
2017-01-03 20:00:00,3305.14,PACW
2017-01-03 21:00:00,3254.5,PACW
2017-01-03 22:00:00,3233.57,PACW
2017-01-03 23:00:00,3257.41,PACW
2017-01-04 00:00:00,3296.87,PACW
2017-01-04 01:00:00,3385.8,PACW
2017-01-04 02:00:00,3454.23,PACW
2017-01-04 03:00:00,3507.67,PACW
2017-01-04 04:00:00,3435.4,PACW
2017-01-04 05:00:00,3313.5,PACW
2017-01-04 06:00:00,3192.48,PACW
2017-01-04 07:00:00,3088.35,PACW
2017-01-04 08:00:00,2978.81,PACW
2017-01-04 09:00:00,2885.09,PACW
2017-01-04 10:00:00,2873.82,PACW
2017-01-04 11:00:00,2972.45,PACW
2017-01-04 12:00:00,3066.31,PACW
2017-01-04 13:00:00,3176.08,PACW
2017-01-04 14:00:00,3276.08,PACW
2017-01-04 15:00:00,3346.63,PACW
2017-01-04 16:00:00,3419.4,PACW
2017-01-04 17:00:00,3602.48,PACW
2017-01-04 18:00:00,3533.08,PACW
2017-01-04 19:00:00,3458.43,PACW
2017-01-04 20:00:00,3365.27,PACW
2017-01-04 21:00:00,3294.87,PACW
2017-01-04 22:00:00,3252.64,PACW
2017-01-04 23:00:00,3257.92,PACW
2017-01-05 00:00:00,3297.75,PACW
2017-01-05 01:00:00,3391.52,PACW
2017-01-05 02:00:00,3474.21,PACW
2017-01-05 03:00:00,3547.72,PACW
2017-01-05 04:00:00,3479.27,PACW
2017-01-05 05:00:00,3358.54,PACW
2017-01-05 06:00:00,3257.5,PACW
2017-01-05 07:00:00,3153.94,PACW
2017-01-05 08:00:00,3048.33,PACW
2017-01-05 09:00:00,3007.5,PACW
2017-01-05 10:00:00,3021.98,PACW
2017-01-05 11:00:00,3105.67,PACW
2017-01-05 12:00:00,3205.35,PACW
2017-01-05 13:00:00,3303.38,PACW
