Time_UTC,Load,BA
2017-01-01 00:00:00,2947.79,PGE
2017-01-01 01:00:00,3052.92,PGE
2017-01-01 02:00:00,3098.17,PGE
2017-01-01 03:00:00,3080.21,PGE
2017-01-01 04:00:00,2954.71,PGE
2017-01-01 05:00:00,2815.01,PGE
2017-01-01 06:00:00,2662.7,PGE
2017-01-01 07:00:00,2559.0,PGE
2017-01-01 08:00:00,2403.18,PGE
2017-01-01 09:00:00,2292.96,PGE
2017-01-01 10:00:00,2202.74,PGE
2017-01-01 11:00:00,2165.3,PGE
2017-01-01 12:00:00,2169.81,PGE
2017-01-01 13:00:00,2212.25,PGE
2017-01-01 14:00:00,2294.76,PGE
2017-01-01 15:00:00,2388.25,PGE
2017-01-01 16:00:00,2485.03,PGE
2017-01-01 17:00:00,2623.63,PGE
2017-01-01 18:00:00,2732.98,PGE
2017-01-01 19:00:00,2772.96,PGE
2017-01-01 20:00:00,2794.34,PGE
2017-01-01 21:00:00,2812.34,PGE
2017-01-01 22:00:00,2811.28,PGE
2017-01-01 23:00:00,2815.94,PGE
2017-01-02 00:00:00,2762.46,PGE
2017-01-02 01:00:00,2895.51,PGE
2017-01-02 02:00:00,2991.73,PGE
2017-01-02 03:00:00,3031.9,PGE
2017-01-02 04:00:00,2986.4,PGE
2017-01-02 05:00:00,2916.78,PGE
2017-01-02 06:00:00,2798.62,PGE
2017-01-02 07:00:00,2655.58,PGE
2017-01-02 08:00:00,2490.67,PGE
2017-01-02 09:00:00,2363.52,PGE
2017-01-02 10:00:00,2293.34,PGE
2017-01-02 11:00:00,2280.88,PGE
2017-01-02 12:00:00,2364.04,PGE
2017-01-02 13:00:00,2485.2,PGE
2017-01-02 14:00:00,2622.6,PGE
2017-01-02 15:00:00,2735.0,PGE
2017-01-02 16:00:00,2883.14,PGE
2017-01-02 17:00:00,3142.23,PGE
2017-01-02 18:00:00,3265.17,PGE
2017-01-02 19:00:00,3283.14,PGE
2017-01-02 20:00:00,3294.69,PGE
2017-01-02 21:00:00,3272.87,PGE
2017-01-02 22:00:00,3231.62,PGE
2017-01-02 23:00:00,3177.61,PGE
2017-01-03 00:00:00,3329.07,PGE
2017-01-03 01:00:00,3439.31,PGE
2017-01-03 02:00:00,3490.67,PGE
2017-01-03 03:00:00,3551.22,PGE
2017-01-03 04:00:00,3574.09,PGE
2017-01-03 05:00:00,3391.72,PGE
2017-01-03 06:00:00,3200.41,PGE
2017-01-03 07:00:00,3013.59,PGE
2017-01-03 08:00:00,2826.1,PGE
2017-01-03 09:00:00,2662.33,PGE
2017-01-03 10:00:00,2560.85,PGE
2017-01-03 11:00:00,2550.18,PGE
2017-01-03 12:00:00,2668.58,PGE
2017-01-03 13:00:00,2816.46,PGE
2017-01-03 14:00:00,2975.21,PGE
2017-01-03 15:00:00,3125.33,PGE
2017-01-03 16:00:00,3323.67,PGE
2017-01-03 17:00:00,3518.33,PGE
2017-01-03 18:00:00,3500.32,PGE
2017-01-03 19:00:00,3460.47,PGE
2017-01-03 20:00:00,3419.05,PGE
2017-01-03 21:00:00,3385.14,PGE
2017-01-03 22:00:00,3359.87,PGE
2017-01-03 23:00:00,3367.95,PGE
2017-01-04 00:00:00,3266.52,PGE
2017-01-04 01:00:00,3433.39,PGE
2017-01-04 02:00:00,3504.62,PGE
2017-01-04 03:00:00,3570.05,PGE
2017-01-04 04:00:00,3608.13,PGE
2017-01-04 05:00:00,3468.4,PGE
2017-01-04 06:00:00,3294.12,PGE
2017-01-04 07:00:00,3106.4,PGE
2017-01-04 08:00:00,2917.95,PGE
2017-01-04 09:00:00,2745.2,PGE
2017-01-04 10:00:00,2649.82,PGE
2017-01-04 11:00:00,2651.81,PGE
2017-01-04 12:00:00,2731.61,PGE
2017-01-04 13:00:00,2888.49,PGE
2017-01-04 14:00:00,3059.67,PGE
2017-01-04 15:00:00,3217.38,PGE
2017-01-04 16:00:00,3375.52,PGE
2017-01-04 17:00:00,3617.02,PGE
2017-01-04 18:00:00,3598.54,PGE
2017-01-04 19:00:00,3543.04,PGE
2017-01-04 20:00:00,3500.77,PGE
2017-01-04 21:00:00,3435.05,PGE
2017-01-04 22:00:00,3384.39,PGE
2017-01-04 23:00:00,3371.79,PGE
2017-01-05 00:00:00,3272.77,PGE
2017-01-05 01:00:00,3417.83,PGE
2017-01-05 02:00:00,3482.06,PGE
2017-01-05 03:00:00,3538.35,PGE
2017-01-05 04:00:00,3552.59,PGE
2017-01-05 05:00:00,3390.11,PGE
2017-01-05 06:00:00,3209.8,PGE
2017-01-05 07:00:00,3026.31,PGE
2017-01-05 08:00:00,2843.97,PGE
2017-01-05 09:00:00,2690.93,PGE
2017-01-05 10:00:00,2600.6,PGE
2017-01-05 11:00:00,2617.41,PGE
2017-01-05 12:00:00,2735.91,PGE
2017-01-05 13:00:00,2871.01,PGE
2017-01-05 14:00:00,2999.71,PGE
2017-01-05 15:00:00,3130.48,PGE
2017-01-05 16:00:00,3279.3,PGE
2017-01-05 17:00:00,3503.89,PGE
2017-01-05 18:00:00,3484.64,PGE
2017-01-05 19:00:00,3432.02,PGE
2017-01-05 20:00:00,3369.45,PGE
2017-01-05 21:00:00,3315.07,PGE
2017-01-05 22:00:00,3297.13,PGE
2017-01-05 23:00:00,3321.85,PGE
2017-01-06 00:00:00,3221.1,PGE
2017-01-06 01:00:00,3399.29,PGE
2017-01-06 02:00:00,3498.76,PGE
2017-01-06 03:00:00,3569.76,PGE
2017-01-06 04:00:00,3562.45,PGE
2017-01-06 05:00:00,3396.55,PGE
2017-01-06 06:00:00,3214.93,PGE
2017-01-06 07:00:00,3043.74,PGE
2017-01-06 08:00:00,2870.88,PGE
2017-01-06 09:00:00,2729.57,PGE
2017-01-06 10:00:00,2639.66,PGE
2017-01-06 11:00:00,2642.31,PGE
2017-01-06 12:00:00,2750.6,PGE
2017-01-06 13:00:00,2912.28,PGE
2017-01-06 14:00:00,3086.87,PGE
2017-01-06 15:00:00,3251.74,PGE
2017-01-06 16:00:00,3453.03,PGE
2017-01-06 17:00:00,3643.0,PGE
2017-01-06 18:00:00,3562.97,PGE
2017-01-06 19:00:00,3449.3,PGE
2017-01-06 20:00:00,3372.98,PGE
2017-01-06 21:00:00,3317.91,PGE
2017-01-06 22:00:00,3296.63,PGE
2017-01-06 23:00:00,3307.83,PGE
2017-01-07 00:00:00,3167.39,PGE
2017-01-07 01:00:00,3371.87,PGE
2017-01-07 02:00:00,3478.7,PGE
2017-01-07 03:00:00,3539.05,PGE
2017-01-07 04:00:00,3502.51,PGE
2017-01-07 05:00:00,3383.89,PGE
2017-01-07 06:00:00,3252.43,PGE
2017-01-07 07:00:00,3098.65,PGE
2017-01-07 08:00:00,2956.22,PGE
2017-01-07 09:00:00,2838.62,PGE
2017-01-07 10:00:00,2762.91,PGE
2017-01-07 11:00:00,2756.58,PGE
2017-01-07 12:00:00,2840.21,PGE
2017-01-07 13:00:00,2938.11,PGE
2017-01-07 14:00:00,3007.66,PGE
2017-01-07 15:00:00,3082.99,PGE
2017-01-07 16:00:00,3156.97,PGE
2017-01-07 17:00:00,3370.81,PGE
2017-01-07 18:00:00,3523.78,PGE
2017-01-07 19:00:00,3531.96,PGE
2017-01-07 20:00:00,3518.09,PGE
2017-01-07 21:00:00,3538.19,PGE
2017-01-07 22:00:00,3530.11,PGE
2017-01-07 23:00:00,3514.68,PGE
2017-01-08 00:00:00,3533.7,PGE
2017-01-08 01:00:00,3590.25,PGE
