Time_UTC,Load,BA
2017-01-01 00:00:00,5155.99,PSCO
2017-01-01 01:00:00,5359.48,PSCO
2017-01-01 02:00:00,5531.5,PSCO
2017-01-01 03:00:00,5520.88,PSCO
2017-01-01 04:00:00,5365.12,PSCO
2017-01-01 05:00:00,5208.39,PSCO
2017-01-01 06:00:00,5022.94,PSCO
2017-01-01 07:00:00,4833.95,PSCO
2017-01-01 08:00:00,4642.15,PSCO
2017-01-01 09:00:00,4503.2,PSCO
2017-01-01 10:00:00,4398.82,PSCO
2017-01-01 11:00:00,4353.63,PSCO
2017-01-01 12:00:00,4357.42,PSCO
2017-01-01 13:00:00,4381.63,PSCO
2017-01-01 14:00:00,4419.53,PSCO
2017-01-01 15:00:00,4636.56,PSCO
2017-01-01 16:00:00,4625.8,PSCO
2017-01-01 17:00:00,4603.57,PSCO
2017-01-01 18:00:00,4640.68,PSCO
2017-01-01 19:00:00,4678.35,PSCO
2017-01-01 20:00:00,4694.61,PSCO
2017-01-01 21:00:00,4700.0,PSCO
2017-01-01 22:00:00,4685.44,PSCO
2017-01-01 23:00:00,4746.02,PSCO
2017-01-02 00:00:00,5325.65,PSCO
2017-01-02 01:00:00,5494.32,PSCO
2017-01-02 02:00:00,5643.79,PSCO
2017-01-02 03:00:00,5515.4,PSCO
2017-01-02 04:00:00,5283.18,PSCO
2017-01-02 05:00:00,5044.98,PSCO
2017-01-02 06:00:00,4804.71,PSCO
2017-01-02 07:00:00,4558.46,PSCO
2017-01-02 08:00:00,4307.71,PSCO
2017-01-02 09:00:00,4142.05,PSCO
2017-01-02 10:00:00,4087.01,PSCO
2017-01-02 11:00:00,4153.23,PSCO
2017-01-02 12:00:00,4296.76,PSCO
2017-01-02 13:00:00,4414.97,PSCO
2017-01-02 14:00:00,4515.55,PSCO
2017-01-02 15:00:00,4871.78,PSCO
2017-01-02 16:00:00,4930.6,PSCO
2017-01-02 17:00:00,4985.39,PSCO
2017-01-02 18:00:00,4998.72,PSCO
2017-01-02 19:00:00,5015.63,PSCO
2017-01-02 20:00:00,5051.92,PSCO
2017-01-02 21:00:00,5116.21,PSCO
2017-01-02 22:00:00,5213.4,PSCO
2017-01-02 23:00:00,5307.16,PSCO
2017-01-03 00:00:00,5749.9,PSCO
2017-01-03 01:00:00,5913.94,PSCO
2017-01-03 02:00:00,6045.17,PSCO
2017-01-03 03:00:00,6003.31,PSCO
2017-01-03 04:00:00,5750.52,PSCO
2017-01-03 05:00:00,5438.46,PSCO
2017-01-03 06:00:00,5124.37,PSCO
2017-01-03 07:00:00,4848.45,PSCO
2017-01-03 08:00:00,4699.26,PSCO
2017-01-03 09:00:00,4648.78,PSCO
2017-01-03 10:00:00,4688.17,PSCO
2017-01-03 11:00:00,4852.29,PSCO
2017-01-03 12:00:00,5006.07,PSCO
2017-01-03 13:00:00,5166.77,PSCO
2017-01-03 14:00:00,5335.23,PSCO
2017-01-03 15:00:00,5750.14,PSCO
2017-01-03 16:00:00,5863.36,PSCO
2017-01-03 17:00:00,5813.05,PSCO
2017-01-03 18:00:00,5759.23,PSCO
2017-01-03 19:00:00,5681.52,PSCO
2017-01-03 20:00:00,5618.69,PSCO
2017-01-03 21:00:00,5589.02,PSCO
2017-01-03 22:00:00,5581.44,PSCO
2017-01-03 23:00:00,5618.31,PSCO
2017-01-04 00:00:00,5938.82,PSCO
2017-01-04 01:00:00,6079.06,PSCO
2017-01-04 02:00:00,6211.77,PSCO
2017-01-04 03:00:00,6131.78,PSCO
2017-01-04 04:00:00,5885.4,PSCO
2017-01-04 05:00:00,5597.51,PSCO
2017-01-04 06:00:00,5305.61,PSCO
2017-01-04 07:00:00,5049.55,PSCO
2017-01-04 08:00:00,4893.22,PSCO
2017-01-04 09:00:00,4817.75,PSCO
2017-01-04 10:00:00,4812.23,PSCO
2017-01-04 11:00:00,4950.68,PSCO
2017-01-04 12:00:00,5118.17,PSCO
2017-01-04 13:00:00,5290.59,PSCO
2017-01-04 14:00:00,5451.76,PSCO
2017-01-04 15:00:00,5776.32,PSCO
2017-01-04 16:00:00,5965.57,PSCO
2017-01-04 17:00:00,5949.43,PSCO
2017-01-04 18:00:00,5894.87,PSCO
2017-01-04 19:00:00,5836.27,PSCO
2017-01-04 20:00:00,5768.55,PSCO
2017-01-04 21:00:00,5797.6,PSCO
2017-01-04 22:00:00,5839.32,PSCO
2017-01-04 23:00:00,5906.54,PSCO
2017-01-05 00:00:00,6242.19,PSCO
2017-01-05 01:00:00,6402.78,PSCO
2017-01-05 02:00:00,6546.41,PSCO
2017-01-05 03:00:00,6440.77,PSCO
2017-01-05 04:00:00,6217.97,PSCO
2017-01-05 05:00:00,5936.2,PSCO
2017-01-05 06:00:00,5667.4,PSCO
2017-01-05 07:00:00,5468.63,PSCO
2017-01-05 08:00:00,5336.75,PSCO
2017-01-05 09:00:00,5280.92,PSCO
2017-01-05 10:00:00,5240.63,PSCO
2017-01-05 11:00:00,5306.96,PSCO
2017-01-05 12:00:00,5414.75,PSCO
2017-01-05 13:00:00,5554.23,PSCO
2017-01-05 14:00:00,5698.12,PSCO
2017-01-05 15:00:00,6060.74,PSCO
2017-01-05 16:00:00,6258.82,PSCO
2017-01-05 17:00:00,6291.6,PSCO
2017-01-05 18:00:00,6258.87,PSCO
2017-01-05 19:00:00,6238.9,PSCO
2017-01-05 20:00:00,6204.07,PSCO
2017-01-05 21:00:00,6185.3,PSCO
2017-01-05 22:00:00,6196.73,PSCO
2017-01-05 23:00:00,6198.76,PSCO
2017-01-06 00:00:00,6602.17,PSCO
2017-01-06 01:00:00,6746.97,PSCO
