Time_UTC,Load,BA
2017-01-01 00:00:00,4623.88,PSEI
2017-01-01 01:00:00,4664.9,PSEI
2017-01-01 02:00:00,4698.26,PSEI
2017-01-01 03:00:00,4717.44,PSEI
2017-01-01 04:00:00,4586.8,PSEI
2017-01-01 05:00:00,4459.91,PSEI
2017-01-01 06:00:00,4328.38,PSEI
2017-01-01 07:00:00,4126.33,PSEI
2017-01-01 08:00:00,3938.02,PSEI
2017-01-01 09:00:00,3756.13,PSEI
2017-01-01 10:00:00,3629.13,PSEI
2017-01-01 11:00:00,3580.57,PSEI
2017-01-01 12:00:00,3615.97,PSEI
2017-01-01 13:00:00,3707.45,PSEI
2017-01-01 14:00:00,3842.47,PSEI
2017-01-01 15:00:00,3967.54,PSEI
2017-01-01 16:00:00,4108.28,PSEI
2017-01-01 17:00:00,4296.83,PSEI
2017-01-01 18:00:00,4448.14,PSEI
2017-01-01 19:00:00,4479.9,PSEI
2017-01-01 20:00:00,4485.46,PSEI
2017-01-01 21:00:00,4464.6,PSEI
2017-01-01 22:00:00,4436.71,PSEI
2017-01-01 23:00:00,4371.01,PSEI
2017-01-02 00:00:00,4545.72,PSEI
2017-01-02 01:00:00,4779.85,PSEI
2017-01-02 02:00:00,4900.04,PSEI
2017-01-02 03:00:00,4990.83,PSEI
2017-01-02 04:00:00,4872.19,PSEI
2017-01-02 05:00:00,4711.52,PSEI
2017-01-02 06:00:00,4549.56,PSEI
2017-01-02 07:00:00,4337.06,PSEI
2017-01-02 08:00:00,4116.57,PSEI
2017-01-02 09:00:00,3962.85,PSEI
2017-01-02 10:00:00,3881.33,PSEI
2017-01-02 11:00:00,3836.03,PSEI
2017-01-02 12:00:00,3935.74,PSEI
2017-01-02 13:00:00,4128.6,PSEI
2017-01-02 14:00:00,4321.94,PSEI
2017-01-02 15:00:00,4517.85,PSEI
2017-01-02 16:00:00,4685.31,PSEI
2017-01-02 17:00:00,4984.34,PSEI
2017-01-02 18:00:00,5074.33,PSEI
2017-01-02 19:00:00,5033.43,PSEI
2017-01-02 20:00:00,4975.99,PSEI
2017-01-02 21:00:00,4907.58,PSEI
2017-01-02 22:00:00,4842.02,PSEI
2017-01-02 23:00:00,4833.22,PSEI
2017-01-03 00:00:00,4962.77,PSEI
2017-01-03 01:00:00,5159.85,PSEI
2017-01-03 02:00:00,5248.95,PSEI
2017-01-03 03:00:00,5321.46,PSEI
2017-01-03 04:00:00,5252.36,PSEI
2017-01-03 05:00:00,5072.34,PSEI
2017-01-03 06:00:00,4842.89,PSEI
2017-01-03 07:00:00,4608.57,PSEI
2017-01-03 08:00:00,4367.37,PSEI
2017-01-03 09:00:00,4156.45,PSEI
2017-01-03 10:00:00,4064.64,PSEI
2017-01-03 11:00:00,4088.79,PSEI
2017-01-03 12:00:00,4264.18,PSEI
2017-01-03 13:00:00,4500.51,PSEI
2017-01-03 14:00:00,4740.0,PSEI
2017-01-03 15:00:00,4962.62,PSEI
2017-01-03 16:00:00,5150.39,PSEI
2017-01-03 17:00:00,5355.99,PSEI
2017-01-03 18:00:00,5282.94,PSEI
2017-01-03 19:00:00,5136.23,PSEI
2017-01-03 20:00:00,5030.4,PSEI
2017-01-03 21:00:00,4943.31,PSEI
2017-01-03 22:00:00,4886.35,PSEI
2017-01-03 23:00:00,4867.77,PSEI
2017-01-04 00:00:00,4911.13,PSEI
2017-01-04 01:00:00,5165.71,PSEI
2017-01-04 02:00:00,5276.33,PSEI
2017-01-04 03:00:00,5372.92,PSEI
2017-01-04 04:00:00,5308.44,PSEI
2017-01-04 05:00:00,5154.24,PSEI
2017-01-04 06:00:00,4929.63,PSEI
2017-01-04 07:00:00,4681.03,PSEI
2017-01-04 08:00:00,4423.5,PSEI
