Time_UTC,Load,BA
2017-01-01 00:00:00,1415.5,SCL
2017-01-01 01:00:00,1425.26,SCL
2017-01-01 02:00:00,1432.82,SCL
2017-01-01 03:00:00,1452.79,SCL
2017-01-01 04:00:00,1426.57,SCL
2017-01-01 05:00:00,1379.2,SCL
2017-01-01 06:00:00,1337.02,SCL
2017-01-01 07:00:00,1273.58,SCL
2017-01-01 08:00:00,1214.63,SCL
2017-01-01 09:00:00,1164.45,SCL
2017-01-01 10:00:00,1130.5,SCL
2017-01-01 11:00:00,1105.13,SCL
2017-01-01 12:00:00,1078.17,SCL
2017-01-01 13:00:00,1077.67,SCL
2017-01-01 14:00:00,1118.69,SCL
2017-01-01 15:00:00,1165.18,SCL
2017-01-01 16:00:00,1206.27,SCL
2017-01-01 17:00:00,1273.39,SCL
2017-01-01 18:00:00,1323.56,SCL
2017-01-01 19:00:00,1327.45,SCL
2017-01-01 20:00:00,1343.9,SCL
2017-01-01 21:00:00,1348.3,SCL
2017-01-01 22:00:00,1352.87,SCL
2017-01-01 23:00:00,1345.41,SCL
2017-01-02 00:00:00,1395.82,SCL
2017-01-02 01:00:00,1448.95,SCL
2017-01-02 02:00:00,1482.73,SCL
2017-01-02 03:00:00,1493.79,SCL
2017-01-02 04:00:00,1502.41,SCL
2017-01-02 05:00:00,1461.54,SCL
2017-01-02 06:00:00,1404.42,SCL
2017-01-02 07:00:00,1338.23,SCL
2017-01-02 08:00:00,1269.66,SCL
2017-01-02 09:00:00,1204.51,SCL
2017-01-02 10:00:00,1153.6,SCL
2017-01-02 11:00:00,1134.86,SCL
2017-01-02 12:00:00,1182.49,SCL
2017-01-02 13:00:00,1241.36,SCL
2017-01-02 14:00:00,1297.65,SCL
2017-01-02 15:00:00,1361.96,SCL
2017-01-02 16:00:00,1420.91,SCL
2017-01-02 17:00:00,1523.88,SCL
2017-01-02 18:00:00,1550.68,SCL
2017-01-02 19:00:00,1553.91,SCL
2017-01-02 20:00:00,1553.82,SCL
2017-01-02 21:00:00,1542.4,SCL
2017-01-02 22:00:00,1524.95,SCL
2017-01-02 23:00:00,1497.57,SCL
2017-01-03 00:00:00,1607.45,SCL
2017-01-03 01:00:00,1655.79,SCL
2017-01-03 02:00:00,1664.24,SCL
2017-01-03 03:00:00,1672.59,SCL
2017-01-03 04:00:00,1666.0,SCL
2017-01-03 05:00:00,1599.82,SCL
2017-01-03 06:00:00,1526.83,SCL
2017-01-03 07:00:00,1450.48,SCL
2017-01-03 08:00:00,1374.32,SCL
2017-01-03 09:00:00,1298.28,SCL
2017-01-03 10:00:00,1244.93,SCL
2017-01-03 11:00:00,1266.1,SCL
2017-01-03 12:00:00,1335.18,SCL
2017-01-03 13:00:00,1415.72,SCL
2017-01-03 14:00:00,1502.26,SCL
2017-01-03 15:00:00,1587.32,SCL
2017-01-03 16:00:00,1666.53,SCL
2017-01-03 17:00:00,1734.57,SCL
2017-01-03 18:00:00,1733.61,SCL
2017-01-03 19:00:00,1715.55,SCL
2017-01-03 20:00:00,1692.87,SCL
2017-01-03 21:00:00,1679.21,SCL
2017-01-03 22:00:00,1672.08,SCL
2017-01-03 23:00:00,1673.47,SCL
2017-01-04 00:00:00,1580.43,SCL
2017-01-04 01:00:00,1659.74,SCL
2017-01-04 02:00:00,1684.86,SCL
2017-01-04 03:00:00,1703.35,SCL
2017-01-04 04:00:00,1691.82,SCL
2017-01-04 05:00:00,1632.68,SCL
2017-01-04 06:00:00,1560.53,SCL
2017-01-04 07:00:00,1479.11,SCL
2017-01-04 08:00:00,1392.86,SCL
2017-01-04 09:00:00,1311.94,SCL
2017-01-04 10:00:00,1254.29,SCL
2017-01-04 11:00:00,1276.94,SCL
2017-01-04 12:00:00,1335.38,SCL
2017-01-04 13:00:00,1400.82,SCL
2017-01-04 14:00:00,1472.39,SCL
2017-01-04 15:00:00,1538.61,SCL
2017-01-04 16:00:00,1600.2,SCL
2017-01-04 17:00:00,1676.01,SCL
2017-01-04 18:00:00,1683.82,SCL
2017-01-04 19:00:00,1668.94,SCL
2017-01-04 20:00:00,1655.11,SCL
2017-01-04 21:00:00,1643.97,SCL
2017-01-04 22:00:00,1631.48,SCL
2017-01-04 23:00:00,1627.13,SCL
2017-01-05 00:00:00,1531.05,SCL
2017-01-05 01:00:00,1609.93,SCL
2017-01-05 02:00:00,1630.78,SCL
2017-01-05 03:00:00,1646.24,SCL
