Time_UTC,Load,BA
2017-01-01 00:00:00,3050.42,SC
2017-01-01 01:00:00,3020.5,SC
2017-01-01 02:00:00,2997.53,SC
2017-01-01 03:00:00,2952.69,SC
2017-01-01 04:00:00,2855.93,SC
2017-01-01 05:00:00,2743.64,SC
2017-01-01 06:00:00,2634.08,SC
2017-01-01 07:00:00,2549.54,SC
2017-01-01 08:00:00,2486.83,SC
2017-01-01 09:00:00,2508.85,SC
2017-01-01 10:00:00,2527.48,SC
2017-01-01 11:00:00,2540.28,SC
2017-01-01 12:00:00,2557.32,SC
2017-01-01 13:00:00,2588.35,SC
2017-01-01 14:00:00,2635.74,SC
2017-01-01 15:00:00,2628.78,SC
2017-01-01 16:00:00,2594.03,SC
2017-01-01 17:00:00,2553.34,SC
2017-01-01 18:00:00,2531.35,SC
2017-01-01 19:00:00,2546.76,SC
2017-01-01 20:00:00,2537.4,SC
2017-01-01 21:00:00,2518.9,SC
2017-01-01 22:00:00,2511.29,SC
2017-01-01 23:00:00,2553.56,SC
2017-01-02 00:00:00,2709.6,SC
2017-01-02 01:00:00,2649.92,SC
2017-01-02 02:00:00,2546.43,SC
2017-01-02 03:00:00,2425.59,SC
2017-01-02 04:00:00,2261.89,SC
2017-01-02 05:00:00,2148.9,SC
2017-01-02 06:00:00,2039.3,SC
2017-01-02 07:00:00,1939.92,SC
2017-01-02 08:00:00,1894.01,SC
2017-01-02 09:00:00,1899.09,SC
2017-01-02 10:00:00,1910.55,SC
2017-01-02 11:00:00,1950.56,SC
2017-01-02 12:00:00,1976.83,SC
2017-01-02 13:00:00,2029.37,SC
2017-01-02 14:00:00,2120.55,SC
2017-01-02 15:00:00,2222.64,SC
2017-01-02 16:00:00,2279.18,SC
2017-01-02 17:00:00,2330.43,SC
2017-01-02 18:00:00,2374.14,SC
2017-01-02 19:00:00,2393.99,SC
2017-01-02 20:00:00,2412.13,SC
2017-01-02 21:00:00,2397.75,SC
2017-01-02 22:00:00,2390.83,SC
2017-01-02 23:00:00,2418.72,SC
2017-01-03 00:00:00,2506.69,SC
2017-01-03 01:00:00,2465.32,SC
2017-01-03 02:00:00,2386.74,SC
2017-01-03 03:00:00,2241.95,SC
2017-01-03 04:00:00,2132.66,SC
2017-01-03 05:00:00,2022.41,SC
2017-01-03 06:00:00,1928.06,SC
2017-01-03 07:00:00,1898.21,SC
2017-01-03 08:00:00,1922.78,SC
2017-01-03 09:00:00,1945.53,SC
2017-01-03 10:00:00,1975.88,SC
2017-01-03 11:00:00,2015.18,SC
2017-01-03 12:00:00,2071.29,SC
2017-01-03 13:00:00,2130.28,SC
2017-01-03 14:00:00,2149.77,SC
2017-01-03 15:00:00,2172.41,SC
2017-01-03 16:00:00,2176.26,SC
2017-01-03 17:00:00,2178.95,SC
2017-01-03 18:00:00,2169.61,SC
2017-01-03 19:00:00,2176.44,SC
2017-01-03 20:00:00,2216.98,SC
2017-01-03 21:00:00,2238.83,SC
2017-01-03 22:00:00,2233.01,SC
2017-01-03 23:00:00,2277.42,SC
2017-01-04 00:00:00,2538.59,SC
2017-01-04 01:00:00,2466.94,SC
2017-01-04 02:00:00,2387.81,SC
2017-01-04 03:00:00,2251.07,SC
2017-01-04 04:00:00,2159.11,SC
2017-01-04 05:00:00,2072.18,SC
2017-01-04 06:00:00,1978.93,SC
2017-01-04 07:00:00,1919.46,SC
2017-01-04 08:00:00,1918.63,SC
2017-01-04 09:00:00,1993.34,SC
2017-01-04 10:00:00,2079.54,SC
2017-01-04 11:00:00,2172.97,SC
2017-01-04 12:00:00,2274.94,SC
2017-01-04 13:00:00,2371.81,SC
2017-01-04 14:00:00,2405.61,SC
2017-01-04 15:00:00,2319.45,SC
2017-01-04 16:00:00,2258.04,SC
2017-01-04 17:00:00,2214.61,SC
2017-01-04 18:00:00,2210.23,SC
2017-01-04 19:00:00,2220.55,SC
2017-01-04 20:00:00,2248.74,SC
2017-01-04 21:00:00,2279.63,SC
2017-01-04 22:00:00,2311.83,SC
2017-01-04 23:00:00,2373.99,SC
2017-01-05 00:00:00,2689.42,SC
2017-01-05 01:00:00,2718.62,SC
2017-01-05 02:00:00,2725.67,SC
2017-01-05 03:00:00,2683.09,SC
2017-01-05 04:00:00,2653.86,SC
2017-01-05 05:00:00,2626.26,SC
2017-01-05 06:00:00,2609.71,SC
2017-01-05 07:00:00,2674.83,SC
2017-01-05 08:00:00,2765.69,SC
2017-01-05 09:00:00,2900.31,SC
2017-01-05 10:00:00,3023.2,SC
2017-01-05 11:00:00,3116.7,SC
2017-01-05 12:00:00,3251.41,SC
2017-01-05 13:00:00,3350.96,SC
2017-01-05 14:00:00,3229.73,SC
2017-01-05 15:00:00,3053.61,SC
2017-01-05 16:00:00,2892.54,SC
2017-01-05 17:00:00,2767.57,SC
2017-01-05 18:00:00,2665.66,SC
2017-01-05 19:00:00,2582.52,SC
2017-01-05 20:00:00,2498.79,SC
2017-01-05 21:00:00,2444.89,SC
2017-01-05 22:00:00,2480.5,SC
2017-01-05 23:00:00,2540.23,SC
2017-01-06 00:00:00,2898.1,SC
2017-01-06 01:00:00,2919.84,SC
2017-01-06 02:00:00,2917.88,SC
2017-01-06 03:00:00,2849.23,SC
2017-01-06 04:00:00,2774.42,SC
2017-01-06 05:00:00,2692.66,SC
2017-01-06 06:00:00,2619.22,SC
2017-01-06 07:00:00,2629.33,SC
2017-01-06 08:00:00,2684.06,SC
2017-01-06 09:00:00,2732.62,SC
2017-01-06 10:00:00,2782.03,SC
2017-01-06 11:00:00,2823.57,SC
2017-01-06 12:00:00,2871.07,SC
2017-01-06 13:00:00,2944.37,SC
2017-01-06 14:00:00,2908.98,SC
2017-01-06 15:00:00,2810.8,SC
2017-01-06 16:00:00,2750.9,SC
2017-01-06 17:00:00,2732.89,SC
2017-01-06 18:00:00,2716.59,SC
2017-01-06 19:00:00,2730.4,SC
2017-01-06 20:00:00,2748.37,SC
2017-01-06 21:00:00,2770.92,SC
2017-01-06 22:00:00,2787.83,SC
2017-01-06 23:00:00,2881.16,SC
2017-01-07 00:00:00,3171.69,SC
2017-01-07 01:00:00,3204.39,SC
