Time_UTC,Load,BA
2017-01-01 00:00:00,27434.35,SWPP
2017-01-01 01:00:00,27840.71,SWPP
2017-01-01 02:00:00,27978.79,SWPP
2017-01-01 03:00:00,27556.6,SWPP
2017-01-01 04:00:00,26999.89,SWPP
2017-01-01 05:00:00,26463.29,SWPP
2017-01-01 06:00:00,26092.68,SWPP
2017-01-01 07:00:00,25661.15,SWPP
2017-01-01 08:00:00,25340.12,SWPP
2017-01-01 09:00:00,25214.69,SWPP
2017-01-01 10:00:00,25105.57,SWPP
2017-01-01 11:00:00,25287.42,SWPP
2017-01-01 12:00:00,25613.12,SWPP
2017-01-01 13:00:00,25964.66,SWPP
2017-01-01 14:00:00,26298.9,SWPP
2017-01-01 15:00:00,26555.05,SWPP
2017-01-01 16:00:00,26769.65,SWPP
2017-01-01 17:00:00,26717.73,SWPP
2017-01-01 18:00:00,26709.37,SWPP
2017-01-01 19:00:00,26571.62,SWPP
2017-01-01 20:00:00,26337.19,SWPP
2017-01-01 21:00:00,26032.56,SWPP
2017-01-01 22:00:00,25617.7,SWPP
2017-01-01 23:00:00,25260.65,SWPP
2017-01-02 00:00:00,28763.51,SWPP
2017-01-02 01:00:00,29428.24,SWPP
2017-01-02 02:00:00,29985.85,SWPP
2017-01-02 03:00:00,29455.08,SWPP
2017-01-02 04:00:00,28475.15,SWPP
2017-01-02 05:00:00,27454.22,SWPP
2017-01-02 06:00:00,26339.86,SWPP
2017-01-02 07:00:00,25192.54,SWPP
2017-01-02 08:00:00,24589.06,SWPP
2017-01-02 09:00:00,24360.5,SWPP
2017-01-02 10:00:00,24403.33,SWPP
2017-01-02 11:00:00,24846.96,SWPP
2017-01-02 12:00:00,25521.18,SWPP
2017-01-02 13:00:00,26106.44,SWPP
2017-01-02 14:00:00,26666.62,SWPP
2017-01-02 15:00:00,27593.7,SWPP
2017-01-02 16:00:00,28068.15,SWPP
2017-01-02 17:00:00,28244.79,SWPP
2017-01-02 18:00:00,28178.29,SWPP
2017-01-02 19:00:00,28059.09,SWPP
2017-01-02 20:00:00,27563.78,SWPP
2017-01-02 21:00:00,27176.2,SWPP
2017-01-02 22:00:00,26659.02,SWPP
2017-01-02 23:00:00,26239.36,SWPP
2017-01-03 00:00:00,28325.38,SWPP
2017-01-03 01:00:00,29068.06,SWPP
2017-01-03 02:00:00,29866.24,SWPP
2017-01-03 03:00:00,29765.53,SWPP
2017-01-03 04:00:00,28833.19,SWPP
2017-01-03 05:00:00,27854.6,SWPP
2017-01-03 06:00:00,26930.75,SWPP
2017-01-03 07:00:00,26148.5,SWPP
2017-01-03 08:00:00,26073.49,SWPP
2017-01-03 09:00:00,26407.31,SWPP
2017-01-03 10:00:00,27380.14,SWPP
2017-01-03 11:00:00,28415.52,SWPP
2017-01-03 12:00:00,29430.37,SWPP
2017-01-03 13:00:00,30447.42,SWPP
2017-01-03 14:00:00,31667.2,SWPP
2017-01-03 15:00:00,33126.46,SWPP
2017-01-03 16:00:00,33536.45,SWPP
2017-01-03 17:00:00,33536.08,SWPP
2017-01-03 18:00:00,33371.02,SWPP
2017-01-03 19:00:00,33176.24,SWPP
2017-01-03 20:00:00,32991.9,SWPP
2017-01-03 21:00:00,32799.05,SWPP
2017-01-03 22:00:00,32642.28,SWPP
2017-01-03 23:00:00,32763.6,SWPP
2017-01-04 00:00:00,35083.75,SWPP
2017-01-04 01:00:00,35898.2,SWPP
2017-01-04 02:00:00,36258.76,SWPP
2017-01-04 03:00:00,35510.87,SWPP
2017-01-04 04:00:00,34661.11,SWPP
2017-01-04 05:00:00,33794.02,SWPP
2017-01-04 06:00:00,32956.81,SWPP
2017-01-04 07:00:00,32328.07,SWPP
2017-01-04 08:00:00,32110.52,SWPP
2017-01-04 09:00:00,32445.71,SWPP
2017-01-04 10:00:00,33314.44,SWPP
2017-01-04 11:00:00,34240.15,SWPP
2017-01-04 12:00:00,35184.19,SWPP
2017-01-04 13:00:00,36170.49,SWPP
2017-01-04 14:00:00,37665.09,SWPP
2017-01-04 15:00:00,38611.05,SWPP
2017-01-04 16:00:00,38603.01,SWPP
2017-01-04 17:00:00,38147.25,SWPP
2017-01-04 18:00:00,37457.84,SWPP
2017-01-04 19:00:00,36787.51,SWPP
2017-01-04 20:00:00,36218.91,SWPP
2017-01-04 21:00:00,35500.07,SWPP
2017-01-04 22:00:00,34915.59,SWPP
2017-01-04 23:00:00,34677.17,SWPP
2017-01-05 00:00:00,36496.33,SWPP
2017-01-05 01:00:00,37399.05,SWPP
2017-01-05 02:00:00,37914.55,SWPP
2017-01-05 03:00:00,36952.04,SWPP
2017-01-05 04:00:00,35786.42,SWPP
2017-01-05 05:00:00,34594.98,SWPP
2017-01-05 06:00:00,33567.66,SWPP
2017-01-05 07:00:00,32827.61,SWPP
2017-01-05 08:00:00,32586.07,SWPP
2017-01-05 09:00:00,32726.93,SWPP
2017-01-05 10:00:00,33422.98,SWPP
2017-01-05 11:00:00,34206.53,SWPP
2017-01-05 12:00:00,35081.99,SWPP
2017-01-05 13:00:00,35943.71,SWPP
2017-01-05 14:00:00,37111.6,SWPP
2017-01-05 15:00:00,37922.66,SWPP
2017-01-05 16:00:00,37403.13,SWPP
2017-01-05 17:00:00,37011.58,SWPP
2017-01-05 18:00:00,36680.64,SWPP
2017-01-05 19:00:00,36333.92,SWPP
2017-01-05 20:00:00,35868.63,SWPP
2017-01-05 21:00:00,35284.79,SWPP
2017-01-05 22:00:00,35132.49,SWPP
2017-01-05 23:00:00,35316.76,SWPP
2017-01-06 00:00:00,37594.98,SWPP
2017-01-06 01:00:00,38526.36,SWPP
2017-01-06 02:00:00,38808.85,SWPP
2017-01-06 03:00:00,37993.69,SWPP
2017-01-06 04:00:00,37129.8,SWPP
2017-01-06 05:00:00,36221.83,SWPP
2017-01-06 06:00:00,35435.05,SWPP
2017-01-06 07:00:00,34926.14,SWPP
2017-01-06 08:00:00,34804.04,SWPP
2017-01-06 09:00:00,35195.15,SWPP
2017-01-06 10:00:00,35810.86,SWPP
2017-01-06 11:00:00,36629.78,SWPP
2017-01-06 12:00:00,37534.14,SWPP
2017-01-06 13:00:00,38379.86,SWPP
2017-01-06 14:00:00,39509.59,SWPP
2017-01-06 15:00:00,40450.73,SWPP
2017-01-06 16:00:00,39997.11,SWPP
2017-01-06 17:00:00,39351.42,SWPP
2017-01-06 18:00:00,38724.95,SWPP
2017-01-06 19:00:00,38295.14,SWPP
2017-01-06 20:00:00,37688.06,SWPP
2017-01-06 21:00:00,36933.25,SWPP
2017-01-06 22:00:00,36256.9,SWPP
2017-01-06 23:00:00,36319.93,SWPP
2017-01-07 00:00:00,35736.86,SWPP
2017-01-07 01:00:00,36091.46,SWPP
2017-01-07 02:00:00,36303.63,SWPP
2017-01-07 03:00:00,35911.22,SWPP
2017-01-07 04:00:00,35423.91,SWPP
2017-01-07 05:00:00,35149.11,SWPP
2017-01-07 06:00:00,34840.51,SWPP
2017-01-07 07:00:00,34520.75,SWPP
2017-01-07 08:00:00,34220.67,SWPP
2017-01-07 09:00:00,34372.72,SWPP
2017-01-07 10:00:00,34805.69,SWPP
2017-01-07 11:00:00,35177.37,SWPP
2017-01-07 12:00:00,35570.96,SWPP
2017-01-07 13:00:00,36005.64,SWPP
2017-01-07 14:00:00,36301.52,SWPP
2017-01-07 15:00:00,35892.76,SWPP
2017-01-07 16:00:00,34999.94,SWPP
2017-01-07 17:00:00,34130.94,SWPP
2017-01-07 18:00:00,33287.19,SWPP
2017-01-07 19:00:00,32533.19,SWPP
2017-01-07 20:00:00,31915.94,SWPP
2017-01-07 21:00:00,31393.47,SWPP
2017-01-07 22:00:00,31132.33,SWPP
2017-01-07 23:00:00,31322.38,SWPP
2017-01-08 00:00:00,34209.52,SWPP
2017-01-08 01:00:00,34675.56,SWPP
2017-01-08 02:00:00,34876.44,SWPP
2017-01-08 03:00:00,34545.85,SWPP
2017-01-08 04:00:00,34026.39,SWPP
2017-01-08 05:00:00,33592.0,SWPP
2017-01-08 06:00:00,33144.78,SWPP
2017-01-08 07:00:00,32703.29,SWPP
2017-01-08 08:00:00,32398.6,SWPP
2017-01-08 09:00:00,32449.22,SWPP
2017-01-08 10:00:00,32752.26,SWPP
2017-01-08 11:00:00,32947.31,SWPP
2017-01-08 12:00:00,33156.51,SWPP
2017-01-08 13:00:00,33545.62,SWPP
2017-01-08 14:00:00,33945.72,SWPP
2017-01-08 15:00:00,33950.02,SWPP
2017-01-08 16:00:00,33511.21,SWPP
2017-01-08 17:00:00,32752.45,SWPP
2017-01-08 18:00:00,32094.04,SWPP
2017-01-08 19:00:00,31314.34,SWPP
2017-01-08 20:00:00,30645.51,SWPP
