Time_UTC,Load,BA
2017-01-01 00:00:00,287.85,TAL
2017-01-01 01:00:00,302.08,TAL
2017-01-01 02:00:00,291.22,TAL
2017-01-01 03:00:00,261.28,TAL
2017-01-01 04:00:00,246.18,TAL
2017-01-01 05:00:00,236.76,TAL
2017-01-01 06:00:00,228.64,TAL
2017-01-01 07:00:00,222.35,TAL
2017-01-01 08:00:00,215.2,TAL
2017-01-01 09:00:00,209.4,TAL
2017-01-01 10:00:00,207.62,TAL
2017-01-01 11:00:00,206.46,TAL
2017-01-01 12:00:00,205.24,TAL
2017-01-01 13:00:00,207.32,TAL
2017-01-01 14:00:00,211.98,TAL
2017-01-01 15:00:00,223.55,TAL
2017-01-01 16:00:00,228.75,TAL
2017-01-01 17:00:00,228.71,TAL
2017-01-01 18:00:00,237.14,TAL
2017-01-01 19:00:00,245.84,TAL
2017-01-01 20:00:00,246.16,TAL
2017-01-01 21:00:00,245.71,TAL
2017-01-01 22:00:00,221.92,TAL
2017-01-01 23:00:00,218.33,TAL
2017-01-02 00:00:00,275.08,TAL
2017-01-02 01:00:00,269.96,TAL
2017-01-02 02:00:00,266.82,TAL
2017-01-02 03:00:00,253.76,TAL
2017-01-02 04:00:00,235.98,TAL
2017-01-02 05:00:00,220.98,TAL
2017-01-02 06:00:00,206.13,TAL
2017-01-02 07:00:00,190.41,TAL
2017-01-02 08:00:00,182.24,TAL
2017-01-02 09:00:00,180.94,TAL
2017-01-02 10:00:00,187.4,TAL
2017-01-02 11:00:00,195.97,TAL
2017-01-02 12:00:00,205.45,TAL
2017-01-02 13:00:00,223.85,TAL
2017-01-02 14:00:00,248.59,TAL
2017-01-02 15:00:00,253.95,TAL
2017-01-02 16:00:00,259.66,TAL
2017-01-02 17:00:00,263.77,TAL
2017-01-02 18:00:00,267.56,TAL
2017-01-02 19:00:00,261.49,TAL
2017-01-02 20:00:00,248.48,TAL
2017-01-02 21:00:00,246.38,TAL
2017-01-02 22:00:00,245.54,TAL
2017-01-02 23:00:00,242.58,TAL
