Time_UTC,Load,BA
2017-01-01 00:00:00,2305.11,TEC
2017-01-01 01:00:00,2207.35,TEC
2017-01-01 02:00:00,2103.99,TEC
2017-01-01 03:00:00,2000.89,TEC
2017-01-01 04:00:00,1897.07,TEC
2017-01-01 05:00:00,1804.63,TEC
2017-01-01 06:00:00,1705.64,TEC
2017-01-01 07:00:00,1629.04,TEC
2017-01-01 08:00:00,1567.77,TEC
2017-01-01 09:00:00,1529.18,TEC
2017-01-01 10:00:00,1516.68,TEC
2017-01-01 11:00:00,1521.28,TEC
2017-01-01 12:00:00,1538.15,TEC
2017-01-01 13:00:00,1550.77,TEC
2017-01-01 14:00:00,1630.09,TEC
2017-01-01 15:00:00,1835.89,TEC
2017-01-01 16:00:00,1999.99,TEC
2017-01-01 17:00:00,2142.65,TEC
2017-01-01 18:00:00,2257.27,TEC
2017-01-01 19:00:00,2311.9,TEC
2017-01-01 20:00:00,2349.62,TEC
2017-01-01 21:00:00,2335.41,TEC
2017-01-01 22:00:00,2281.06,TEC
2017-01-01 23:00:00,2094.85,TEC
2017-01-02 00:00:00,2604.03,TEC
2017-01-02 01:00:00,2389.31,TEC
2017-01-02 02:00:00,2233.48,TEC
2017-01-02 03:00:00,2089.75,TEC
2017-01-02 04:00:00,1940.94,TEC
2017-01-02 05:00:00,1796.71,TEC
2017-01-02 06:00:00,1670.0,TEC
2017-01-02 07:00:00,1562.09,TEC
2017-01-02 08:00:00,1506.05,TEC
2017-01-02 09:00:00,1481.5,TEC
2017-01-02 10:00:00,1526.08,TEC
2017-01-02 11:00:00,1589.28,TEC
2017-01-02 12:00:00,1661.75,TEC
2017-01-02 13:00:00,1786.8,TEC
2017-01-02 14:00:00,1988.12,TEC
2017-01-02 15:00:00,2194.99,TEC
2017-01-02 16:00:00,2363.3,TEC
2017-01-02 17:00:00,2577.74,TEC
2017-01-02 18:00:00,2734.98,TEC
2017-01-02 19:00:00,2835.15,TEC
2017-01-02 20:00:00,2877.0,TEC
2017-01-02 21:00:00,2828.93,TEC
2017-01-02 22:00:00,2757.1,TEC
2017-01-02 23:00:00,2551.65,TEC
2017-01-03 00:00:00,2920.54,TEC
2017-01-03 01:00:00,2720.85,TEC
2017-01-03 02:00:00,2540.27,TEC
2017-01-03 03:00:00,2335.57,TEC
2017-01-03 04:00:00,2154.54,TEC
2017-01-03 05:00:00,2022.78,TEC
2017-01-03 06:00:00,1904.01,TEC
2017-01-03 07:00:00,1760.51,TEC
2017-01-03 08:00:00,1719.51,TEC
2017-01-03 09:00:00,1723.21,TEC
2017-01-03 10:00:00,1756.93,TEC
2017-01-03 11:00:00,1822.42,TEC
2017-01-03 12:00:00,1897.37,TEC
2017-01-03 13:00:00,2015.5,TEC
2017-01-03 14:00:00,2181.19,TEC
2017-01-03 15:00:00,2315.88,TEC
2017-01-03 16:00:00,2393.27,TEC
2017-01-03 17:00:00,2525.04,TEC
2017-01-03 18:00:00,2591.86,TEC
2017-01-03 19:00:00,2595.37,TEC
2017-01-03 20:00:00,2594.26,TEC
2017-01-03 21:00:00,2601.73,TEC
2017-01-03 22:00:00,2600.93,TEC
2017-01-03 23:00:00,2522.41,TEC
2017-01-04 00:00:00,2874.98,TEC
2017-01-04 01:00:00,2698.64,TEC
2017-01-04 02:00:00,2504.43,TEC
2017-01-04 03:00:00,2317.58,TEC
2017-01-04 04:00:00,2132.61,TEC
2017-01-04 05:00:00,1973.16,TEC
2017-01-04 06:00:00,1834.46,TEC
2017-01-04 07:00:00,1732.72,TEC
2017-01-04 08:00:00,1709.67,TEC
2017-01-04 09:00:00,1760.71,TEC
2017-01-04 10:00:00,1828.3,TEC
2017-01-04 11:00:00,1893.09,TEC
2017-01-04 12:00:00,1942.89,TEC
2017-01-04 13:00:00,2001.89,TEC
2017-01-04 14:00:00,2099.75,TEC
2017-01-04 15:00:00,2188.41,TEC
2017-01-04 16:00:00,2250.59,TEC
2017-01-04 17:00:00,2242.54,TEC
2017-01-04 18:00:00,2254.93,TEC
2017-01-04 19:00:00,2296.19,TEC
2017-01-04 20:00:00,2276.84,TEC
2017-01-04 21:00:00,2266.58,TEC
2017-01-04 22:00:00,2268.3,TEC
2017-01-04 23:00:00,2166.87,TEC
2017-01-05 00:00:00,2601.23,TEC
2017-01-05 01:00:00,2434.13,TEC
2017-01-05 02:00:00,2269.56,TEC
2017-01-05 03:00:00,2120.31,TEC
2017-01-05 04:00:00,1992.87,TEC
2017-01-05 05:00:00,1863.92,TEC
2017-01-05 06:00:00,1736.17,TEC
2017-01-05 07:00:00,1636.78,TEC
2017-01-05 08:00:00,1610.93,TEC
2017-01-05 09:00:00,1664.86,TEC
2017-01-05 10:00:00,1755.31,TEC
2017-01-05 11:00:00,1858.2,TEC
2017-01-05 12:00:00,1950.01,TEC
2017-01-05 13:00:00,2048.57,TEC
2017-01-05 14:00:00,2108.5,TEC
2017-01-05 15:00:00,2120.8,TEC
2017-01-05 16:00:00,2137.33,TEC
2017-01-05 17:00:00,2121.15,TEC
2017-01-05 18:00:00,2117.54,TEC
2017-01-05 19:00:00,2129.24,TEC
2017-01-05 20:00:00,2122.98,TEC
2017-01-05 21:00:00,2153.28,TEC
2017-01-05 22:00:00,2166.6,TEC
2017-01-05 23:00:00,2181.87,TEC
2017-01-06 00:00:00,2606.88,TEC
2017-01-06 01:00:00,2488.32,TEC
2017-01-06 02:00:00,2370.75,TEC
2017-01-06 03:00:00,2244.16,TEC
2017-01-06 04:00:00,2107.14,TEC
2017-01-06 05:00:00,1979.98,TEC
2017-01-06 06:00:00,1858.35,TEC
2017-01-06 07:00:00,1783.34,TEC
2017-01-06 08:00:00,1824.1,TEC
2017-01-06 09:00:00,1903.31,TEC
2017-01-06 10:00:00,1985.41,TEC
2017-01-06 11:00:00,2069.91,TEC
2017-01-06 12:00:00,2162.25,TEC
2017-01-06 13:00:00,2283.48,TEC
2017-01-06 14:00:00,2250.23,TEC
2017-01-06 15:00:00,2209.53,TEC
2017-01-06 16:00:00,2154.02,TEC
2017-01-06 17:00:00,2108.44,TEC
2017-01-06 18:00:00,2102.19,TEC
2017-01-06 19:00:00,2124.16,TEC
2017-01-06 20:00:00,2165.45,TEC
2017-01-06 21:00:00,2236.0,TEC
2017-01-06 22:00:00,2278.97,TEC
2017-01-06 23:00:00,2241.58,TEC
2017-01-07 00:00:00,2546.16,TEC
2017-01-07 01:00:00,2370.05,TEC
2017-01-07 02:00:00,2209.92,TEC
2017-01-07 03:00:00,2088.88,TEC
2017-01-07 04:00:00,1962.5,TEC
2017-01-07 05:00:00,1850.17,TEC
2017-01-07 06:00:00,1758.45,TEC
2017-01-07 07:00:00,1678.83,TEC
2017-01-07 08:00:00,1618.13,TEC
2017-01-07 09:00:00,1628.51,TEC
2017-01-07 10:00:00,1668.55,TEC
2017-01-07 11:00:00,1716.77,TEC
2017-01-07 12:00:00,1772.53,TEC
2017-01-07 13:00:00,1817.72,TEC
2017-01-07 14:00:00,1852.12,TEC
2017-01-07 15:00:00,1890.17,TEC
2017-01-07 16:00:00,1959.65,TEC
2017-01-07 17:00:00,2010.71,TEC
2017-01-07 18:00:00,2132.25,TEC
2017-01-07 19:00:00,2275.16,TEC
2017-01-07 20:00:00,2329.7,TEC
2017-01-07 21:00:00,2351.73,TEC
2017-01-07 22:00:00,2312.27,TEC
2017-01-07 23:00:00,2287.46,TEC
2017-01-08 00:00:00,2596.93,TEC
2017-01-08 01:00:00,2613.41,TEC
2017-01-08 02:00:00,2622.01,TEC
2017-01-08 03:00:00,2596.76,TEC
2017-01-08 04:00:00,2583.12,TEC
2017-01-08 05:00:00,2600.67,TEC
2017-01-08 06:00:00,2604.64,TEC
2017-01-08 07:00:00,2614.83,TEC
2017-01-08 08:00:00,2635.34,TEC
2017-01-08 09:00:00,2676.24,TEC
2017-01-08 10:00:00,2752.05,TEC
2017-01-08 11:00:00,2879.54,TEC
2017-01-08 12:00:00,2989.43,TEC
2017-01-08 13:00:00,3152.62,TEC
2017-01-08 14:00:00,3221.87,TEC
2017-01-08 15:00:00,3153.67,TEC
2017-01-08 16:00:00,3050.8,TEC
2017-01-08 17:00:00,2919.68,TEC
2017-01-08 18:00:00,2813.27,TEC
2017-01-08 19:00:00,2727.03,TEC
2017-01-08 20:00:00,2643.75,TEC
2017-01-08 21:00:00,2539.9,TEC
2017-01-08 22:00:00,2404.76,TEC
2017-01-08 23:00:00,2383.6,TEC
2017-01-09 00:00:00,3020.75,TEC
2017-01-09 01:00:00,2951.7,TEC
2017-01-09 02:00:00,2894.31,TEC
2017-01-09 03:00:00,2854.9,TEC
2017-01-09 04:00:00,2805.42,TEC
2017-01-09 05:00:00,2744.28,TEC
2017-01-09 06:00:00,2671.14,TEC
2017-01-09 07:00:00,2603.48,TEC
2017-01-09 08:00:00,2587.57,TEC
2017-01-09 09:00:00,2669.76,TEC
2017-01-09 10:00:00,2756.02,TEC
2017-01-09 11:00:00,2865.1,TEC
2017-01-09 12:00:00,2945.85,TEC
2017-01-09 13:00:00,3049.58,TEC
2017-01-09 14:00:00,2921.1,TEC
2017-01-09 15:00:00,2578.64,TEC
2017-01-09 16:00:00,2343.58,TEC
2017-01-09 17:00:00,2231.06,TEC
2017-01-09 18:00:00,2163.93,TEC
2017-01-09 19:00:00,2122.25,TEC
2017-01-09 20:00:00,2093.18,TEC
2017-01-09 21:00:00,2074.78,TEC
2017-01-09 22:00:00,2089.38,TEC
2017-01-09 23:00:00,2142.86,TEC
2017-01-10 00:00:00,2689.91,TEC
2017-01-10 01:00:00,2554.35,TEC
2017-01-10 02:00:00,2432.71,TEC
2017-01-10 03:00:00,2325.91,TEC
2017-01-10 04:00:00,2225.78,TEC
2017-01-10 05:00:00,2164.82,TEC
2017-01-10 06:00:00,2082.3,TEC
2017-01-10 07:00:00,2046.58,TEC
2017-01-10 08:00:00,2114.59,TEC
2017-01-10 09:00:00,2210.2,TEC
2017-01-10 10:00:00,2309.46,TEC
2017-01-10 11:00:00,2424.31,TEC
2017-01-10 12:00:00,2517.14,TEC
2017-01-10 13:00:00,2685.48,TEC
2017-01-10 14:00:00,2516.64,TEC
2017-01-10 15:00:00,2337.02,TEC
2017-01-10 16:00:00,2221.36,TEC
2017-01-10 17:00:00,2186.49,TEC
2017-01-10 18:00:00,2165.73,TEC
2017-01-10 19:00:00,2152.45,TEC
2017-01-10 20:00:00,2126.64,TEC
2017-01-10 21:00:00,2136.5,TEC
2017-01-10 22:00:00,2165.05,TEC
2017-01-10 23:00:00,2168.84,TEC
2017-01-11 00:00:00,2573.18,TEC
2017-01-11 01:00:00,2427.26,TEC
2017-01-11 02:00:00,2292.3,TEC
2017-01-11 03:00:00,2161.99,TEC
2017-01-11 04:00:00,2059.47,TEC
2017-01-11 05:00:00,1957.45,TEC
2017-01-11 06:00:00,1847.15,TEC
2017-01-11 07:00:00,1755.4,TEC
2017-01-11 08:00:00,1783.12,TEC
2017-01-11 09:00:00,1866.26,TEC
2017-01-11 10:00:00,1926.42,TEC
2017-01-11 11:00:00,1982.84,TEC
2017-01-11 12:00:00,2018.3,TEC
2017-01-11 13:00:00,2157.54,TEC
2017-01-11 14:00:00,2195.92,TEC
2017-01-11 15:00:00,2170.51,TEC
2017-01-11 16:00:00,2163.01,TEC
2017-01-11 17:00:00,2159.62,TEC
2017-01-11 18:00:00,2190.18,TEC
2017-01-11 19:00:00,2229.29,TEC
2017-01-11 20:00:00,2271.47,TEC
2017-01-11 21:00:00,2304.73,TEC
2017-01-11 22:00:00,2322.82,TEC
2017-01-11 23:00:00,2223.29,TEC
2017-01-12 00:00:00,2634.67,TEC
2017-01-12 01:00:00,2428.21,TEC
2017-01-12 02:00:00,2249.71,TEC
2017-01-12 03:00:00,2094.7,TEC
2017-01-12 04:00:00,1947.11,TEC
2017-01-12 05:00:00,1825.65,TEC
2017-01-12 06:00:00,1716.72,TEC
2017-01-12 07:00:00,1630.19,TEC
2017-01-12 08:00:00,1642.52,TEC
2017-01-12 09:00:00,1723.52,TEC
2017-01-12 10:00:00,1814.88,TEC
2017-01-12 11:00:00,1899.03,TEC
2017-01-12 12:00:00,1965.85,TEC
2017-01-12 13:00:00,2086.63,TEC
2017-01-12 14:00:00,2131.3,TEC
2017-01-12 15:00:00,2140.33,TEC
2017-01-12 16:00:00,2140.97,TEC
2017-01-12 17:00:00,2199.16,TEC
2017-01-12 18:00:00,2296.09,TEC
2017-01-12 19:00:00,2382.01,TEC
2017-01-12 20:00:00,2418.94,TEC
2017-01-12 21:00:00,2459.41,TEC
2017-01-12 22:00:00,2467.93,TEC
2017-01-12 23:00:00,2323.13,TEC
2017-01-13 00:00:00,2691.09,TEC
2017-01-13 01:00:00,2488.54,TEC
2017-01-13 02:00:00,2308.02,TEC
