Time_UTC,Load,BA
2017-01-01 00:00:00,218.45,TIDC
2017-01-01 01:00:00,257.21,TIDC
2017-01-01 02:00:00,261.54,TIDC
2017-01-01 03:00:00,265.67,TIDC
2017-01-01 04:00:00,267.9,TIDC
2017-01-01 05:00:00,260.61,TIDC
2017-01-01 06:00:00,253.11,TIDC
2017-01-01 07:00:00,240.92,TIDC
2017-01-01 08:00:00,229.49,TIDC
2017-01-01 09:00:00,224.77,TIDC
2017-01-01 10:00:00,222.06,TIDC
2017-01-01 11:00:00,217.17,TIDC
2017-01-01 12:00:00,216.22,TIDC
2017-01-01 13:00:00,220.13,TIDC
2017-01-01 14:00:00,225.03,TIDC
2017-01-01 15:00:00,228.69,TIDC
2017-01-01 16:00:00,230.62,TIDC
2017-01-01 17:00:00,223.81,TIDC
2017-01-01 18:00:00,225.26,TIDC
2017-01-01 19:00:00,222.11,TIDC
2017-01-01 20:00:00,221.05,TIDC
2017-01-01 21:00:00,219.0,TIDC
2017-01-01 22:00:00,212.95,TIDC
2017-01-01 23:00:00,210.78,TIDC
2017-01-02 00:00:00,220.39,TIDC
2017-01-02 01:00:00,259.27,TIDC
2017-01-02 02:00:00,265.3,TIDC
2017-01-02 03:00:00,270.7,TIDC
2017-01-02 04:00:00,271.43,TIDC
2017-01-02 05:00:00,266.1,TIDC
2017-01-02 06:00:00,257.62,TIDC
2017-01-02 07:00:00,246.59,TIDC
2017-01-02 08:00:00,236.21,TIDC
2017-01-02 09:00:00,230.73,TIDC
2017-01-02 10:00:00,227.72,TIDC
2017-01-02 11:00:00,228.57,TIDC
2017-01-02 12:00:00,230.54,TIDC
2017-01-02 13:00:00,234.33,TIDC
2017-01-02 14:00:00,238.63,TIDC
2017-01-02 15:00:00,241.75,TIDC
2017-01-02 16:00:00,251.21,TIDC
2017-01-02 17:00:00,262.06,TIDC
2017-01-02 18:00:00,267.42,TIDC
2017-01-02 19:00:00,270.47,TIDC
2017-01-02 20:00:00,274.55,TIDC
2017-01-02 21:00:00,276.6,TIDC
2017-01-02 22:00:00,276.6,TIDC
2017-01-02 23:00:00,274.07,TIDC
2017-01-03 00:00:00,275.15,TIDC
2017-01-03 01:00:00,281.88,TIDC
2017-01-03 02:00:00,288.39,TIDC
2017-01-03 03:00:00,292.19,TIDC
2017-01-03 04:00:00,294.0,TIDC
2017-01-03 05:00:00,283.94,TIDC
2017-01-03 06:00:00,272.57,TIDC
2017-01-03 07:00:00,262.72,TIDC
2017-01-03 08:00:00,251.44,TIDC
2017-01-03 09:00:00,241.73,TIDC
2017-01-03 10:00:00,239.7,TIDC
2017-01-03 11:00:00,243.8,TIDC
2017-01-03 12:00:00,248.79,TIDC
2017-01-03 13:00:00,255.4,TIDC
2017-01-03 14:00:00,261.71,TIDC
2017-01-03 15:00:00,268.26,TIDC
2017-01-03 16:00:00,283.63,TIDC
2017-01-03 17:00:00,297.14,TIDC
2017-01-03 18:00:00,299.68,TIDC
2017-01-03 19:00:00,280.75,TIDC
2017-01-03 20:00:00,280.01,TIDC
2017-01-03 21:00:00,294.46,TIDC
2017-01-03 22:00:00,299.39,TIDC
2017-01-03 23:00:00,303.9,TIDC
2017-01-04 00:00:00,271.29,TIDC
2017-01-04 01:00:00,281.45,TIDC
2017-01-04 02:00:00,284.59,TIDC
2017-01-04 03:00:00,286.9,TIDC
2017-01-04 04:00:00,288.84,TIDC
2017-01-04 05:00:00,287.04,TIDC
2017-01-04 06:00:00,276.97,TIDC
2017-01-04 07:00:00,266.54,TIDC
2017-01-04 08:00:00,255.54,TIDC
2017-01-04 09:00:00,242.71,TIDC
2017-01-04 10:00:00,235.72,TIDC
2017-01-04 11:00:00,237.43,TIDC
2017-01-04 12:00:00,241.76,TIDC
2017-01-04 13:00:00,248.96,TIDC
2017-01-04 14:00:00,255.48,TIDC
2017-01-04 15:00:00,263.15,TIDC
2017-01-04 16:00:00,272.98,TIDC
2017-01-04 17:00:00,289.96,TIDC
2017-01-04 18:00:00,296.29,TIDC
2017-01-04 19:00:00,299.27,TIDC
2017-01-04 20:00:00,302.19,TIDC
2017-01-04 21:00:00,299.59,TIDC
2017-01-04 22:00:00,298.61,TIDC
2017-01-04 23:00:00,295.8,TIDC
2017-01-05 00:00:00,279.22,TIDC
2017-01-05 01:00:00,284.32,TIDC
2017-01-05 02:00:00,286.81,TIDC
2017-01-05 03:00:00,288.49,TIDC
2017-01-05 04:00:00,288.68,TIDC
2017-01-05 05:00:00,279.89,TIDC
2017-01-05 06:00:00,268.55,TIDC
2017-01-05 07:00:00,255.32,TIDC
2017-01-05 08:00:00,245.07,TIDC
2017-01-05 09:00:00,235.62,TIDC
2017-01-05 10:00:00,233.41,TIDC
2017-01-05 11:00:00,237.0,TIDC
2017-01-05 12:00:00,242.73,TIDC
2017-01-05 13:00:00,248.98,TIDC
2017-01-05 14:00:00,255.24,TIDC
2017-01-05 15:00:00,261.25,TIDC
2017-01-05 16:00:00,276.92,TIDC
2017-01-05 17:00:00,290.01,TIDC
2017-01-05 18:00:00,286.38,TIDC
2017-01-05 19:00:00,282.1,TIDC
2017-01-05 20:00:00,280.19,TIDC
2017-01-05 21:00:00,281.14,TIDC
2017-01-05 22:00:00,284.6,TIDC
2017-01-05 23:00:00,290.32,TIDC
2017-01-06 00:00:00,259.45,TIDC
2017-01-06 01:00:00,288.36,TIDC
2017-01-06 02:00:00,295.69,TIDC
2017-01-06 03:00:00,301.21,TIDC
