Time_UTC,Load,BA
2017-01-01 00:00:00,3175.03,WACM
2017-01-01 01:00:00,3261.94,WACM
2017-01-01 02:00:00,3316.88,WACM
2017-01-01 03:00:00,3293.37,WACM
2017-01-01 04:00:00,3241.14,WACM
2017-01-01 05:00:00,3185.9,WACM
2017-01-01 06:00:00,3128.72,WACM
2017-01-01 07:00:00,3085.89,WACM
2017-01-01 08:00:00,3043.6,WACM
2017-01-01 09:00:00,3004.07,WACM
2017-01-01 10:00:00,3000.7,WACM
2017-01-01 11:00:00,3007.8,WACM
2017-01-01 12:00:00,3020.0,WACM
2017-01-01 13:00:00,3028.88,WACM
2017-01-01 14:00:00,3037.15,WACM
2017-01-01 15:00:00,3046.54,WACM
2017-01-01 16:00:00,3007.7,WACM
2017-01-01 17:00:00,2957.61,WACM
2017-01-01 18:00:00,2943.72,WACM
2017-01-01 19:00:00,2938.52,WACM
2017-01-01 20:00:00,2939.66,WACM
2017-01-01 21:00:00,2920.61,WACM
2017-01-01 22:00:00,2874.81,WACM
2017-01-01 23:00:00,2858.63,WACM
2017-01-02 00:00:00,3204.73,WACM
2017-01-02 01:00:00,3248.18,WACM
2017-01-02 02:00:00,3296.97,WACM
2017-01-02 03:00:00,3293.29,WACM
2017-01-02 04:00:00,3234.57,WACM
2017-01-02 05:00:00,3173.7,WACM
2017-01-02 06:00:00,3112.09,WACM
2017-01-02 07:00:00,3047.67,WACM
2017-01-02 08:00:00,2975.93,WACM
2017-01-02 09:00:00,2948.84,WACM
2017-01-02 10:00:00,2954.72,WACM
2017-01-02 11:00:00,2978.78,WACM
2017-01-02 12:00:00,3009.01,WACM
2017-01-02 13:00:00,3039.02,WACM
2017-01-02 14:00:00,3068.61,WACM
2017-01-02 15:00:00,3141.91,WACM
2017-01-02 16:00:00,3197.93,WACM
2017-01-02 17:00:00,3228.05,WACM
2017-01-02 18:00:00,3271.47,WACM
2017-01-02 19:00:00,3296.95,WACM
2017-01-02 20:00:00,3291.19,WACM
2017-01-02 21:00:00,3259.55,WACM
2017-01-02 22:00:00,3223.09,WACM
2017-01-02 23:00:00,3138.89,WACM
2017-01-03 00:00:00,3328.29,WACM
2017-01-03 01:00:00,3372.13,WACM
2017-01-03 02:00:00,3405.57,WACM
2017-01-03 03:00:00,3395.73,WACM
2017-01-03 04:00:00,3318.59,WACM
2017-01-03 05:00:00,3241.2,WACM
2017-01-03 06:00:00,3163.41,WACM
2017-01-03 07:00:00,3099.5,WACM
2017-01-03 08:00:00,3080.38,WACM
2017-01-03 09:00:00,3091.75,WACM
2017-01-03 10:00:00,3125.44,WACM
2017-01-03 11:00:00,3173.09,WACM
2017-01-03 12:00:00,3213.42,WACM
2017-01-03 13:00:00,3251.05,WACM
2017-01-03 14:00:00,3295.0,WACM
2017-01-03 15:00:00,3417.48,WACM
2017-01-03 16:00:00,3479.03,WACM
2017-01-03 17:00:00,3451.49,WACM
2017-01-03 18:00:00,3417.27,WACM
2017-01-03 19:00:00,3372.5,WACM
2017-01-03 20:00:00,3335.1,WACM
2017-01-03 21:00:00,3309.79,WACM
2017-01-03 22:00:00,3295.51,WACM
2017-01-03 23:00:00,3256.53,WACM
2017-01-04 00:00:00,3467.16,WACM
2017-01-04 01:00:00,3499.66,WACM
2017-01-04 02:00:00,3526.54,WACM
2017-01-04 03:00:00,3488.2,WACM
2017-01-04 04:00:00,3419.27,WACM
2017-01-04 05:00:00,3349.69,WACM
2017-01-04 06:00:00,3281.45,WACM
2017-01-04 07:00:00,3232.18,WACM
2017-01-04 08:00:00,3214.05,WACM
2017-01-04 09:00:00,3206.28,WACM
2017-01-04 10:00:00,3210.19,WACM
2017-01-04 11:00:00,3236.56,WACM
2017-01-04 12:00:00,3274.28,WACM
2017-01-04 13:00:00,3316.38,WACM
2017-01-04 14:00:00,3351.68,WACM
2017-01-04 15:00:00,3443.6,WACM
2017-01-04 16:00:00,3532.47,WACM
2017-01-04 17:00:00,3496.21,WACM
2017-01-04 18:00:00,3457.25,WACM
2017-01-04 19:00:00,3414.79,WACM
2017-01-04 20:00:00,3375.25,WACM
2017-01-04 21:00:00,3376.66,WACM
2017-01-04 22:00:00,3374.48,WACM
2017-01-04 23:00:00,3335.45,WACM
2017-01-05 00:00:00,3529.04,WACM
2017-01-05 01:00:00,3568.8,WACM
2017-01-05 02:00:00,3599.75,WACM
2017-01-05 03:00:00,3569.21,WACM
2017-01-05 04:00:00,3499.53,WACM
2017-01-05 05:00:00,3431.24,WACM
2017-01-05 06:00:00,3373.25,WACM
2017-01-05 07:00:00,3329.36,WACM
2017-01-05 08:00:00,3317.06,WACM
2017-01-05 09:00:00,3318.08,WACM
2017-01-05 10:00:00,3310.72,WACM
2017-01-05 11:00:00,3326.95,WACM
2017-01-05 12:00:00,3367.11,WACM
2017-01-05 13:00:00,3393.13,WACM
2017-01-05 14:00:00,3419.53,WACM
2017-01-05 15:00:00,3516.39,WACM
2017-01-05 16:00:00,3588.38,WACM
2017-01-05 17:00:00,3594.47,WACM
2017-01-05 18:00:00,3569.28,WACM
2017-01-05 19:00:00,3546.68,WACM
2017-01-05 20:00:00,3512.8,WACM
2017-01-05 21:00:00,3495.17,WACM
2017-01-05 22:00:00,3488.87,WACM
2017-01-05 23:00:00,3414.22,WACM
2017-01-06 00:00:00,3683.64,WACM
2017-01-06 01:00:00,3709.6,WACM
2017-01-06 02:00:00,3737.27,WACM
2017-01-06 03:00:00,3678.79,WACM
2017-01-06 04:00:00,3611.41,WACM
2017-01-06 05:00:00,3537.04,WACM
2017-01-06 06:00:00,3464.81,WACM
2017-01-06 07:00:00,3427.27,WACM
2017-01-06 08:00:00,3413.83,WACM
2017-01-06 09:00:00,3398.43,WACM
2017-01-06 10:00:00,3389.63,WACM
2017-01-06 11:00:00,3390.46,WACM
2017-01-06 12:00:00,3410.38,WACM
2017-01-06 13:00:00,3424.52,WACM
2017-01-06 14:00:00,3427.42,WACM
2017-01-06 15:00:00,3522.17,WACM
2017-01-06 16:00:00,3578.77,WACM
2017-01-06 17:00:00,3555.58,WACM
2017-01-06 18:00:00,3526.06,WACM
2017-01-06 19:00:00,3493.16,WACM
2017-01-06 20:00:00,3446.86,WACM
2017-01-06 21:00:00,3416.89,WACM
2017-01-06 22:00:00,3386.72,WACM
2017-01-06 23:00:00,3351.04,WACM
2017-01-07 00:00:00,3506.71,WACM
2017-01-07 01:00:00,3580.55,WACM
2017-01-07 02:00:00,3633.0,WACM
2017-01-07 03:00:00,3581.45,WACM
2017-01-07 04:00:00,3521.59,WACM
2017-01-07 05:00:00,3462.78,WACM
2017-01-07 06:00:00,3412.32,WACM
2017-01-07 07:00:00,3354.13,WACM
2017-01-07 08:00:00,3299.23,WACM
2017-01-07 09:00:00,3267.02,WACM
2017-01-07 10:00:00,3251.09,WACM
2017-01-07 11:00:00,3252.22,WACM
2017-01-07 12:00:00,3262.67,WACM
2017-01-07 13:00:00,3285.35,WACM
2017-01-07 14:00:00,3310.77,WACM
2017-01-07 15:00:00,3365.83,WACM
2017-01-07 16:00:00,3367.02,WACM
2017-01-07 17:00:00,3318.04,WACM
2017-01-07 18:00:00,3249.6,WACM
2017-01-07 19:00:00,3182.92,WACM
2017-01-07 20:00:00,3142.76,WACM
2017-01-07 21:00:00,3120.78,WACM
2017-01-07 22:00:00,3100.47,WACM
2017-01-07 23:00:00,3088.25,WACM
2017-01-08 00:00:00,3393.57,WACM
2017-01-08 01:00:00,3456.7,WACM
2017-01-08 02:00:00,3511.11,WACM
2017-01-08 03:00:00,3478.82,WACM
2017-01-08 04:00:00,3417.96,WACM
2017-01-08 05:00:00,3360.02,WACM
2017-01-08 06:00:00,3290.12,WACM
2017-01-08 07:00:00,3217.44,WACM
2017-01-08 08:00:00,3150.0,WACM
2017-01-08 09:00:00,3100.43,WACM
2017-01-08 10:00:00,3089.98,WACM
2017-01-08 11:00:00,3098.24,WACM
2017-01-08 12:00:00,3099.61,WACM
2017-01-08 13:00:00,3098.42,WACM
2017-01-08 14:00:00,3095.39,WACM
2017-01-08 15:00:00,3128.12,WACM
2017-01-08 16:00:00,3159.23,WACM
2017-01-08 17:00:00,3128.89,WACM
2017-01-08 18:00:00,3077.35,WACM
2017-01-08 19:00:00,3037.37,WACM
2017-01-08 20:00:00,2994.14,WACM
2017-01-08 21:00:00,2968.26,WACM
2017-01-08 22:00:00,2925.83,WACM
2017-01-08 23:00:00,2899.05,WACM
2017-01-09 00:00:00,3164.9,WACM
2017-01-09 01:00:00,3209.54,WACM
2017-01-09 02:00:00,3237.12,WACM
2017-01-09 03:00:00,3227.9,WACM
2017-01-09 04:00:00,3141.52,WACM
2017-01-09 05:00:00,3053.04,WACM
2017-01-09 06:00:00,2964.7,WACM
2017-01-09 07:00:00,2873.95,WACM
2017-01-09 08:00:00,2803.05,WACM
2017-01-09 09:00:00,2793.14,WACM
2017-01-09 10:00:00,2810.54,WACM
