Time_UTC,Load,BA
2057-01-01 00:00:00,472.29,AEC
2057-01-01 01:00:00,492.45,AEC
2057-01-01 02:00:00,487.49,AEC
2057-01-01 03:00:00,457.05,AEC
2057-01-01 04:00:00,422.19,AEC
2057-01-01 05:00:00,392.36,AEC
2057-01-01 06:00:00,363.19,AEC
2057-01-01 07:00:00,341.34,AEC
2057-01-01 08:00:00,327.62,AEC
2057-01-01 09:00:00,323.77,AEC
2057-01-01 10:00:00,331.62,AEC
2057-01-01 11:00:00,339.43,AEC
2057-01-01 12:00:00,348.39,AEC
2057-01-01 13:00:00,364.76,AEC
2057-01-01 14:00:00,386.23,AEC
2057-01-01 15:00:00,392.04,AEC
2057-01-01 16:00:00,394.09,AEC
2057-01-01 17:00:00,395.74,AEC
2057-01-01 18:00:00,394.74,AEC
2057-01-01 19:00:00,397.37,AEC
2057-01-01 20:00:00,400.21,AEC
2057-01-01 21:00:00,404.18,AEC
2057-01-01 22:00:00,408.78,AEC
2057-01-01 23:00:00,416.02,AEC
2057-01-02 00:00:00,496.08,AEC
2057-01-02 01:00:00,511.52,AEC
2057-01-02 02:00:00,509.1,AEC
2057-01-02 03:00:00,472.79,AEC
2057-01-02 04:00:00,434.96,AEC
2057-01-02 05:00:00,396.94,AEC
2057-01-02 06:00:00,363.21,AEC
2057-01-02 07:00:00,339.08,AEC
2057-01-02 08:00:00,327.16,AEC
2057-01-02 09:00:00,332.65,AEC
2057-01-02 10:00:00,345.44,AEC
2057-01-02 11:00:00,359.45,AEC
2057-01-02 12:00:00,369.07,AEC
2057-01-02 13:00:00,380.66,AEC
2057-01-02 14:00:00,395.99,AEC
2057-01-02 15:00:00,402.05,AEC
2057-01-02 16:00:00,405.59,AEC
2057-01-02 17:00:00,408.46,AEC
2057-01-02 18:00:00,410.67,AEC
2057-01-02 19:00:00,409.52,AEC
2057-01-02 20:00:00,409.2,AEC
2057-01-02 21:00:00,408.08,AEC
2057-01-02 22:00:00,412.25,AEC
2057-01-02 23:00:00,413.27,AEC
2057-01-03 00:00:00,509.07,AEC
2057-01-03 01:00:00,522.29,AEC
2057-01-03 02:00:00,517.83,AEC
2057-01-03 03:00:00,484.81,AEC
2057-01-03 04:00:00,444.74,AEC
2057-01-03 05:00:00,405.37,AEC
2057-01-03 06:00:00,374.19,AEC
2057-01-03 07:00:00,350.85,AEC
2057-01-03 08:00:00,344.12,AEC
2057-01-03 09:00:00,345.56,AEC
2057-01-03 10:00:00,357.72,AEC
2057-01-03 11:00:00,371.26,AEC
2057-01-03 12:00:00,381.13,AEC
2057-01-03 13:00:00,389.44,AEC
2057-01-03 14:00:00,403.0,AEC
2057-01-03 15:00:00,401.93,AEC
2057-01-03 16:00:00,399.16,AEC
2057-01-03 17:00:00,392.82,AEC
2057-01-03 18:00:00,390.06,AEC
2057-01-03 19:00:00,393.17,AEC
2057-01-03 20:00:00,401.54,AEC
2057-01-03 21:00:00,417.34,AEC
2057-01-03 22:00:00,430.85,AEC
2057-01-03 23:00:00,427.63,AEC
2057-01-04 00:00:00,498.52,AEC
2057-01-04 01:00:00,508.5,AEC
2057-01-04 02:00:00,506.82,AEC
2057-01-04 03:00:00,473.88,AEC
2057-01-04 04:00:00,432.18,AEC
2057-01-04 05:00:00,395.29,AEC
2057-01-04 06:00:00,361.69,AEC
2057-01-04 07:00:00,341.27,AEC
2057-01-04 08:00:00,334.54,AEC
2057-01-04 09:00:00,344.62,AEC
2057-01-04 10:00:00,360.16,AEC
2057-01-04 11:00:00,378.26,AEC
2057-01-04 12:00:00,401.93,AEC
2057-01-04 13:00:00,425.99,AEC
2057-01-04 14:00:00,452.42,AEC
2057-01-04 15:00:00,448.16,AEC
2057-01-04 16:00:00,443.67,AEC
2057-01-04 17:00:00,435.43,AEC
2057-01-04 18:00:00,428.94,AEC
2057-01-04 19:00:00,425.97,AEC
2057-01-04 20:00:00,423.26,AEC
2057-01-04 21:00:00,429.88,AEC
2057-01-04 22:00:00,445.84,AEC
2057-01-04 23:00:00,467.4,AEC
2057-01-05 00:00:00,537.21,AEC
2057-01-05 01:00:00,577.98,AEC
2057-01-05 02:00:00,606.6,AEC
2057-01-05 03:00:00,589.13,AEC
2057-01-05 04:00:00,568.83,AEC
2057-01-05 05:00:00,547.96,AEC
2057-01-05 06:00:00,528.47,AEC
2057-01-05 07:00:00,528.46,AEC
2057-01-05 08:00:00,560.19,AEC
2057-01-05 09:00:00,592.7,AEC
2057-01-05 10:00:00,624.59,AEC
2057-01-05 11:00:00,648.94,AEC
2057-01-05 12:00:00,670.68,AEC
2057-01-05 13:00:00,700.56,AEC
2057-01-05 14:00:00,715.15,AEC
2057-01-05 15:00:00,629.47,AEC
2057-01-05 16:00:00,561.32,AEC
2057-01-05 17:00:00,508.25,AEC
2057-01-05 18:00:00,464.36,AEC
2057-01-05 19:00:00,435.53,AEC
2057-01-05 20:00:00,426.23,AEC
2057-01-05 21:00:00,421.46,AEC
2057-01-05 22:00:00,433.48,AEC
2057-01-05 23:00:00,443.61,AEC
2057-01-06 00:00:00,500.69,AEC
2057-01-06 01:00:00,531.98,AEC
2057-01-06 02:00:00,547.0,AEC
2057-01-06 03:00:00,519.75,AEC
2057-01-06 04:00:00,495.44,AEC
2057-01-06 05:00:00,476.14,AEC
