Time_UTC,Load,BA
2057-01-01 00:00:00,2856.9,AZPS
2057-01-01 01:00:00,3108.32,AZPS
2057-01-01 02:00:00,3192.56,AZPS
2057-01-01 03:00:00,3253.34,AZPS
2057-01-01 04:00:00,3280.23,AZPS
2057-01-01 05:00:00,3109.14,AZPS
2057-01-01 06:00:00,2925.48,AZPS
2057-01-01 07:00:00,2726.5,AZPS
2057-01-01 08:00:00,2535.54,AZPS
2057-01-01 09:00:00,2426.41,AZPS
2057-01-01 10:00:00,2418.11,AZPS
2057-01-01 11:00:00,2468.31,AZPS
2057-01-01 12:00:00,2524.42,AZPS
2057-01-01 13:00:00,2582.9,AZPS
2057-01-01 14:00:00,2664.02,AZPS
2057-01-01 15:00:00,2764.0,AZPS
2057-01-01 16:00:00,2889.61,AZPS
2057-01-01 17:00:00,2968.66,AZPS
2057-01-01 18:00:00,2916.11,AZPS
2057-01-01 19:00:00,2795.83,AZPS
2057-01-01 20:00:00,2754.21,AZPS
2057-01-01 21:00:00,2790.2,AZPS
2057-01-01 22:00:00,2786.08,AZPS
2057-01-01 23:00:00,2733.35,AZPS
2057-01-02 00:00:00,3096.73,AZPS
2057-01-02 01:00:00,3298.05,AZPS
2057-01-02 02:00:00,3413.76,AZPS
2057-01-02 03:00:00,3514.37,AZPS
2057-01-02 04:00:00,3423.84,AZPS
2057-01-02 05:00:00,3241.97,AZPS
2057-01-02 06:00:00,3052.88,AZPS
2057-01-02 07:00:00,2857.34,AZPS
2057-01-02 08:00:00,2691.29,AZPS
2057-01-02 09:00:00,2628.28,AZPS
2057-01-02 10:00:00,2722.55,AZPS
2057-01-02 11:00:00,2833.89,AZPS
2057-01-02 12:00:00,2948.75,AZPS
2057-01-02 13:00:00,3081.32,AZPS
2057-01-02 14:00:00,3214.18,AZPS
2057-01-02 15:00:00,3417.9,AZPS
2057-01-02 16:00:00,3345.63,AZPS
2057-01-02 17:00:00,3196.41,AZPS
2057-01-02 18:00:00,3056.6,AZPS
2057-01-02 19:00:00,2922.86,AZPS
2057-01-02 20:00:00,2889.18,AZPS
2057-01-02 21:00:00,2882.36,AZPS
2057-01-02 22:00:00,2886.4,AZPS
2057-01-02 23:00:00,2938.94,AZPS
2057-01-03 00:00:00,3042.32,AZPS
2057-01-03 01:00:00,3239.11,AZPS
2057-01-03 02:00:00,3361.21,AZPS
2057-01-03 03:00:00,3475.63,AZPS
2057-01-03 04:00:00,3401.27,AZPS
2057-01-03 05:00:00,3226.51,AZPS
2057-01-03 06:00:00,3034.94,AZPS
2057-01-03 07:00:00,2830.93,AZPS
2057-01-03 08:00:00,2672.42,AZPS
2057-01-03 09:00:00,2593.47,AZPS
2057-01-03 10:00:00,2668.54,AZPS
2057-01-03 11:00:00,2788.32,AZPS
2057-01-03 12:00:00,2915.34,AZPS
2057-01-03 13:00:00,3045.6,AZPS
2057-01-03 14:00:00,3185.38,AZPS
2057-01-03 15:00:00,3379.26,AZPS
2057-01-03 16:00:00,3330.8,AZPS
2057-01-03 17:00:00,3136.49,AZPS
2057-01-03 18:00:00,2980.08,AZPS
2057-01-03 19:00:00,2818.61,AZPS
2057-01-03 20:00:00,2741.09,AZPS
2057-01-03 21:00:00,2759.93,AZPS
2057-01-03 22:00:00,2833.47,AZPS
2057-01-03 23:00:00,2813.38,AZPS
2057-01-04 00:00:00,2928.87,AZPS
2057-01-04 01:00:00,3128.03,AZPS
2057-01-04 02:00:00,3264.04,AZPS
2057-01-04 03:00:00,3394.79,AZPS
2057-01-04 04:00:00,3380.55,AZPS
2057-01-04 05:00:00,3205.81,AZPS
2057-01-04 06:00:00,3026.14,AZPS
2057-01-04 07:00:00,2826.3,AZPS
2057-01-04 08:00:00,2643.94,AZPS
2057-01-04 09:00:00,2539.04,AZPS
2057-01-04 10:00:00,2595.11,AZPS
2057-01-04 11:00:00,2711.57,AZPS
2057-01-04 12:00:00,2835.32,AZPS
2057-01-04 13:00:00,2961.32,AZPS
2057-01-04 14:00:00,3086.24,AZPS
2057-01-04 15:00:00,3303.05,AZPS
2057-01-04 16:00:00,3240.19,AZPS
2057-01-04 17:00:00,3061.6,AZPS
2057-01-04 18:00:00,2883.27,AZPS
2057-01-04 19:00:00,2759.97,AZPS
2057-01-04 20:00:00,2670.12,AZPS
2057-01-04 21:00:00,2648.12,AZPS
2057-01-04 22:00:00,2636.41,AZPS
2057-01-04 23:00:00,2676.83,AZPS
2057-01-05 00:00:00,2927.03,AZPS
2057-01-05 01:00:00,3137.86,AZPS
2057-01-05 02:00:00,3238.29,AZPS
2057-01-05 03:00:00,3355.23,AZPS
2057-01-05 04:00:00,3336.73,AZPS
2057-01-05 05:00:00,3166.06,AZPS
2057-01-05 06:00:00,2990.95,AZPS
2057-01-05 07:00:00,2801.6,AZPS
2057-01-05 08:00:00,2657.25,AZPS
2057-01-05 09:00:00,2560.86,AZPS
2057-01-05 10:00:00,2586.7,AZPS
2057-01-05 11:00:00,2686.13,AZPS
2057-01-05 12:00:00,2804.74,AZPS
2057-01-05 13:00:00,2935.28,AZPS
2057-01-05 14:00:00,3060.03,AZPS
2057-01-05 15:00:00,3240.83,AZPS
2057-01-05 16:00:00,3189.11,AZPS
2057-01-05 17:00:00,3053.16,AZPS
2057-01-05 18:00:00,2892.58,AZPS
2057-01-05 19:00:00,2810.87,AZPS
2057-01-05 20:00:00,2782.84,AZPS
2057-01-05 21:00:00,2763.15,AZPS
2057-01-05 22:00:00,2753.94,AZPS
2057-01-05 23:00:00,2814.31,AZPS
2057-01-06 00:00:00,2974.5,AZPS
2057-01-06 01:00:00,3124.0,AZPS
2057-01-06 02:00:00,3186.66,AZPS
2057-01-06 03:00:00,3313.28,AZPS
2057-01-06 04:00:00,3307.92,AZPS
2057-01-06 05:00:00,3187.56,AZPS
2057-01-06 06:00:00,3053.95,AZPS
2057-01-06 07:00:00,2927.01,AZPS
2057-01-06 08:00:00,2809.31,AZPS
