Time_UTC,Load,BA
2057-01-01 00:00:00,23871.03,CISO
2057-01-01 01:00:00,25137.25,CISO
2057-01-01 02:00:00,25773.99,CISO
2057-01-01 03:00:00,26654.74,CISO
2057-01-01 04:00:00,27461.38,CISO
2057-01-01 05:00:00,26984.75,CISO
2057-01-01 06:00:00,25723.52,CISO
2057-01-01 07:00:00,24409.26,CISO
2057-01-01 08:00:00,23069.04,CISO
2057-01-01 09:00:00,21707.81,CISO
2057-01-01 10:00:00,20829.06,CISO
2057-01-01 11:00:00,20401.78,CISO
2057-01-01 12:00:00,20512.74,CISO
2057-01-01 13:00:00,20906.32,CISO
2057-01-01 14:00:00,21516.73,CISO
2057-01-01 15:00:00,22038.3,CISO
2057-01-01 16:00:00,23296.77,CISO
2057-01-01 17:00:00,23520.63,CISO
2057-01-01 18:00:00,23610.94,CISO
2057-01-01 19:00:00,23514.03,CISO
2057-01-01 20:00:00,23343.35,CISO
2057-01-01 21:00:00,23159.46,CISO
2057-01-01 22:00:00,23449.38,CISO
2057-01-01 23:00:00,23646.66,CISO
2057-01-02 00:00:00,24861.76,CISO
2057-01-02 01:00:00,26872.0,CISO
2057-01-02 02:00:00,27689.73,CISO
2057-01-02 03:00:00,28407.01,CISO
2057-01-02 04:00:00,29142.03,CISO
2057-01-02 05:00:00,29155.1,CISO
2057-01-02 06:00:00,27469.18,CISO
2057-01-02 07:00:00,25721.22,CISO
2057-01-02 08:00:00,23958.59,CISO
2057-01-02 09:00:00,22489.42,CISO
2057-01-02 10:00:00,21640.98,CISO
2057-01-02 11:00:00,21433.33,CISO
2057-01-02 12:00:00,21817.46,CISO
2057-01-02 13:00:00,22253.47,CISO
2057-01-02 14:00:00,22715.97,CISO
2057-01-02 15:00:00,23327.42,CISO
2057-01-02 16:00:00,25496.83,CISO
2057-01-02 17:00:00,26711.89,CISO
2057-01-02 18:00:00,27047.13,CISO
2057-01-02 19:00:00,26918.82,CISO
2057-01-02 20:00:00,26670.54,CISO
2057-01-02 21:00:00,26626.88,CISO
2057-01-02 22:00:00,26747.3,CISO
2057-01-02 23:00:00,26975.31,CISO
2057-01-03 00:00:00,26292.65,CISO
2057-01-03 01:00:00,27232.18,CISO
2057-01-03 02:00:00,27978.72,CISO
2057-01-03 03:00:00,28718.19,CISO
2057-01-03 04:00:00,29497.78,CISO
2057-01-03 05:00:00,28743.43,CISO
2057-01-03 06:00:00,26961.78,CISO
2057-01-03 07:00:00,25262.11,CISO
2057-01-03 08:00:00,23536.61,CISO
2057-01-03 09:00:00,22156.15,CISO
2057-01-03 10:00:00,21416.85,CISO
2057-01-03 11:00:00,21223.96,CISO
2057-01-03 12:00:00,21631.4,CISO
2057-01-03 13:00:00,22131.47,CISO
2057-01-03 14:00:00,22626.33,CISO
2057-01-03 15:00:00,23156.09,CISO
2057-01-03 16:00:00,25790.33,CISO
2057-01-03 17:00:00,26634.01,CISO
2057-01-03 18:00:00,26674.37,CISO
2057-01-03 19:00:00,26598.47,CISO
2057-01-03 20:00:00,26718.27,CISO
2057-01-03 21:00:00,26821.2,CISO
2057-01-03 22:00:00,26855.6,CISO
2057-01-03 23:00:00,26888.04,CISO
2057-01-04 00:00:00,26032.96,CISO
2057-01-04 01:00:00,26906.32,CISO
2057-01-04 02:00:00,27599.1,CISO
2057-01-04 03:00:00,28319.31,CISO
2057-01-04 04:00:00,29042.09,CISO
2057-01-04 05:00:00,28847.75,CISO
2057-01-04 06:00:00,27430.43,CISO
2057-01-04 07:00:00,25787.02,CISO
2057-01-04 08:00:00,24144.99,CISO
2057-01-04 09:00:00,22709.21,CISO
2057-01-04 10:00:00,21805.97,CISO
2057-01-04 11:00:00,21431.41,CISO
2057-01-04 12:00:00,21849.99,CISO
2057-01-04 13:00:00,22274.11,CISO
