Time_UTC,Load,BA
2057-01-01 00:00:00,6753.83,CPLE
2057-01-01 01:00:00,6487.98,CPLE
2057-01-01 02:00:00,6252.56,CPLE
2057-01-01 03:00:00,5999.87,CPLE
2057-01-01 04:00:00,5732.21,CPLE
2057-01-01 05:00:00,5466.38,CPLE
2057-01-01 06:00:00,5206.78,CPLE
2057-01-01 07:00:00,4989.9,CPLE
2057-01-01 08:00:00,4850.42,CPLE
2057-01-01 09:00:00,4911.53,CPLE
2057-01-01 10:00:00,5196.46,CPLE
2057-01-01 11:00:00,5504.05,CPLE
2057-01-01 12:00:00,5902.16,CPLE
2057-01-01 13:00:00,6218.92,CPLE
2057-01-01 14:00:00,6508.03,CPLE
2057-01-01 15:00:00,6599.63,CPLE
2057-01-01 16:00:00,6693.43,CPLE
2057-01-01 17:00:00,6663.88,CPLE
2057-01-01 18:00:00,6644.29,CPLE
2057-01-01 19:00:00,6604.83,CPLE
2057-01-01 20:00:00,6532.12,CPLE
2057-01-01 21:00:00,6490.35,CPLE
2057-01-01 22:00:00,6490.4,CPLE
2057-01-01 23:00:00,6492.47,CPLE
2057-01-02 00:00:00,7399.53,CPLE
2057-01-02 01:00:00,7034.31,CPLE
2057-01-02 02:00:00,6677.09,CPLE
2057-01-02 03:00:00,6299.22,CPLE
2057-01-02 04:00:00,5922.62,CPLE
2057-01-02 05:00:00,5564.88,CPLE
2057-01-02 06:00:00,5248.2,CPLE
2057-01-02 07:00:00,5038.73,CPLE
2057-01-02 08:00:00,4992.58,CPLE
2057-01-02 09:00:00,5146.67,CPLE
2057-01-02 10:00:00,5356.74,CPLE
2057-01-02 11:00:00,5573.12,CPLE
2057-01-02 12:00:00,5796.7,CPLE
2057-01-02 13:00:00,5993.29,CPLE
2057-01-02 14:00:00,6181.95,CPLE
2057-01-02 15:00:00,6268.11,CPLE
2057-01-02 16:00:00,6290.19,CPLE
2057-01-02 17:00:00,6203.86,CPLE
2057-01-02 18:00:00,6129.93,CPLE
2057-01-02 19:00:00,6094.42,CPLE
2057-01-02 20:00:00,6079.45,CPLE
2057-01-02 21:00:00,6073.87,CPLE
2057-01-02 22:00:00,6102.58,CPLE
2057-01-02 23:00:00,6133.03,CPLE
2057-01-03 00:00:00,7139.39,CPLE
2057-01-03 01:00:00,6816.45,CPLE
2057-01-03 02:00:00,6523.45,CPLE
2057-01-03 03:00:00,6170.24,CPLE
2057-01-03 04:00:00,5821.8,CPLE
2057-01-03 05:00:00,5493.98,CPLE
2057-01-03 06:00:00,5196.6,CPLE
2057-01-03 07:00:00,4996.66,CPLE
2057-01-03 08:00:00,4973.31,CPLE
2057-01-03 09:00:00,5135.6,CPLE
2057-01-03 10:00:00,5339.18,CPLE
2057-01-03 11:00:00,5529.65,CPLE
2057-01-03 12:00:00,5717.9,CPLE
2057-01-03 13:00:00,5870.19,CPLE
2057-01-03 14:00:00,6014.58,CPLE
2057-01-03 15:00:00,6078.84,CPLE
2057-01-03 16:00:00,6092.18,CPLE
2057-01-03 17:00:00,6083.55,CPLE
2057-01-03 18:00:00,6033.18,CPLE
2057-01-03 19:00:00,5976.39,CPLE
2057-01-03 20:00:00,5937.44,CPLE
2057-01-03 21:00:00,5917.32,CPLE
2057-01-03 22:00:00,5914.25,CPLE
2057-01-03 23:00:00,5925.34,CPLE
2057-01-04 00:00:00,6968.42,CPLE
2057-01-04 01:00:00,6652.86,CPLE
2057-01-04 02:00:00,6373.18,CPLE
2057-01-04 03:00:00,6077.01,CPLE
2057-01-04 04:00:00,5793.94,CPLE
2057-01-04 05:00:00,5446.33,CPLE
2057-01-04 06:00:00,5110.45,CPLE
2057-01-04 07:00:00,4848.91,CPLE
2057-01-04 08:00:00,4787.86,CPLE
2057-01-04 09:00:00,4995.7,CPLE
2057-01-04 10:00:00,5224.73,CPLE
2057-01-04 11:00:00,5509.47,CPLE
2057-01-04 12:00:00,5764.61,CPLE
2057-01-04 13:00:00,6013.82,CPLE
2057-01-04 14:00:00,6106.55,CPLE
2057-01-04 15:00:00,5977.52,CPLE
2057-01-04 16:00:00,5976.86,CPLE
2057-01-04 17:00:00,5944.29,CPLE
2057-01-04 18:00:00,5892.47,CPLE
2057-01-04 19:00:00,5907.79,CPLE
2057-01-04 20:00:00,5914.93,CPLE
2057-01-04 21:00:00,5994.8,CPLE
2057-01-04 22:00:00,6120.92,CPLE
2057-01-04 23:00:00,6303.71,CPLE
2057-01-05 00:00:00,7388.7,CPLE
2057-01-05 01:00:00,7247.12,CPLE
2057-01-05 02:00:00,7082.63,CPLE
2057-01-05 03:00:00,6889.11,CPLE
2057-01-05 04:00:00,6721.29,CPLE
2057-01-05 05:00:00,6654.1,CPLE
2057-01-05 06:00:00,6596.42,CPLE
2057-01-05 07:00:00,6597.65,CPLE
2057-01-05 08:00:00,6880.79,CPLE
2057-01-05 09:00:00,7292.95,CPLE
2057-01-05 10:00:00,7718.1,CPLE
2057-01-05 11:00:00,8201.16,CPLE
2057-01-05 12:00:00,8634.22,CPLE
2057-01-05 13:00:00,8993.85,CPLE
2057-01-05 14:00:00,8689.31,CPLE
2057-01-05 15:00:00,8239.42,CPLE
2057-01-05 16:00:00,7817.74,CPLE
2057-01-05 17:00:00,7433.37,CPLE
2057-01-05 18:00:00,7227.92,CPLE
2057-01-05 19:00:00,7077.31,CPLE
2057-01-05 20:00:00,6897.0,CPLE
2057-01-05 21:00:00,6864.87,CPLE
2057-01-05 22:00:00,7126.69,CPLE
2057-01-05 23:00:00,7360.53,CPLE
2057-01-06 00:00:00,7642.6,CPLE
2057-01-06 01:00:00,7526.14,CPLE
2057-01-06 02:00:00,7513.54,CPLE
2057-01-06 03:00:00,7448.27,CPLE
2057-01-06 04:00:00,7291.32,CPLE
2057-01-06 05:00:00,7029.83,CPLE
2057-01-06 06:00:00,6790.62,CPLE
2057-01-06 07:00:00,6593.2,CPLE
2057-01-06 08:00:00,6405.1,CPLE
2057-01-06 09:00:00,6548.6,CPLE
2057-01-06 10:00:00,6828.12,CPLE
2057-01-06 11:00:00,7052.75,CPLE
2057-01-06 12:00:00,7226.46,CPLE
2057-01-06 13:00:00,7343.22,CPLE
2057-01-06 14:00:00,7408.6,CPLE
2057-01-06 15:00:00,7456.65,CPLE
2057-01-06 16:00:00,7396.26,CPLE
2057-01-06 17:00:00,7399.88,CPLE
2057-01-06 18:00:00,7395.89,CPLE
2057-01-06 19:00:00,7439.31,CPLE
2057-01-06 20:00:00,7554.8,CPLE
2057-01-06 21:00:00,7638.57,CPLE
2057-01-06 22:00:00,7745.24,CPLE
2057-01-06 23:00:00,7867.05,CPLE
2057-01-07 00:00:00,8419.17,CPLE
2057-01-07 01:00:00,8260.13,CPLE
2057-01-07 02:00:00,8083.84,CPLE
2057-01-07 03:00:00,7885.93,CPLE
2057-01-07 04:00:00,7703.97,CPLE
2057-01-07 05:00:00,7512.53,CPLE
2057-01-07 06:00:00,7330.65,CPLE
2057-01-07 07:00:00,7161.17,CPLE
2057-01-07 08:00:00,7159.63,CPLE
2057-01-07 09:00:00,7410.5,CPLE
2057-01-07 10:00:00,7734.41,CPLE
2057-01-07 11:00:00,8184.99,CPLE
2057-01-07 12:00:00,8474.11,CPLE
2057-01-07 13:00:00,8810.07,CPLE
2057-01-07 14:00:00,9313.5,CPLE
2057-01-07 15:00:00,9732.19,CPLE
2057-01-07 16:00:00,9953.46,CPLE
2057-01-07 17:00:00,10143.01,CPLE
2057-01-07 18:00:00,10304.59,CPLE
2057-01-07 19:00:00,10279.2,CPLE
2057-01-07 20:00:00,10172.39,CPLE
2057-01-07 21:00:00,9753.37,CPLE
2057-01-07 22:00:00,9485.68,CPLE
2057-01-07 23:00:00,9576.54,CPLE
2057-01-08 00:00:00,10819.53,CPLE
2057-01-08 01:00:00,10694.22,CPLE
2057-01-08 02:00:00,10613.64,CPLE
2057-01-08 03:00:00,10532.56,CPLE
2057-01-08 04:00:00,10489.25,CPLE
2057-01-08 05:00:00,10433.4,CPLE
2057-01-08 06:00:00,10456.05,CPLE
2057-01-08 07:00:00,10774.3,CPLE
2057-01-08 08:00:00,11256.34,CPLE
2057-01-08 09:00:00,11745.25,CPLE
2057-01-08 10:00:00,12125.13,CPLE
2057-01-08 11:00:00,12427.32,CPLE
2057-01-08 12:00:00,12655.74,CPLE
2057-01-08 13:00:00,12938.3,CPLE
2057-01-08 14:00:00,12492.19,CPLE
2057-01-08 15:00:00,11536.74,CPLE
2057-01-08 16:00:00,10800.91,CPLE
2057-01-08 17:00:00,10286.7,CPLE
2057-01-08 18:00:00,9885.93,CPLE
2057-01-08 19:00:00,9553.51,CPLE
2057-01-08 20:00:00,9347.83,CPLE
2057-01-08 21:00:00,9384.48,CPLE
2057-01-08 22:00:00,10035.32,CPLE
2057-01-08 23:00:00,10849.16,CPLE
2057-01-09 00:00:00,11821.92,CPLE
2057-01-09 01:00:00,11678.58,CPLE
2057-01-09 02:00:00,11500.97,CPLE
2057-01-09 03:00:00,11391.31,CPLE
2057-01-09 04:00:00,11343.65,CPLE
2057-01-09 05:00:00,11357.98,CPLE
2057-01-09 06:00:00,11465.72,CPLE
2057-01-09 07:00:00,11669.0,CPLE
2057-01-09 08:00:00,11919.49,CPLE
2057-01-09 09:00:00,12265.1,CPLE
2057-01-09 10:00:00,12629.12,CPLE
2057-01-09 11:00:00,12957.72,CPLE
2057-01-09 12:00:00,13235.51,CPLE
2057-01-09 13:00:00,13487.67,CPLE
2057-01-09 14:00:00,12778.32,CPLE
2057-01-09 15:00:00,11584.85,CPLE
2057-01-09 16:00:00,10714.92,CPLE
2057-01-09 17:00:00,10187.3,CPLE
2057-01-09 18:00:00,9745.96,CPLE
2057-01-09 19:00:00,9382.71,CPLE
2057-01-09 20:00:00,9154.49,CPLE
2057-01-09 21:00:00,9091.87,CPLE
2057-01-09 22:00:00,9828.96,CPLE
2057-01-09 23:00:00,10340.21,CPLE
2057-01-10 00:00:00,10994.09,CPLE
2057-01-10 01:00:00,10831.52,CPLE
2057-01-10 02:00:00,10755.97,CPLE
2057-01-10 03:00:00,10602.41,CPLE
2057-01-10 04:00:00,10403.15,CPLE
2057-01-10 05:00:00,10234.51,CPLE
2057-01-10 06:00:00,10168.28,CPLE
2057-01-10 07:00:00,10271.73,CPLE
2057-01-10 08:00:00,10512.56,CPLE
2057-01-10 09:00:00,10804.7,CPLE
2057-01-10 10:00:00,11055.75,CPLE
2057-01-10 11:00:00,11247.93,CPLE
2057-01-10 12:00:00,11287.13,CPLE
2057-01-10 13:00:00,11415.21,CPLE
2057-01-10 14:00:00,11039.22,CPLE
2057-01-10 15:00:00,10006.67,CPLE
2057-01-10 16:00:00,9051.3,CPLE
2057-01-10 17:00:00,8425.79,CPLE
2057-01-10 18:00:00,7918.89,CPLE
2057-01-10 19:00:00,7574.53,CPLE
2057-01-10 20:00:00,7348.74,CPLE
2057-01-10 21:00:00,7382.54,CPLE
2057-01-10 22:00:00,7748.36,CPLE
2057-01-10 23:00:00,8124.28,CPLE
2057-01-11 00:00:00,8545.4,CPLE
2057-01-11 01:00:00,8188.17,CPLE
2057-01-11 02:00:00,7814.46,CPLE
2057-01-11 03:00:00,7265.39,CPLE
2057-01-11 04:00:00,6754.75,CPLE
2057-01-11 05:00:00,6348.27,CPLE
2057-01-11 06:00:00,6040.21,CPLE
2057-01-11 07:00:00,5952.65,CPLE
2057-01-11 08:00:00,5926.69,CPLE
2057-01-11 09:00:00,6125.3,CPLE
2057-01-11 10:00:00,6411.12,CPLE
2057-01-11 11:00:00,6698.74,CPLE
2057-01-11 12:00:00,6907.68,CPLE
2057-01-11 13:00:00,7157.92,CPLE
2057-01-11 14:00:00,7360.72,CPLE
2057-01-11 15:00:00,7199.78,CPLE
2057-01-11 16:00:00,7003.71,CPLE
2057-01-11 17:00:00,6795.24,CPLE
2057-01-11 18:00:00,6560.16,CPLE
2057-01-11 19:00:00,6192.8,CPLE
2057-01-11 20:00:00,6044.7,CPLE
2057-01-11 21:00:00,6003.41,CPLE
2057-01-11 22:00:00,6224.41,CPLE
2057-01-11 23:00:00,6348.61,CPLE
2057-01-12 00:00:00,7287.07,CPLE
2057-01-12 01:00:00,6930.76,CPLE
2057-01-12 02:00:00,6614.08,CPLE
2057-01-12 03:00:00,6309.56,CPLE
2057-01-12 04:00:00,5936.46,CPLE
2057-01-12 05:00:00,5581.59,CPLE
2057-01-12 06:00:00,5230.19,CPLE
2057-01-12 07:00:00,4971.41,CPLE
2057-01-12 08:00:00,4966.71,CPLE
2057-01-12 09:00:00,5146.42,CPLE
2057-01-12 10:00:00,5370.79,CPLE
2057-01-12 11:00:00,5642.2,CPLE
2057-01-12 12:00:00,5899.34,CPLE
2057-01-12 13:00:00,6186.51,CPLE
2057-01-12 14:00:00,6213.11,CPLE
2057-01-12 15:00:00,5812.62,CPLE
2057-01-12 16:00:00,5625.6,CPLE
2057-01-12 17:00:00,5530.62,CPLE
2057-01-12 18:00:00,5606.17,CPLE
2057-01-12 19:00:00,5705.91,CPLE
2057-01-12 20:00:00,5818.09,CPLE
2057-01-12 21:00:00,5906.98,CPLE
2057-01-12 22:00:00,5913.67,CPLE
2057-01-12 23:00:00,5909.85,CPLE
2057-01-13 00:00:00,6593.39,CPLE
2057-01-13 01:00:00,6337.91,CPLE
2057-01-13 02:00:00,6105.74,CPLE
2057-01-13 03:00:00,5857.95,CPLE
2057-01-13 04:00:00,5600.88,CPLE
2057-01-13 05:00:00,5357.23,CPLE
2057-01-13 06:00:00,5090.29,CPLE
2057-01-13 07:00:00,4881.72,CPLE
2057-01-13 08:00:00,4752.67,CPLE
2057-01-13 09:00:00,4702.23,CPLE
2057-01-13 10:00:00,4799.7,CPLE
2057-01-13 11:00:00,5049.01,CPLE
2057-01-13 12:00:00,5262.22,CPLE
2057-01-13 13:00:00,5503.1,CPLE
2057-01-13 14:00:00,5538.16,CPLE
2057-01-13 15:00:00,5366.93,CPLE
2057-01-13 16:00:00,5243.61,CPLE
2057-01-13 17:00:00,5397.12,CPLE
2057-01-13 18:00:00,5634.09,CPLE
2057-01-13 19:00:00,5744.95,CPLE
2057-01-13 20:00:00,5754.98,CPLE
2057-01-13 21:00:00,5706.23,CPLE
2057-01-13 22:00:00,5585.49,CPLE
2057-01-13 23:00:00,5658.49,CPLE
2057-01-14 00:00:00,6609.19,CPLE
2057-01-14 01:00:00,6383.85,CPLE
2057-01-14 02:00:00,6188.73,CPLE
2057-01-14 03:00:00,6026.33,CPLE
2057-01-14 04:00:00,5932.45,CPLE
2057-01-14 05:00:00,5844.02,CPLE
2057-01-14 06:00:00,5735.72,CPLE
2057-01-14 07:00:00,5617.13,CPLE
2057-01-14 08:00:00,5519.55,CPLE
2057-01-14 09:00:00,5676.21,CPLE
2057-01-14 10:00:00,5899.64,CPLE
2057-01-14 11:00:00,6201.99,CPLE
2057-01-14 12:00:00,6426.3,CPLE
2057-01-14 13:00:00,6594.09,CPLE
2057-01-14 14:00:00,6816.04,CPLE
2057-01-14 15:00:00,7036.82,CPLE
2057-01-14 16:00:00,6944.14,CPLE
2057-01-14 17:00:00,6790.34,CPLE
2057-01-14 18:00:00,6639.38,CPLE
2057-01-14 19:00:00,6504.57,CPLE
2057-01-14 20:00:00,6377.4,CPLE
2057-01-14 21:00:00,6298.47,CPLE
2057-01-14 22:00:00,6310.21,CPLE
2057-01-14 23:00:00,6406.79,CPLE
2057-01-15 00:00:00,6949.81,CPLE
2057-01-15 01:00:00,6659.32,CPLE
2057-01-15 02:00:00,6380.39,CPLE
2057-01-15 03:00:00,6091.15,CPLE
2057-01-15 04:00:00,5797.7,CPLE
2057-01-15 05:00:00,5483.56,CPLE
2057-01-15 06:00:00,5147.69,CPLE
2057-01-15 07:00:00,4888.51,CPLE
2057-01-15 08:00:00,4854.1,CPLE
2057-01-15 09:00:00,4967.95,CPLE
2057-01-15 10:00:00,5184.49,CPLE
2057-01-15 11:00:00,5361.34,CPLE
2057-01-15 12:00:00,5550.17,CPLE
2057-01-15 13:00:00,5910.29,CPLE
2057-01-15 14:00:00,6035.31,CPLE
2057-01-15 15:00:00,5973.42,CPLE
2057-01-15 16:00:00,5868.83,CPLE
2057-01-15 17:00:00,5834.42,CPLE
2057-01-15 18:00:00,5875.09,CPLE
2057-01-15 19:00:00,5921.72,CPLE
2057-01-15 20:00:00,5875.69,CPLE
2057-01-15 21:00:00,5814.11,CPLE
2057-01-15 22:00:00,5883.71,CPLE
2057-01-15 23:00:00,6072.11,CPLE
2057-01-16 00:00:00,7186.61,CPLE
2057-01-16 01:00:00,6939.86,CPLE
2057-01-16 02:00:00,6655.62,CPLE
2057-01-16 03:00:00,6368.94,CPLE
2057-01-16 04:00:00,6068.69,CPLE
2057-01-16 05:00:00,5791.05,CPLE
2057-01-16 06:00:00,5542.47,CPLE
2057-01-16 07:00:00,5411.44,CPLE
2057-01-16 08:00:00,5509.53,CPLE
2057-01-16 09:00:00,5778.91,CPLE
2057-01-16 10:00:00,6113.44,CPLE
2057-01-16 11:00:00,6414.53,CPLE
2057-01-16 12:00:00,6691.71,CPLE
2057-01-16 13:00:00,6918.35,CPLE
2057-01-16 14:00:00,6975.99,CPLE
2057-01-16 15:00:00,6764.51,CPLE
2057-01-16 16:00:00,6557.71,CPLE
2057-01-16 17:00:00,6385.62,CPLE
2057-01-16 18:00:00,6246.83,CPLE
