Time_UTC,Load,BA
2057-01-01 00:00:00,255.22,DOPD
2057-01-01 01:00:00,258.03,DOPD
2057-01-01 02:00:00,257.41,DOPD
2057-01-01 03:00:00,257.77,DOPD
2057-01-01 04:00:00,250.23,DOPD
2057-01-01 05:00:00,239.96,DOPD
2057-01-01 06:00:00,236.48,DOPD
2057-01-01 07:00:00,230.91,DOPD
2057-01-01 08:00:00,219.85,DOPD
2057-01-01 09:00:00,215.8,DOPD
2057-01-01 10:00:00,215.11,DOPD
2057-01-01 11:00:00,220.69,DOPD
2057-01-01 12:00:00,229.92,DOPD
2057-01-01 13:00:00,234.76,DOPD
2057-01-01 14:00:00,240.19,DOPD
2057-01-01 15:00:00,244.83,DOPD
2057-01-01 16:00:00,249.16,DOPD
2057-01-01 17:00:00,255.27,DOPD
2057-01-01 18:00:00,248.61,DOPD
2057-01-01 19:00:00,239.82,DOPD
2057-01-01 20:00:00,239.13,DOPD
2057-01-01 21:00:00,236.12,DOPD
2057-01-01 22:00:00,235.81,DOPD
2057-01-01 23:00:00,236.67,DOPD
2057-01-02 00:00:00,259.29,DOPD
2057-01-02 01:00:00,266.54,DOPD
2057-01-02 02:00:00,273.93,DOPD
2057-01-02 03:00:00,275.62,DOPD
2057-01-02 04:00:00,274.43,DOPD
2057-01-02 05:00:00,268.91,DOPD
2057-01-02 06:00:00,262.42,DOPD
2057-01-02 07:00:00,256.72,DOPD
2057-01-02 08:00:00,253.27,DOPD
2057-01-02 09:00:00,250.32,DOPD
2057-01-02 10:00:00,253.14,DOPD
2057-01-02 11:00:00,261.51,DOPD
2057-01-02 12:00:00,270.63,DOPD
2057-01-02 13:00:00,281.68,DOPD
2057-01-02 14:00:00,293.88,DOPD
2057-01-02 15:00:00,305.16,DOPD
2057-01-02 16:00:00,312.59,DOPD
2057-01-02 17:00:00,314.18,DOPD
2057-01-02 18:00:00,293.53,DOPD
2057-01-02 19:00:00,275.64,DOPD
2057-01-02 20:00:00,263.6,DOPD
2057-01-02 21:00:00,260.57,DOPD
2057-01-02 22:00:00,262.83,DOPD
2057-01-02 23:00:00,276.11,DOPD
2057-01-03 00:00:00,273.28,DOPD
2057-01-03 01:00:00,285.77,DOPD
2057-01-03 02:00:00,292.09,DOPD
2057-01-03 03:00:00,295.4,DOPD
2057-01-03 04:00:00,296.12,DOPD
2057-01-03 05:00:00,290.99,DOPD
2057-01-03 06:00:00,285.3,DOPD
2057-01-03 07:00:00,280.7,DOPD
2057-01-03 08:00:00,276.25,DOPD
2057-01-03 09:00:00,273.98,DOPD
2057-01-03 10:00:00,279.6,DOPD
2057-01-03 11:00:00,287.07,DOPD
2057-01-03 12:00:00,295.79,DOPD
2057-01-03 13:00:00,305.3,DOPD
2057-01-03 14:00:00,315.53,DOPD
2057-01-03 15:00:00,324.39,DOPD
2057-01-03 16:00:00,330.71,DOPD
2057-01-03 17:00:00,329.47,DOPD
2057-01-03 18:00:00,308.69,DOPD
2057-01-03 19:00:00,287.71,DOPD
2057-01-03 20:00:00,274.03,DOPD
2057-01-03 21:00:00,267.86,DOPD
2057-01-03 22:00:00,270.27,DOPD
2057-01-03 23:00:00,285.39,DOPD
2057-01-04 00:00:00,279.19,DOPD
2057-01-04 01:00:00,292.94,DOPD
2057-01-04 02:00:00,299.64,DOPD
2057-01-04 03:00:00,306.01,DOPD
2057-01-04 04:00:00,310.34,DOPD
2057-01-04 05:00:00,307.09,DOPD
2057-01-04 06:00:00,302.1,DOPD
2057-01-04 07:00:00,296.42,DOPD
2057-01-04 08:00:00,290.67,DOPD
2057-01-04 09:00:00,286.09,DOPD
2057-01-04 10:00:00,289.91,DOPD
2057-01-04 11:00:00,295.6,DOPD
2057-01-04 12:00:00,302.45,DOPD
2057-01-04 13:00:00,310.37,DOPD
2057-01-04 14:00:00,317.79,DOPD
2057-01-04 15:00:00,323.18,DOPD
2057-01-04 16:00:00,328.42,DOPD
2057-01-04 17:00:00,326.27,DOPD
2057-01-04 18:00:00,300.62,DOPD
2057-01-04 19:00:00,276.12,DOPD
2057-01-04 20:00:00,260.15,DOPD
2057-01-04 21:00:00,252.59,DOPD
2057-01-04 22:00:00,251.58,DOPD
2057-01-04 23:00:00,266.42,DOPD
2057-01-05 00:00:00,262.3,DOPD
