Time_UTC,Load,BA
2057-01-01 00:00:00,35400.14,ERCO
2057-01-01 01:00:00,35426.94,ERCO
2057-01-01 02:00:00,35582.13,ERCO
2057-01-01 03:00:00,34691.47,ERCO
2057-01-01 04:00:00,32907.94,ERCO
2057-01-01 05:00:00,31200.69,ERCO
2057-01-01 06:00:00,29703.97,ERCO
2057-01-01 07:00:00,28594.89,ERCO
2057-01-01 08:00:00,27496.39,ERCO
2057-01-01 09:00:00,27244.91,ERCO
2057-01-01 10:00:00,27981.07,ERCO
2057-01-01 11:00:00,28811.87,ERCO
2057-01-01 12:00:00,29650.01,ERCO
2057-01-01 13:00:00,30522.5,ERCO
2057-01-01 14:00:00,31358.94,ERCO
2057-01-01 15:00:00,32428.92,ERCO
2057-01-01 16:00:00,33385.79,ERCO
2057-01-01 17:00:00,34323.16,ERCO
2057-01-01 18:00:00,35196.45,ERCO
2057-01-01 19:00:00,35994.77,ERCO
2057-01-01 20:00:00,36437.9,ERCO
2057-01-01 21:00:00,36823.03,ERCO
2057-01-01 22:00:00,37329.47,ERCO
2057-01-01 23:00:00,37087.16,ERCO
2057-01-02 00:00:00,38651.22,ERCO
2057-01-02 01:00:00,38249.48,ERCO
2057-01-02 02:00:00,38091.51,ERCO
2057-01-02 03:00:00,37148.61,ERCO
2057-01-02 04:00:00,35031.87,ERCO
2057-01-02 05:00:00,33440.41,ERCO
2057-01-02 06:00:00,31848.14,ERCO
2057-01-02 07:00:00,30554.83,ERCO
2057-01-02 08:00:00,30044.35,ERCO
2057-01-02 09:00:00,30820.93,ERCO
2057-01-02 10:00:00,31713.1,ERCO
2057-01-02 11:00:00,32262.63,ERCO
2057-01-02 12:00:00,32923.68,ERCO
2057-01-02 13:00:00,33405.87,ERCO
2057-01-02 14:00:00,33463.49,ERCO
2057-01-02 15:00:00,34903.45,ERCO
2057-01-02 16:00:00,35795.98,ERCO
2057-01-02 17:00:00,36173.2,ERCO
2057-01-02 18:00:00,36386.67,ERCO
2057-01-02 19:00:00,36603.04,ERCO
2057-01-02 20:00:00,37111.01,ERCO
2057-01-02 21:00:00,37756.52,ERCO
2057-01-02 22:00:00,38003.8,ERCO
2057-01-02 23:00:00,37336.46,ERCO
2057-01-03 00:00:00,37753.23,ERCO
2057-01-03 01:00:00,37037.56,ERCO
2057-01-03 02:00:00,36582.71,ERCO
2057-01-03 03:00:00,35760.56,ERCO
2057-01-03 04:00:00,33617.77,ERCO
2057-01-03 05:00:00,31816.59,ERCO
2057-01-03 06:00:00,30168.51,ERCO
2057-01-03 07:00:00,28315.91,ERCO
2057-01-03 08:00:00,27382.99,ERCO
2057-01-03 09:00:00,27541.5,ERCO
2057-01-03 10:00:00,28276.48,ERCO
2057-01-03 11:00:00,28941.55,ERCO
2057-01-03 12:00:00,29732.32,ERCO
2057-01-03 13:00:00,30963.39,ERCO
2057-01-03 14:00:00,32438.98,ERCO
2057-01-03 15:00:00,34135.34,ERCO
2057-01-03 16:00:00,35206.28,ERCO
2057-01-03 17:00:00,35664.07,ERCO
2057-01-03 18:00:00,35697.07,ERCO
2057-01-03 19:00:00,35598.48,ERCO
2057-01-03 20:00:00,35280.82,ERCO
2057-01-03 21:00:00,35039.87,ERCO
2057-01-03 22:00:00,35187.78,ERCO
2057-01-03 23:00:00,34749.89,ERCO
2057-01-04 00:00:00,38038.55,ERCO
2057-01-04 01:00:00,38543.53,ERCO
2057-01-04 02:00:00,39133.86,ERCO
2057-01-04 03:00:00,39214.5,ERCO
2057-01-04 04:00:00,37864.52,ERCO
2057-01-04 05:00:00,36223.63,ERCO
2057-01-04 06:00:00,34643.04,ERCO
2057-01-04 07:00:00,33261.46,ERCO
2057-01-04 08:00:00,32446.37,ERCO
2057-01-04 09:00:00,33187.39,ERCO
2057-01-04 10:00:00,34545.61,ERCO
2057-01-04 11:00:00,35863.07,ERCO
2057-01-04 12:00:00,37300.91,ERCO
2057-01-04 13:00:00,38861.18,ERCO
2057-01-04 14:00:00,41329.35,ERCO
2057-01-04 15:00:00,43967.83,ERCO
2057-01-04 16:00:00,44343.86,ERCO
2057-01-04 17:00:00,44284.37,ERCO
2057-01-04 18:00:00,43785.83,ERCO
2057-01-04 19:00:00,43373.05,ERCO
2057-01-04 20:00:00,42738.58,ERCO
2057-01-04 21:00:00,41398.92,ERCO
2057-01-04 22:00:00,39978.79,ERCO
2057-01-04 23:00:00,38587.71,ERCO
2057-01-05 00:00:00,40789.73,ERCO
2057-01-05 01:00:00,41070.96,ERCO
2057-01-05 02:00:00,41135.85,ERCO
2057-01-05 03:00:00,39889.6,ERCO
2057-01-05 04:00:00,38484.47,ERCO
2057-01-05 05:00:00,37008.24,ERCO
2057-01-05 06:00:00,35564.32,ERCO
2057-01-05 07:00:00,34244.67,ERCO
2057-01-05 08:00:00,33880.17,ERCO
2057-01-05 09:00:00,34456.25,ERCO
2057-01-05 10:00:00,35513.89,ERCO
2057-01-05 11:00:00,36197.12,ERCO
2057-01-05 12:00:00,37055.68,ERCO
2057-01-05 13:00:00,37796.48,ERCO
2057-01-05 14:00:00,38900.65,ERCO
2057-01-05 15:00:00,40530.91,ERCO
2057-01-05 16:00:00,40203.45,ERCO
2057-01-05 17:00:00,39796.32,ERCO
2057-01-05 18:00:00,39454.69,ERCO
2057-01-05 19:00:00,39019.2,ERCO
2057-01-05 20:00:00,38593.84,ERCO
2057-01-05 21:00:00,38409.35,ERCO
2057-01-05 22:00:00,38332.95,ERCO
2057-01-05 23:00:00,37873.64,ERCO
2057-01-06 00:00:00,39023.8,ERCO
2057-01-06 01:00:00,40077.04,ERCO
2057-01-06 02:00:00,41136.29,ERCO
2057-01-06 03:00:00,41505.73,ERCO
2057-01-06 04:00:00,41482.05,ERCO
