Time_UTC,Load,BA
2057-01-01 00:00:00,2111.8,FMPP
2057-01-01 01:00:00,1986.99,FMPP
2057-01-01 02:00:00,1876.53,FMPP
2057-01-01 03:00:00,1771.38,FMPP
2057-01-01 04:00:00,1660.83,FMPP
2057-01-01 05:00:00,1548.06,FMPP
2057-01-01 06:00:00,1440.57,FMPP
2057-01-01 07:00:00,1351.06,FMPP
2057-01-01 08:00:00,1287.12,FMPP
2057-01-01 09:00:00,1274.98,FMPP
2057-01-01 10:00:00,1309.28,FMPP
2057-01-01 11:00:00,1357.83,FMPP
2057-01-01 12:00:00,1410.03,FMPP
2057-01-01 13:00:00,1574.34,FMPP
2057-01-01 14:00:00,1730.23,FMPP
2057-01-01 15:00:00,1908.85,FMPP
2057-01-01 16:00:00,1999.64,FMPP
2057-01-01 17:00:00,2102.61,FMPP
2057-01-01 18:00:00,2195.03,FMPP
2057-01-01 19:00:00,2268.5,FMPP
2057-01-01 20:00:00,2324.92,FMPP
2057-01-01 21:00:00,2366.03,FMPP
2057-01-01 22:00:00,2346.54,FMPP
2057-01-01 23:00:00,2214.87,FMPP
2057-01-02 00:00:00,2417.59,FMPP
2057-01-02 01:00:00,2254.75,FMPP
2057-01-02 02:00:00,2098.92,FMPP
2057-01-02 03:00:00,1949.5,FMPP
2057-01-02 04:00:00,1804.5,FMPP
2057-01-02 05:00:00,1659.53,FMPP
2057-01-02 06:00:00,1524.46,FMPP
2057-01-02 07:00:00,1408.63,FMPP
2057-01-02 08:00:00,1361.39,FMPP
2057-01-02 09:00:00,1385.78,FMPP
2057-01-02 10:00:00,1426.33,FMPP
2057-01-02 11:00:00,1477.38,FMPP
2057-01-02 12:00:00,1532.66,FMPP
2057-01-02 13:00:00,1703.4,FMPP
2057-01-02 14:00:00,1872.05,FMPP
2057-01-02 15:00:00,1977.69,FMPP
2057-01-02 16:00:00,2072.27,FMPP
2057-01-02 17:00:00,2181.98,FMPP
2057-01-02 18:00:00,2293.34,FMPP
2057-01-02 19:00:00,2381.31,FMPP
2057-01-02 20:00:00,2427.69,FMPP
2057-01-02 21:00:00,2435.53,FMPP
2057-01-02 22:00:00,2401.34,FMPP
2057-01-02 23:00:00,2255.11,FMPP
2057-01-03 00:00:00,2558.35,FMPP
2057-01-03 01:00:00,2400.95,FMPP
2057-01-03 02:00:00,2253.69,FMPP
2057-01-03 03:00:00,2118.77,FMPP
2057-01-03 04:00:00,1976.86,FMPP
2057-01-03 05:00:00,1844.98,FMPP
2057-01-03 06:00:00,1710.81,FMPP
2057-01-03 07:00:00,1610.82,FMPP
2057-01-03 08:00:00,1561.55,FMPP
2057-01-03 09:00:00,1579.32,FMPP
2057-01-03 10:00:00,1609.03,FMPP
2057-01-03 11:00:00,1636.46,FMPP
2057-01-03 12:00:00,1670.71,FMPP
2057-01-03 13:00:00,1801.7,FMPP
2057-01-03 14:00:00,1912.35,FMPP
2057-01-03 15:00:00,1992.54,FMPP
2057-01-03 16:00:00,2088.07,FMPP
2057-01-03 17:00:00,2225.56,FMPP
2057-01-03 18:00:00,2349.96,FMPP
2057-01-03 19:00:00,2409.26,FMPP
2057-01-03 20:00:00,2420.04,FMPP
2057-01-03 21:00:00,2432.95,FMPP
2057-01-03 22:00:00,2390.61,FMPP
2057-01-03 23:00:00,2279.51,FMPP
2057-01-04 00:00:00,2549.16,FMPP
2057-01-04 01:00:00,2360.65,FMPP
2057-01-04 02:00:00,2187.15,FMPP
2057-01-04 03:00:00,2022.81,FMPP
2057-01-04 04:00:00,1878.25,FMPP
2057-01-04 05:00:00,1747.89,FMPP
2057-01-04 06:00:00,1624.89,FMPP
2057-01-04 07:00:00,1522.09,FMPP
2057-01-04 08:00:00,1477.14,FMPP
2057-01-04 09:00:00,1494.64,FMPP
2057-01-04 10:00:00,1524.19,FMPP
