Time_UTC,Load,BA
2057-01-01 00:00:00,14286.47,FPL
2057-01-01 01:00:00,13455.19,FPL
2057-01-01 02:00:00,12806.16,FPL
2057-01-01 03:00:00,12106.59,FPL
2057-01-01 04:00:00,11280.44,FPL
2057-01-01 05:00:00,10457.59,FPL
2057-01-01 06:00:00,9584.49,FPL
2057-01-01 07:00:00,8792.98,FPL
2057-01-01 08:00:00,8314.14,FPL
2057-01-01 09:00:00,8285.58,FPL
2057-01-01 10:00:00,8421.73,FPL
2057-01-01 11:00:00,8794.67,FPL
2057-01-01 12:00:00,9212.84,FPL
2057-01-01 13:00:00,10232.9,FPL
2057-01-01 14:00:00,11785.38,FPL
2057-01-01 15:00:00,13221.27,FPL
2057-01-01 16:00:00,14568.52,FPL
2057-01-01 17:00:00,15716.18,FPL
2057-01-01 18:00:00,16535.5,FPL
2057-01-01 19:00:00,17009.28,FPL
2057-01-01 20:00:00,17084.55,FPL
2057-01-01 21:00:00,16842.23,FPL
2057-01-01 22:00:00,16318.88,FPL
2057-01-01 23:00:00,15704.7,FPL
2057-01-02 00:00:00,17051.4,FPL
2057-01-02 01:00:00,15926.41,FPL
2057-01-02 02:00:00,14972.85,FPL
2057-01-02 03:00:00,13904.6,FPL
2057-01-02 04:00:00,12801.65,FPL
2057-01-02 05:00:00,11770.31,FPL
2057-01-02 06:00:00,10746.3,FPL
2057-01-02 07:00:00,9799.82,FPL
2057-01-02 08:00:00,9391.16,FPL
2057-01-02 09:00:00,9507.95,FPL
2057-01-02 10:00:00,9795.86,FPL
2057-01-02 11:00:00,10141.02,FPL
2057-01-02 12:00:00,10532.0,FPL
2057-01-02 13:00:00,11670.46,FPL
2057-01-02 14:00:00,13569.67,FPL
2057-01-02 15:00:00,14895.67,FPL
2057-01-02 16:00:00,15909.7,FPL
2057-01-02 17:00:00,16875.74,FPL
2057-01-02 18:00:00,17673.95,FPL
2057-01-02 19:00:00,18246.89,FPL
2057-01-02 20:00:00,18439.92,FPL
2057-01-02 21:00:00,18184.39,FPL
2057-01-02 22:00:00,17529.22,FPL
