Time_UTC,Load,BA
2057-01-01 00:00:00,550.51,GCPD
2057-01-01 01:00:00,560.76,GCPD
2057-01-01 02:00:00,568.18,GCPD
2057-01-01 03:00:00,565.57,GCPD
2057-01-01 04:00:00,562.01,GCPD
2057-01-01 05:00:00,557.75,GCPD
2057-01-01 06:00:00,553.38,GCPD
2057-01-01 07:00:00,546.5,GCPD
2057-01-01 08:00:00,537.16,GCPD
2057-01-01 09:00:00,532.96,GCPD
2057-01-01 10:00:00,535.84,GCPD
2057-01-01 11:00:00,541.49,GCPD
2057-01-01 12:00:00,547.67,GCPD
2057-01-01 13:00:00,551.55,GCPD
2057-01-01 14:00:00,557.26,GCPD
2057-01-01 15:00:00,563.62,GCPD
2057-01-01 16:00:00,571.3,GCPD
2057-01-01 17:00:00,580.39,GCPD
2057-01-01 18:00:00,577.56,GCPD
2057-01-01 19:00:00,573.11,GCPD
2057-01-01 20:00:00,575.41,GCPD
2057-01-01 21:00:00,576.84,GCPD
2057-01-01 22:00:00,576.29,GCPD
2057-01-01 23:00:00,577.83,GCPD
2057-01-02 00:00:00,642.58,GCPD
2057-01-02 01:00:00,656.94,GCPD
2057-01-02 02:00:00,667.19,GCPD
2057-01-02 03:00:00,672.45,GCPD
2057-01-02 04:00:00,671.79,GCPD
2057-01-02 05:00:00,662.52,GCPD
2057-01-02 06:00:00,650.21,GCPD
2057-01-02 07:00:00,639.11,GCPD
2057-01-02 08:00:00,633.87,GCPD
2057-01-02 09:00:00,628.66,GCPD
2057-01-02 10:00:00,620.64,GCPD
2057-01-02 11:00:00,624.39,GCPD
2057-01-02 12:00:00,633.31,GCPD
2057-01-02 13:00:00,642.14,GCPD
2057-01-02 14:00:00,650.97,GCPD
2057-01-02 15:00:00,658.74,GCPD
2057-01-02 16:00:00,664.56,GCPD
2057-01-02 17:00:00,676.58,GCPD
2057-01-02 18:00:00,676.13,GCPD
2057-01-02 19:00:00,666.19,GCPD
2057-01-02 20:00:00,652.64,GCPD
2057-01-02 21:00:00,644.62,GCPD
2057-01-02 22:00:00,636.02,GCPD
2057-01-02 23:00:00,629.5,GCPD
2057-01-03 00:00:00,638.55,GCPD
2057-01-03 01:00:00,645.73,GCPD
2057-01-03 02:00:00,650.9,GCPD
2057-01-03 03:00:00,656.88,GCPD
2057-01-03 04:00:00,656.77,GCPD
2057-01-03 05:00:00,650.32,GCPD
2057-01-03 06:00:00,643.12,GCPD
2057-01-03 07:00:00,637.19,GCPD
2057-01-03 08:00:00,632.42,GCPD
2057-01-03 09:00:00,628.89,GCPD
2057-01-03 10:00:00,631.93,GCPD
2057-01-03 11:00:00,643.59,GCPD
2057-01-03 12:00:00,655.29,GCPD
2057-01-03 13:00:00,666.15,GCPD
2057-01-03 14:00:00,675.3,GCPD
2057-01-03 15:00:00,680.81,GCPD
2057-01-03 16:00:00,685.26,GCPD
2057-01-03 17:00:00,692.3,GCPD
2057-01-03 18:00:00,678.49,GCPD
2057-01-03 19:00:00,662.57,GCPD
2057-01-03 20:00:00,644.23,GCPD
2057-01-03 21:00:00,631.45,GCPD
2057-01-03 22:00:00,623.37,GCPD
2057-01-03 23:00:00,622.65,GCPD
2057-01-04 00:00:00,632.83,GCPD
2057-01-04 01:00:00,653.0,GCPD
2057-01-04 02:00:00,663.54,GCPD
2057-01-04 03:00:00,671.15,GCPD
2057-01-04 04:00:00,671.63,GCPD
2057-01-04 05:00:00,667.55,GCPD
2057-01-04 06:00:00,663.99,GCPD
