Time_UTC,Load,BA
2057-01-01 00:00:00,1485.23,JEA
2057-01-01 01:00:00,1421.01,JEA
2057-01-01 02:00:00,1342.39,JEA
2057-01-01 03:00:00,1262.6,JEA
2057-01-01 04:00:00,1210.83,JEA
2057-01-01 05:00:00,1171.94,JEA
2057-01-01 06:00:00,1119.52,JEA
2057-01-01 07:00:00,1031.24,JEA
2057-01-01 08:00:00,977.55,JEA
2057-01-01 09:00:00,970.54,JEA
2057-01-01 10:00:00,990.7,JEA
2057-01-01 11:00:00,1036.58,JEA
2057-01-01 12:00:00,1066.01,JEA
2057-01-01 13:00:00,1142.8,JEA
2057-01-01 14:00:00,1137.99,JEA
2057-01-01 15:00:00,1159.84,JEA
2057-01-01 16:00:00,1196.29,JEA
2057-01-01 17:00:00,1266.65,JEA
2057-01-01 18:00:00,1324.52,JEA
2057-01-01 19:00:00,1374.45,JEA
2057-01-01 20:00:00,1423.35,JEA
2057-01-01 21:00:00,1449.36,JEA
2057-01-01 22:00:00,1422.2,JEA
2057-01-01 23:00:00,1393.22,JEA
2057-01-02 00:00:00,1646.61,JEA
2057-01-02 01:00:00,1557.39,JEA
2057-01-02 02:00:00,1473.5,JEA
2057-01-02 03:00:00,1372.49,JEA
2057-01-02 04:00:00,1264.28,JEA
2057-01-02 05:00:00,1172.39,JEA
2057-01-02 06:00:00,1081.7,JEA
2057-01-02 07:00:00,1017.47,JEA
2057-01-02 08:00:00,1004.9,JEA
2057-01-02 09:00:00,1029.62,JEA
2057-01-02 10:00:00,1054.97,JEA
2057-01-02 11:00:00,1094.34,JEA
2057-01-02 12:00:00,1135.7,JEA
2057-01-02 13:00:00,1204.16,JEA
2057-01-02 14:00:00,1242.2,JEA
2057-01-02 15:00:00,1279.8,JEA
2057-01-02 16:00:00,1332.88,JEA
2057-01-02 17:00:00,1412.18,JEA
2057-01-02 18:00:00,1479.6,JEA
2057-01-02 19:00:00,1519.91,JEA
2057-01-02 20:00:00,1529.49,JEA
2057-01-02 21:00:00,1533.53,JEA
2057-01-02 22:00:00,1511.39,JEA
2057-01-02 23:00:00,1432.87,JEA
2057-01-03 00:00:00,1667.3,JEA
2057-01-03 01:00:00,1560.37,JEA
2057-01-03 02:00:00,1465.08,JEA
2057-01-03 03:00:00,1377.89,JEA
2057-01-03 04:00:00,1290.17,JEA
2057-01-03 05:00:00,1199.58,JEA
2057-01-03 06:00:00,1111.79,JEA
2057-01-03 07:00:00,1036.19,JEA
2057-01-03 08:00:00,1032.8,JEA
2057-01-03 09:00:00,1068.52,JEA
2057-01-03 10:00:00,1110.2,JEA
2057-01-03 11:00:00,1132.48,JEA
2057-01-03 12:00:00,1159.81,JEA
2057-01-03 13:00:00,1223.88,JEA
2057-01-03 14:00:00,1266.4,JEA
2057-01-03 15:00:00,1285.38,JEA
2057-01-03 16:00:00,1345.04,JEA
2057-01-03 17:00:00,1443.34,JEA
2057-01-03 18:00:00,1509.49,JEA
2057-01-03 19:00:00,1486.5,JEA
2057-01-03 20:00:00,1515.38,JEA
2057-01-03 21:00:00,1489.38,JEA
2057-01-03 22:00:00,1496.51,JEA
2057-01-03 23:00:00,1481.27,JEA
2057-01-04 00:00:00,1699.8,JEA
2057-01-04 01:00:00,1588.9,JEA
2057-01-04 02:00:00,1491.33,JEA
2057-01-04 03:00:00,1378.61,JEA
2057-01-04 04:00:00,1340.46,JEA
2057-01-04 05:00:00,1224.89,JEA
2057-01-04 06:00:00,1124.39,JEA
2057-01-04 07:00:00,1067.4,JEA
2057-01-04 08:00:00,1016.82,JEA
2057-01-04 09:00:00,1027.05,JEA
2057-01-04 10:00:00,1064.95,JEA
2057-01-04 11:00:00,1123.2,JEA
2057-01-04 12:00:00,1177.55,JEA
2057-01-04 13:00:00,1238.14,JEA
2057-01-04 14:00:00,1307.0,JEA
2057-01-04 15:00:00,1299.76,JEA
2057-01-04 16:00:00,1267.31,JEA
2057-01-04 17:00:00,1272.56,JEA
2057-01-04 18:00:00,1300.85,JEA
2057-01-04 19:00:00,1315.22,JEA
2057-01-04 20:00:00,1324.67,JEA
2057-01-04 21:00:00,1336.99,JEA
2057-01-04 22:00:00,1349.47,JEA
2057-01-04 23:00:00,1364.58,JEA
2057-01-05 00:00:00,1568.05,JEA
2057-01-05 01:00:00,1472.92,JEA
2057-01-05 02:00:00,1380.37,JEA
2057-01-05 03:00:00,1296.92,JEA
2057-01-05 04:00:00,1230.75,JEA
2057-01-05 05:00:00,1151.57,JEA
2057-01-05 06:00:00,1077.7,JEA
2057-01-05 07:00:00,1026.71,JEA
2057-01-05 08:00:00,1038.76,JEA
2057-01-05 09:00:00,1073.22,JEA
2057-01-05 10:00:00,1103.38,JEA
2057-01-05 11:00:00,1147.92,JEA
2057-01-05 12:00:00,1202.46,JEA
2057-01-05 13:00:00,1278.26,JEA
2057-01-05 14:00:00,1294.35,JEA
2057-01-05 15:00:00,1275.65,JEA
2057-01-05 16:00:00,1274.33,JEA
2057-01-05 17:00:00,1298.29,JEA
2057-01-05 18:00:00,1326.71,JEA
2057-01-05 19:00:00,1327.75,JEA
2057-01-05 20:00:00,1337.29,JEA
2057-01-05 21:00:00,1357.52,JEA
2057-01-05 22:00:00,1364.57,JEA
2057-01-05 23:00:00,1371.81,JEA
2057-01-06 00:00:00,1518.01,JEA
2057-01-06 01:00:00,1433.36,JEA
2057-01-06 02:00:00,1358.73,JEA
2057-01-06 03:00:00,1295.91,JEA
2057-01-06 04:00:00,1229.94,JEA
2057-01-06 05:00:00,1163.39,JEA
2057-01-06 06:00:00,1109.41,JEA
2057-01-06 07:00:00,1074.6,JEA
2057-01-06 08:00:00,1063.92,JEA
2057-01-06 09:00:00,1070.1,JEA
2057-01-06 10:00:00,1097.82,JEA
2057-01-06 11:00:00,1134.55,JEA
2057-01-06 12:00:00,1168.12,JEA
2057-01-06 13:00:00,1195.26,JEA
2057-01-06 14:00:00,1248.45,JEA
2057-01-06 15:00:00,1234.54,JEA
2057-01-06 16:00:00,1228.18,JEA
2057-01-06 17:00:00,1273.44,JEA
2057-01-06 18:00:00,1312.7,JEA
2057-01-06 19:00:00,1321.06,JEA
2057-01-06 20:00:00,1323.93,JEA
2057-01-06 21:00:00,1307.95,JEA
2057-01-06 22:00:00,1273.96,JEA
2057-01-06 23:00:00,1238.43,JEA
2057-01-07 00:00:00,1488.65,JEA
2057-01-07 01:00:00,1418.27,JEA
2057-01-07 02:00:00,1351.82,JEA
2057-01-07 03:00:00,1277.19,JEA
2057-01-07 04:00:00,1206.52,JEA
2057-01-07 05:00:00,1132.51,JEA
2057-01-07 06:00:00,1065.57,JEA
2057-01-07 07:00:00,984.98,JEA
2057-01-07 08:00:00,954.63,JEA
2057-01-07 09:00:00,959.66,JEA
2057-01-07 10:00:00,990.67,JEA
2057-01-07 11:00:00,1019.28,JEA
2057-01-07 12:00:00,1061.05,JEA
2057-01-07 13:00:00,1159.18,JEA
2057-01-07 14:00:00,1272.44,JEA
2057-01-07 15:00:00,1363.25,JEA
2057-01-07 16:00:00,1460.61,JEA
2057-01-07 17:00:00,1633.56,JEA
2057-01-07 18:00:00,1651.13,JEA
2057-01-07 19:00:00,1716.8,JEA
2057-01-07 20:00:00,1749.74,JEA
2057-01-07 21:00:00,1774.25,JEA
2057-01-07 22:00:00,1666.93,JEA
2057-01-07 23:00:00,1659.69,JEA
2057-01-08 00:00:00,2102.68,JEA
2057-01-08 01:00:00,2044.38,JEA
2057-01-08 02:00:00,1977.39,JEA
2057-01-08 03:00:00,1917.15,JEA
2057-01-08 04:00:00,1876.6,JEA
2057-01-08 05:00:00,1864.6,JEA
2057-01-08 06:00:00,1871.43,JEA
2057-01-08 07:00:00,1861.32,JEA
2057-01-08 08:00:00,1894.44,JEA
2057-01-08 09:00:00,1974.27,JEA
2057-01-08 10:00:00,2064.92,JEA
2057-01-08 11:00:00,2152.75,JEA
2057-01-08 12:00:00,2249.28,JEA
2057-01-08 13:00:00,2394.82,JEA
2057-01-08 14:00:00,2417.29,JEA
2057-01-08 15:00:00,2316.6,JEA
2057-01-08 16:00:00,2137.36,JEA
2057-01-08 17:00:00,1973.96,JEA
2057-01-08 18:00:00,1859.35,JEA
2057-01-08 19:00:00,1779.17,JEA
2057-01-08 20:00:00,1714.77,JEA
2057-01-08 21:00:00,1681.74,JEA
2057-01-08 22:00:00,1675.63,JEA
2057-01-08 23:00:00,1777.97,JEA
2057-01-09 00:00:00,2099.99,JEA
2057-01-09 01:00:00,2052.95,JEA
2057-01-09 02:00:00,1998.4,JEA
2057-01-09 03:00:00,1929.48,JEA
2057-01-09 04:00:00,1856.27,JEA
2057-01-09 05:00:00,1784.13,JEA
2057-01-09 06:00:00,1748.05,JEA
2057-01-09 07:00:00,1709.52,JEA
2057-01-09 08:00:00,1693.38,JEA
2057-01-09 09:00:00,1749.92,JEA
2057-01-09 10:00:00,1820.36,JEA
2057-01-09 11:00:00,1864.7,JEA
2057-01-09 12:00:00,1921.62,JEA
2057-01-09 13:00:00,1985.34,JEA
2057-01-09 14:00:00,1848.22,JEA
2057-01-09 15:00:00,1726.04,JEA
2057-01-09 16:00:00,1636.96,JEA
2057-01-09 17:00:00,1594.95,JEA
2057-01-09 18:00:00,1566.68,JEA
2057-01-09 19:00:00,1552.26,JEA
2057-01-09 20:00:00,1542.82,JEA
2057-01-09 21:00:00,1535.7,JEA
2057-01-09 22:00:00,1481.94,JEA
2057-01-09 23:00:00,1519.3,JEA
2057-01-10 00:00:00,1777.81,JEA
2057-01-10 01:00:00,1715.48,JEA
2057-01-10 02:00:00,1643.42,JEA
2057-01-10 03:00:00,1574.61,JEA
2057-01-10 04:00:00,1506.49,JEA
2057-01-10 05:00:00,1449.9,JEA
2057-01-10 06:00:00,1382.03,JEA
2057-01-10 07:00:00,1320.59,JEA
2057-01-10 08:00:00,1340.35,JEA
2057-01-10 09:00:00,1378.71,JEA
2057-01-10 10:00:00,1426.01,JEA
2057-01-10 11:00:00,1488.06,JEA
2057-01-10 12:00:00,1523.57,JEA
2057-01-10 13:00:00,1597.16,JEA
2057-01-10 14:00:00,1537.01,JEA
2057-01-10 15:00:00,1428.9,JEA
2057-01-10 16:00:00,1390.48,JEA
2057-01-10 17:00:00,1375.57,JEA
2057-01-10 18:00:00,1359.73,JEA
2057-01-10 19:00:00,1343.44,JEA
2057-01-10 20:00:00,1319.35,JEA
2057-01-10 21:00:00,1312.4,JEA
2057-01-10 22:00:00,1326.63,JEA
2057-01-10 23:00:00,1390.16,JEA
2057-01-11 00:00:00,1595.61,JEA
2057-01-11 01:00:00,1525.99,JEA
2057-01-11 02:00:00,1459.36,JEA
2057-01-11 03:00:00,1389.21,JEA
2057-01-11 04:00:00,1321.7,JEA
2057-01-11 05:00:00,1247.58,JEA
2057-01-11 06:00:00,1182.14,JEA
2057-01-11 07:00:00,1139.06,JEA
2057-01-11 08:00:00,1160.63,JEA
2057-01-11 09:00:00,1206.44,JEA
2057-01-11 10:00:00,1264.2,JEA
2057-01-11 11:00:00,1313.45,JEA
2057-01-11 12:00:00,1360.97,JEA
2057-01-11 13:00:00,1440.54,JEA
2057-01-11 14:00:00,1432.8,JEA
2057-01-11 15:00:00,1317.84,JEA
2057-01-11 16:00:00,1293.77,JEA
2057-01-11 17:00:00,1299.59,JEA
2057-01-11 18:00:00,1324.97,JEA
2057-01-11 19:00:00,1344.73,JEA
2057-01-11 20:00:00,1342.23,JEA
