Time_UTC,Load,BA
2057-01-01 00:00:00,3038.61,LDWP
2057-01-01 01:00:00,3113.4,LDWP
2057-01-01 02:00:00,3194.9,LDWP
2057-01-01 03:00:00,3303.29,LDWP
2057-01-01 04:00:00,3385.08,LDWP
2057-01-01 05:00:00,3450.03,LDWP
2057-01-01 06:00:00,3302.06,LDWP
2057-01-01 07:00:00,3118.07,LDWP
2057-01-01 08:00:00,2941.38,LDWP
2057-01-01 09:00:00,2789.25,LDWP
2057-01-01 10:00:00,2662.25,LDWP
2057-01-01 11:00:00,2626.56,LDWP
2057-01-01 12:00:00,2638.83,LDWP
2057-01-01 13:00:00,2658.89,LDWP
2057-01-01 14:00:00,2707.23,LDWP
2057-01-01 15:00:00,2757.28,LDWP
2057-01-01 16:00:00,2922.86,LDWP
2057-01-01 17:00:00,3029.46,LDWP
2057-01-01 18:00:00,3100.67,LDWP
2057-01-01 19:00:00,3109.31,LDWP
2057-01-01 20:00:00,3075.78,LDWP
2057-01-01 21:00:00,3055.32,LDWP
2057-01-01 22:00:00,3118.37,LDWP
2057-01-01 23:00:00,3164.82,LDWP
2057-01-02 00:00:00,3184.13,LDWP
2057-01-02 01:00:00,3459.96,LDWP
2057-01-02 02:00:00,3513.17,LDWP
2057-01-02 03:00:00,3540.19,LDWP
2057-01-02 04:00:00,3571.08,LDWP
2057-01-02 05:00:00,3515.95,LDWP
2057-01-02 06:00:00,3311.29,LDWP
2057-01-02 07:00:00,3077.39,LDWP
2057-01-02 08:00:00,2843.13,LDWP
2057-01-02 09:00:00,2648.79,LDWP
2057-01-02 10:00:00,2559.37,LDWP
2057-01-02 11:00:00,2592.81,LDWP
2057-01-02 12:00:00,2655.39,LDWP
2057-01-02 13:00:00,2727.76,LDWP
2057-01-02 14:00:00,2797.24,LDWP
2057-01-02 15:00:00,2866.07,LDWP
2057-01-02 16:00:00,3084.17,LDWP
2057-01-02 17:00:00,3264.19,LDWP
2057-01-02 18:00:00,3332.2,LDWP
