Time_UTC,Load,BA
2057-01-01 00:00:00,4354.75,LGEE
2057-01-01 01:00:00,4184.53,LGEE
2057-01-01 02:00:00,4045.26,LGEE
2057-01-01 03:00:00,3878.15,LGEE
2057-01-01 04:00:00,3714.1,LGEE
2057-01-01 05:00:00,3561.51,LGEE
2057-01-01 06:00:00,3468.88,LGEE
2057-01-01 07:00:00,3348.99,LGEE
2057-01-01 08:00:00,3319.12,LGEE
2057-01-01 09:00:00,3424.18,LGEE
2057-01-01 10:00:00,3579.97,LGEE
2057-01-01 11:00:00,3726.77,LGEE
2057-01-01 12:00:00,3865.42,LGEE
2057-01-01 13:00:00,4002.57,LGEE
2057-01-01 14:00:00,4144.88,LGEE
2057-01-01 15:00:00,4188.73,LGEE
2057-01-01 16:00:00,4125.06,LGEE
2057-01-01 17:00:00,4081.65,LGEE
2057-01-01 18:00:00,4066.13,LGEE
2057-01-01 19:00:00,4157.37,LGEE
2057-01-01 20:00:00,4154.33,LGEE
2057-01-01 21:00:00,4136.73,LGEE
2057-01-01 22:00:00,4108.38,LGEE
2057-01-01 23:00:00,4111.0,LGEE
2057-01-02 00:00:00,4351.32,LGEE
2057-01-02 01:00:00,4215.77,LGEE
2057-01-02 02:00:00,4074.68,LGEE
2057-01-02 03:00:00,3928.25,LGEE
2057-01-02 04:00:00,3768.81,LGEE
2057-01-02 05:00:00,3612.29,LGEE
2057-01-02 06:00:00,3449.08,LGEE
2057-01-02 07:00:00,3333.02,LGEE
2057-01-02 08:00:00,3293.17,LGEE
2057-01-02 09:00:00,3354.85,LGEE
2057-01-02 10:00:00,3470.35,LGEE
2057-01-02 11:00:00,3591.82,LGEE
2057-01-02 12:00:00,3707.45,LGEE
2057-01-02 13:00:00,3823.41,LGEE
2057-01-02 14:00:00,3886.45,LGEE
2057-01-02 15:00:00,3890.32,LGEE
2057-01-02 16:00:00,3901.97,LGEE
2057-01-02 17:00:00,3906.16,LGEE
2057-01-02 18:00:00,3901.08,LGEE
2057-01-02 19:00:00,3934.9,LGEE
2057-01-02 20:00:00,3908.36,LGEE
2057-01-02 21:00:00,3877.18,LGEE
2057-01-02 22:00:00,3825.47,LGEE
2057-01-02 23:00:00,3801.72,LGEE
2057-01-03 00:00:00,4088.27,LGEE
2057-01-03 01:00:00,3946.37,LGEE
2057-01-03 02:00:00,3806.83,LGEE
2057-01-03 03:00:00,3700.54,LGEE
2057-01-03 04:00:00,3590.91,LGEE
2057-01-03 05:00:00,3461.01,LGEE
2057-01-03 06:00:00,3345.72,LGEE
2057-01-03 07:00:00,3229.46,LGEE
2057-01-03 08:00:00,3143.4,LGEE
2057-01-03 09:00:00,3186.14,LGEE
2057-01-03 10:00:00,3297.35,LGEE
2057-01-03 11:00:00,3436.25,LGEE
2057-01-03 12:00:00,3562.53,LGEE
2057-01-03 13:00:00,3684.5,LGEE
2057-01-03 14:00:00,3826.58,LGEE
2057-01-03 15:00:00,3914.27,LGEE
2057-01-03 16:00:00,3932.9,LGEE
2057-01-03 17:00:00,3939.83,LGEE
2057-01-03 18:00:00,3929.62,LGEE
2057-01-03 19:00:00,3912.72,LGEE
2057-01-03 20:00:00,3903.94,LGEE
2057-01-03 21:00:00,3882.29,LGEE
2057-01-03 22:00:00,3876.59,LGEE
2057-01-03 23:00:00,3884.78,LGEE
2057-01-04 00:00:00,4223.9,LGEE
2057-01-04 01:00:00,4101.29,LGEE
2057-01-04 02:00:00,3976.93,LGEE
2057-01-04 03:00:00,3845.13,LGEE
2057-01-04 04:00:00,3705.98,LGEE
2057-01-04 05:00:00,3618.24,LGEE
2057-01-04 06:00:00,3557.78,LGEE
2057-01-04 07:00:00,3509.69,LGEE
2057-01-04 08:00:00,3509.81,LGEE
2057-01-04 09:00:00,3637.52,LGEE
2057-01-04 10:00:00,3863.86,LGEE
2057-01-04 11:00:00,4117.3,LGEE
2057-01-04 12:00:00,4319.51,LGEE
2057-01-04 13:00:00,4562.28,LGEE
2057-01-04 14:00:00,4918.7,LGEE
2057-01-04 15:00:00,5010.2,LGEE
2057-01-04 16:00:00,4977.01,LGEE
2057-01-04 17:00:00,4881.84,LGEE
2057-01-04 18:00:00,4773.28,LGEE
2057-01-04 19:00:00,4691.45,LGEE
2057-01-04 20:00:00,4645.82,LGEE
2057-01-04 21:00:00,4631.26,LGEE
2057-01-04 22:00:00,4672.57,LGEE
2057-01-04 23:00:00,4749.58,LGEE
2057-01-05 00:00:00,5051.46,LGEE
2057-01-05 01:00:00,4979.34,LGEE
2057-01-05 02:00:00,4903.78,LGEE
2057-01-05 03:00:00,4792.85,LGEE
2057-01-05 04:00:00,4696.22,LGEE
2057-01-05 05:00:00,4595.95,LGEE
2057-01-05 06:00:00,4507.35,LGEE
2057-01-05 07:00:00,4433.59,LGEE
2057-01-05 08:00:00,4426.23,LGEE
2057-01-05 09:00:00,4569.6,LGEE
2057-01-05 10:00:00,4716.72,LGEE
2057-01-05 11:00:00,4870.18,LGEE
2057-01-05 12:00:00,5081.28,LGEE
2057-01-05 13:00:00,5251.75,LGEE
2057-01-05 14:00:00,5396.63,LGEE
2057-01-05 15:00:00,5367.35,LGEE
2057-01-05 16:00:00,5286.09,LGEE
2057-01-05 17:00:00,5240.03,LGEE
2057-01-05 18:00:00,5188.77,LGEE
2057-01-05 19:00:00,5134.32,LGEE
2057-01-05 20:00:00,5067.58,LGEE
2057-01-05 21:00:00,4977.26,LGEE
2057-01-05 22:00:00,4970.37,LGEE
2057-01-05 23:00:00,5072.15,LGEE
2057-01-06 00:00:00,4797.79,LGEE
2057-01-06 01:00:00,4748.93,LGEE
2057-01-06 02:00:00,4687.77,LGEE
2057-01-06 03:00:00,4603.34,LGEE
2057-01-06 04:00:00,4504.38,LGEE
2057-01-06 05:00:00,4416.15,LGEE
2057-01-06 06:00:00,4354.79,LGEE
2057-01-06 07:00:00,4337.34,LGEE
2057-01-06 08:00:00,4318.15,LGEE
2057-01-06 09:00:00,4360.92,LGEE
2057-01-06 10:00:00,4506.09,LGEE
2057-01-06 11:00:00,4704.36,LGEE
2057-01-06 12:00:00,4857.35,LGEE
2057-01-06 13:00:00,4998.39,LGEE
2057-01-06 14:00:00,5128.11,LGEE
2057-01-06 15:00:00,5130.72,LGEE
2057-01-06 16:00:00,5066.91,LGEE
2057-01-06 17:00:00,5000.07,LGEE
2057-01-06 18:00:00,4951.99,LGEE
2057-01-06 19:00:00,4860.47,LGEE
2057-01-06 20:00:00,4750.11,LGEE
2057-01-06 21:00:00,4730.68,LGEE
2057-01-06 22:00:00,4738.12,LGEE
2057-01-06 23:00:00,4886.95,LGEE
2057-01-07 00:00:00,5326.16,LGEE
2057-01-07 01:00:00,5281.5,LGEE
2057-01-07 02:00:00,5262.14,LGEE
2057-01-07 03:00:00,5148.58,LGEE
2057-01-07 04:00:00,5077.5,LGEE
2057-01-07 05:00:00,4995.43,LGEE
2057-01-07 06:00:00,4918.96,LGEE
2057-01-07 07:00:00,4862.84,LGEE
2057-01-07 08:00:00,4816.95,LGEE
2057-01-07 09:00:00,4821.16,LGEE
2057-01-07 10:00:00,4923.4,LGEE
2057-01-07 11:00:00,5095.97,LGEE
2057-01-07 12:00:00,5288.41,LGEE
2057-01-07 13:00:00,5465.76,LGEE
2057-01-07 14:00:00,5574.6,LGEE
2057-01-07 15:00:00,5484.51,LGEE
2057-01-07 16:00:00,5356.93,LGEE
2057-01-07 17:00:00,5230.34,LGEE
2057-01-07 18:00:00,5098.41,LGEE
2057-01-07 19:00:00,4969.7,LGEE
2057-01-07 20:00:00,4862.08,LGEE
2057-01-07 21:00:00,4765.25,LGEE
2057-01-07 22:00:00,4764.16,LGEE
2057-01-07 23:00:00,5001.32,LGEE
2057-01-08 00:00:00,5876.32,LGEE
2057-01-08 01:00:00,5814.63,LGEE
