Time_UTC,Load,BA
2057-01-01 00:00:00,19630.95,NYIS
2057-01-01 01:00:00,19156.45,NYIS
2057-01-01 02:00:00,18929.91,NYIS
2057-01-01 03:00:00,18211.42,NYIS
2057-01-01 04:00:00,17332.08,NYIS
2057-01-01 05:00:00,16346.1,NYIS
2057-01-01 06:00:00,15400.24,NYIS
2057-01-01 07:00:00,14629.96,NYIS
2057-01-01 08:00:00,14196.86,NYIS
2057-01-01 09:00:00,14192.96,NYIS
2057-01-01 10:00:00,14037.4,NYIS
2057-01-01 11:00:00,14400.37,NYIS
2057-01-01 12:00:00,14757.39,NYIS
2057-01-01 13:00:00,15909.57,NYIS
2057-01-01 14:00:00,16842.54,NYIS
2057-01-01 15:00:00,17403.88,NYIS
2057-01-01 16:00:00,17758.62,NYIS
2057-01-01 17:00:00,17949.14,NYIS
2057-01-01 18:00:00,18059.8,NYIS
2057-01-01 19:00:00,18096.81,NYIS
2057-01-01 20:00:00,18145.77,NYIS
2057-01-01 21:00:00,18370.25,NYIS
2057-01-01 22:00:00,19013.59,NYIS
2057-01-01 23:00:00,19535.26,NYIS
2057-01-02 00:00:00,20724.79,NYIS
2057-01-02 01:00:00,20106.27,NYIS
2057-01-02 02:00:00,19418.22,NYIS
2057-01-02 03:00:00,18350.95,NYIS
2057-01-02 04:00:00,17258.7,NYIS
2057-01-02 05:00:00,16220.25,NYIS
2057-01-02 06:00:00,15323.85,NYIS
2057-01-02 07:00:00,14611.11,NYIS
2057-01-02 08:00:00,14317.55,NYIS
2057-01-02 09:00:00,14554.88,NYIS
2057-01-02 10:00:00,15183.54,NYIS
2057-01-02 11:00:00,15709.56,NYIS
2057-01-02 12:00:00,16320.19,NYIS
2057-01-02 13:00:00,17797.4,NYIS
2057-01-02 14:00:00,18953.33,NYIS
2057-01-02 15:00:00,19294.69,NYIS
2057-01-02 16:00:00,19435.21,NYIS
2057-01-02 17:00:00,19662.85,NYIS
2057-01-02 18:00:00,19857.01,NYIS
2057-01-02 19:00:00,20095.12,NYIS
2057-01-02 20:00:00,20342.49,NYIS
2057-01-02 21:00:00,20488.45,NYIS
2057-01-02 22:00:00,20687.16,NYIS
2057-01-02 23:00:00,20913.21,NYIS
2057-01-03 00:00:00,21172.55,NYIS
2057-01-03 01:00:00,20420.45,NYIS
2057-01-03 02:00:00,19443.96,NYIS
2057-01-03 03:00:00,18391.35,NYIS
2057-01-03 04:00:00,17349.41,NYIS
2057-01-03 05:00:00,16250.81,NYIS
2057-01-03 06:00:00,15165.09,NYIS
2057-01-03 07:00:00,14437.72,NYIS
2057-01-03 08:00:00,14259.81,NYIS
2057-01-03 09:00:00,14643.95,NYIS
2057-01-03 10:00:00,15247.22,NYIS
2057-01-03 11:00:00,15910.68,NYIS
2057-01-03 12:00:00,16554.2,NYIS
2057-01-03 13:00:00,17293.08,NYIS
2057-01-03 14:00:00,18100.92,NYIS
2057-01-03 15:00:00,18945.59,NYIS
2057-01-03 16:00:00,19191.09,NYIS
2057-01-03 17:00:00,19386.89,NYIS
2057-01-03 18:00:00,19768.17,NYIS
