Time_UTC,Load,BA
2057-01-01 00:00:00,90391.87,PJM
2057-01-01 01:00:00,87818.31,PJM
2057-01-01 02:00:00,85055.37,PJM
2057-01-01 03:00:00,81534.34,PJM
2057-01-01 04:00:00,78767.07,PJM
2057-01-01 05:00:00,76399.2,PJM
2057-01-01 06:00:00,74449.85,PJM
2057-01-01 07:00:00,72846.82,PJM
2057-01-01 08:00:00,71957.93,PJM
2057-01-01 09:00:00,71776.9,PJM
2057-01-01 10:00:00,73052.57,PJM
2057-01-01 11:00:00,75204.21,PJM
2057-01-01 12:00:00,77365.55,PJM
2057-01-01 13:00:00,80774.98,PJM
2057-01-01 14:00:00,82580.83,PJM
2057-01-01 15:00:00,82728.77,PJM
2057-01-01 16:00:00,81314.39,PJM
2057-01-01 17:00:00,80832.45,PJM
2057-01-01 18:00:00,80671.88,PJM
2057-01-01 19:00:00,80692.99,PJM
2057-01-01 20:00:00,81554.0,PJM
2057-01-01 21:00:00,84244.34,PJM
2057-01-01 22:00:00,88217.38,PJM
2057-01-01 23:00:00,90248.56,PJM
2057-01-02 00:00:00,95955.42,PJM
2057-01-02 01:00:00,93125.71,PJM
2057-01-02 02:00:00,90125.35,PJM
2057-01-02 03:00:00,87078.07,PJM
2057-01-02 04:00:00,84134.18,PJM
2057-01-02 05:00:00,80917.04,PJM
2057-01-02 06:00:00,77824.43,PJM
2057-01-02 07:00:00,75090.98,PJM
2057-01-02 08:00:00,74416.09,PJM
2057-01-02 09:00:00,76337.46,PJM
2057-01-02 10:00:00,78787.25,PJM
2057-01-02 11:00:00,81582.32,PJM
2057-01-02 12:00:00,84372.47,PJM
2057-01-02 13:00:00,86932.42,PJM
2057-01-02 14:00:00,90071.16,PJM
2057-01-02 15:00:00,90645.58,PJM
2057-01-02 16:00:00,90527.5,PJM
2057-01-02 17:00:00,90197.25,PJM
2057-01-02 18:00:00,90095.0,PJM
2057-01-02 19:00:00,89857.0,PJM
2057-01-02 20:00:00,89775.38,PJM
2057-01-02 21:00:00,89552.11,PJM
2057-01-02 22:00:00,90225.13,PJM
2057-01-02 23:00:00,90787.49,PJM
2057-01-03 00:00:00,95640.41,PJM
2057-01-03 01:00:00,91985.25,PJM
2057-01-03 02:00:00,88352.27,PJM
2057-01-03 03:00:00,84817.96,PJM
2057-01-03 04:00:00,81296.72,PJM
2057-01-03 05:00:00,77739.37,PJM
2057-01-03 06:00:00,74259.93,PJM
2057-01-03 07:00:00,71498.18,PJM
2057-01-03 08:00:00,70585.43,PJM
2057-01-03 09:00:00,72273.32,PJM
2057-01-03 10:00:00,74324.6,PJM
2057-01-03 11:00:00,76644.0,PJM
2057-01-03 12:00:00,79267.63,PJM
2057-01-03 13:00:00,82249.48,PJM
2057-01-03 14:00:00,85404.09,PJM
2057-01-03 15:00:00,87154.85,PJM
2057-01-03 16:00:00,87561.73,PJM
2057-01-03 17:00:00,87724.36,PJM
2057-01-03 18:00:00,87564.57,PJM
2057-01-03 19:00:00,87588.95,PJM
2057-01-03 20:00:00,87537.68,PJM
2057-01-03 21:00:00,87622.42,PJM
2057-01-03 22:00:00,88104.21,PJM
2057-01-03 23:00:00,88668.13,PJM
2057-01-04 00:00:00,94523.86,PJM
2057-01-04 01:00:00,91460.72,PJM
2057-01-04 02:00:00,88294.82,PJM
2057-01-04 03:00:00,85184.16,PJM
2057-01-04 04:00:00,81956.34,PJM
2057-01-04 05:00:00,78568.81,PJM
2057-01-04 06:00:00,75594.31,PJM
2057-01-04 07:00:00,72976.36,PJM
2057-01-04 08:00:00,71837.39,PJM
2057-01-04 09:00:00,73478.81,PJM
2057-01-04 10:00:00,75626.41,PJM
2057-01-04 11:00:00,77637.64,PJM
2057-01-04 12:00:00,79692.06,PJM
2057-01-04 13:00:00,83370.44,PJM
2057-01-04 14:00:00,87804.69,PJM
2057-01-04 15:00:00,87635.37,PJM
2057-01-04 16:00:00,86697.69,PJM
2057-01-04 17:00:00,86134.33,PJM
2057-01-04 18:00:00,86061.81,PJM
2057-01-04 19:00:00,86563.78,PJM
2057-01-04 20:00:00,85449.62,PJM
2057-01-04 21:00:00,85541.01,PJM
2057-01-04 22:00:00,87586.84,PJM
2057-01-04 23:00:00,89997.23,PJM
2057-01-05 00:00:00,102137.97,PJM
2057-01-05 01:00:00,99440.34,PJM
2057-01-05 02:00:00,96786.26,PJM
2057-01-05 03:00:00,94320.47,PJM
2057-01-05 04:00:00,91642.29,PJM
2057-01-05 05:00:00,88835.86,PJM
2057-01-05 06:00:00,86207.14,PJM
2057-01-05 07:00:00,84033.97,PJM
2057-01-05 08:00:00,83116.87,PJM
2057-01-05 09:00:00,85109.63,PJM
2057-01-05 10:00:00,88194.75,PJM
2057-01-05 11:00:00,91292.23,PJM
2057-01-05 12:00:00,95106.01,PJM
2057-01-05 13:00:00,101193.34,PJM
2057-01-05 14:00:00,104266.23,PJM
2057-01-05 15:00:00,105124.34,PJM
2057-01-05 16:00:00,105045.89,PJM
2057-01-05 17:00:00,104074.37,PJM
2057-01-05 18:00:00,103548.73,PJM
2057-01-05 19:00:00,102762.49,PJM
2057-01-05 20:00:00,101235.22,PJM
2057-01-05 21:00:00,101339.83,PJM
2057-01-05 22:00:00,102490.01,PJM
2057-01-05 23:00:00,103662.88,PJM
2057-01-06 00:00:00,102979.04,PJM
2057-01-06 01:00:00,100786.03,PJM
2057-01-06 02:00:00,98084.53,PJM
2057-01-06 03:00:00,95494.56,PJM
2057-01-06 04:00:00,92007.27,PJM
2057-01-06 05:00:00,89405.97,PJM
2057-01-06 06:00:00,86942.71,PJM
2057-01-06 07:00:00,84886.81,PJM
2057-01-06 08:00:00,84043.99,PJM
2057-01-06 09:00:00,84615.08,PJM
2057-01-06 10:00:00,85804.75,PJM
2057-01-06 11:00:00,86591.35,PJM
2057-01-06 12:00:00,88229.63,PJM
2057-01-06 13:00:00,90707.0,PJM
2057-01-06 14:00:00,92794.96,PJM
2057-01-06 15:00:00,93229.97,PJM
2057-01-06 16:00:00,92855.42,PJM
2057-01-06 17:00:00,92593.18,PJM
2057-01-06 18:00:00,91896.35,PJM
2057-01-06 19:00:00,91370.65,PJM
2057-01-06 20:00:00,91039.6,PJM
2057-01-06 21:00:00,92226.05,PJM
2057-01-06 22:00:00,95839.81,PJM
2057-01-06 23:00:00,98494.98,PJM
2057-01-07 00:00:00,106854.17,PJM
2057-01-07 01:00:00,104427.7,PJM
2057-01-07 02:00:00,102211.3,PJM
2057-01-07 03:00:00,99820.23,PJM
2057-01-07 04:00:00,97275.96,PJM
2057-01-07 05:00:00,94767.35,PJM
2057-01-07 06:00:00,92309.47,PJM
2057-01-07 07:00:00,90471.7,PJM
2057-01-07 08:00:00,89622.25,PJM
2057-01-07 09:00:00,89876.03,PJM
2057-01-07 10:00:00,90562.8,PJM
2057-01-07 11:00:00,91746.43,PJM
2057-01-07 12:00:00,93105.82,PJM
2057-01-07 13:00:00,95784.12,PJM
2057-01-07 14:00:00,98320.74,PJM
2057-01-07 15:00:00,98557.12,PJM
2057-01-07 16:00:00,98668.17,PJM
2057-01-07 17:00:00,97886.8,PJM
2057-01-07 18:00:00,96934.89,PJM
2057-01-07 19:00:00,96225.62,PJM
2057-01-07 20:00:00,95238.53,PJM
2057-01-07 21:00:00,95186.76,PJM
2057-01-07 22:00:00,96572.33,PJM
2057-01-07 23:00:00,98283.16,PJM
2057-01-08 00:00:00,112870.71,PJM
2057-01-08 01:00:00,109594.57,PJM
2057-01-08 02:00:00,106438.22,PJM
2057-01-08 03:00:00,103198.81,PJM
2057-01-08 04:00:00,100008.9,PJM
2057-01-08 05:00:00,96867.13,PJM
2057-01-08 06:00:00,93950.18,PJM
2057-01-08 07:00:00,91190.36,PJM
2057-01-08 08:00:00,90085.69,PJM
2057-01-08 09:00:00,91934.96,PJM
2057-01-08 10:00:00,95463.25,PJM
2057-01-08 11:00:00,99078.73,PJM
2057-01-08 12:00:00,102679.8,PJM
2057-01-08 13:00:00,107926.7,PJM
2057-01-08 14:00:00,109409.65,PJM
2057-01-08 15:00:00,106498.63,PJM
2057-01-08 16:00:00,104003.18,PJM
2057-01-08 17:00:00,102708.17,PJM
2057-01-08 18:00:00,101599.26,PJM
2057-01-08 19:00:00,100737.38,PJM
2057-01-08 20:00:00,100595.35,PJM
2057-01-08 21:00:00,101426.21,PJM
2057-01-08 22:00:00,103529.14,PJM
2057-01-08 23:00:00,106871.61,PJM
2057-01-09 00:00:00,115264.76,PJM
2057-01-09 01:00:00,112428.43,PJM
2057-01-09 02:00:00,109561.06,PJM
2057-01-09 03:00:00,106816.82,PJM
2057-01-09 04:00:00,104029.15,PJM
2057-01-09 05:00:00,101105.8,PJM
2057-01-09 06:00:00,98485.0,PJM
2057-01-09 07:00:00,95865.94,PJM
2057-01-09 08:00:00,95798.14,PJM
2057-01-09 09:00:00,97876.83,PJM
