Time_UTC,Load,BA
2057-01-01 00:00:00,1512.05,PNM
2057-01-01 01:00:00,1583.37,PNM
2057-01-01 02:00:00,1657.46,PNM
2057-01-01 03:00:00,1646.62,PNM
2057-01-01 04:00:00,1589.07,PNM
2057-01-01 05:00:00,1517.87,PNM
2057-01-01 06:00:00,1449.59,PNM
2057-01-01 07:00:00,1384.4,PNM
2057-01-01 08:00:00,1331.74,PNM
2057-01-01 09:00:00,1307.71,PNM
2057-01-01 10:00:00,1325.14,PNM
2057-01-01 11:00:00,1341.68,PNM
2057-01-01 12:00:00,1362.62,PNM
2057-01-01 13:00:00,1386.03,PNM
2057-01-01 14:00:00,1403.52,PNM
2057-01-01 15:00:00,1463.65,PNM
2057-01-01 16:00:00,1511.41,PNM
2057-01-01 17:00:00,1503.11,PNM
2057-01-01 18:00:00,1489.5,PNM
2057-01-01 19:00:00,1479.32,PNM
2057-01-01 20:00:00,1473.9,PNM
2057-01-01 21:00:00,1473.83,PNM
2057-01-01 22:00:00,1477.9,PNM
2057-01-01 23:00:00,1492.97,PNM
2057-01-02 00:00:00,1624.1,PNM
2057-01-02 01:00:00,1695.72,PNM
2057-01-02 02:00:00,1757.58,PNM
2057-01-02 03:00:00,1796.51,PNM
2057-01-02 04:00:00,1727.24,PNM
2057-01-02 05:00:00,1642.99,PNM
2057-01-02 06:00:00,1553.78,PNM
2057-01-02 07:00:00,1471.38,PNM
2057-01-02 08:00:00,1409.6,PNM
2057-01-02 09:00:00,1383.2,PNM
2057-01-02 10:00:00,1404.88,PNM
2057-01-02 11:00:00,1428.95,PNM
2057-01-02 12:00:00,1457.61,PNM
2057-01-02 13:00:00,1496.26,PNM
2057-01-02 14:00:00,1546.47,PNM
2057-01-02 15:00:00,1641.01,PNM
2057-01-02 16:00:00,1640.88,PNM
2057-01-02 17:00:00,1619.09,PNM
2057-01-02 18:00:00,1584.68,PNM
2057-01-02 19:00:00,1555.79,PNM
2057-01-02 20:00:00,1525.77,PNM
2057-01-02 21:00:00,1519.89,PNM
2057-01-02 22:00:00,1523.63,PNM
2057-01-02 23:00:00,1546.81,PNM
2057-01-03 00:00:00,1610.78,PNM
2057-01-03 01:00:00,1683.91,PNM
2057-01-03 02:00:00,1751.95,PNM
2057-01-03 03:00:00,1797.39,PNM
2057-01-03 04:00:00,1734.87,PNM
2057-01-03 05:00:00,1647.39,PNM
2057-01-03 06:00:00,1550.31,PNM
2057-01-03 07:00:00,1465.18,PNM
2057-01-03 08:00:00,1409.45,PNM
2057-01-03 09:00:00,1378.45,PNM
2057-01-03 10:00:00,1401.63,PNM
2057-01-03 11:00:00,1436.39,PNM
2057-01-03 12:00:00,1478.67,PNM
2057-01-03 13:00:00,1515.18,PNM
2057-01-03 14:00:00,1555.29,PNM
2057-01-03 15:00:00,1635.9,PNM
2057-01-03 16:00:00,1639.75,PNM
2057-01-03 17:00:00,1608.76,PNM
2057-01-03 18:00:00,1566.37,PNM
2057-01-03 19:00:00,1531.8,PNM
2057-01-03 20:00:00,1508.46,PNM
2057-01-03 21:00:00,1494.57,PNM
2057-01-03 22:00:00,1498.34,PNM
2057-01-03 23:00:00,1533.86,PNM
2057-01-04 00:00:00,1582.23,PNM
2057-01-04 01:00:00,1657.86,PNM
2057-01-04 02:00:00,1731.49,PNM
2057-01-04 03:00:00,1775.21,PNM
2057-01-04 04:00:00,1712.97,PNM
2057-01-04 05:00:00,1626.09,PNM
2057-01-04 06:00:00,1540.15,PNM
2057-01-04 07:00:00,1465.21,PNM
2057-01-04 08:00:00,1407.2,PNM
2057-01-04 09:00:00,1371.57,PNM
2057-01-04 10:00:00,1383.92,PNM
2057-01-04 11:00:00,1413.62,PNM
2057-01-04 12:00:00,1450.12,PNM
2057-01-04 13:00:00,1488.93,PNM
2057-01-04 14:00:00,1521.09,PNM
2057-01-04 15:00:00,1604.49,PNM
2057-01-04 16:00:00,1598.39,PNM
2057-01-04 17:00:00,1568.25,PNM
2057-01-04 18:00:00,1528.28,PNM
2057-01-04 19:00:00,1494.45,PNM
2057-01-04 20:00:00,1467.04,PNM
2057-01-04 21:00:00,1453.49,PNM
2057-01-04 22:00:00,1448.98,PNM
2057-01-04 23:00:00,1445.17,PNM
2057-01-05 00:00:00,1560.88,PNM
2057-01-05 01:00:00,1638.72,PNM
2057-01-05 02:00:00,1706.95,PNM
2057-01-05 03:00:00,1760.61,PNM
2057-01-05 04:00:00,1699.62,PNM
2057-01-05 05:00:00,1611.77,PNM
2057-01-05 06:00:00,1521.46,PNM
2057-01-05 07:00:00,1431.29,PNM
2057-01-05 08:00:00,1365.64,PNM
2057-01-05 09:00:00,1339.86,PNM
2057-01-05 10:00:00,1339.01,PNM
2057-01-05 11:00:00,1363.11,PNM
2057-01-05 12:00:00,1390.27,PNM
2057-01-05 13:00:00,1426.23,PNM
2057-01-05 14:00:00,1458.17,PNM
2057-01-05 15:00:00,1538.88,PNM
2057-01-05 16:00:00,1543.45,PNM
2057-01-05 17:00:00,1536.63,PNM
2057-01-05 18:00:00,1536.26,PNM
2057-01-05 19:00:00,1533.02,PNM
2057-01-05 20:00:00,1523.59,PNM
2057-01-05 21:00:00,1516.14,PNM
2057-01-05 22:00:00,1530.14,PNM
2057-01-05 23:00:00,1515.93,PNM
2057-01-06 00:00:00,1509.45,PNM
2057-01-06 01:00:00,1594.37,PNM
2057-01-06 02:00:00,1654.79,PNM
2057-01-06 03:00:00,1713.69,PNM
2057-01-06 04:00:00,1682.88,PNM
2057-01-06 05:00:00,1623.13,PNM
2057-01-06 06:00:00,1551.95,PNM
2057-01-06 07:00:00,1485.13,PNM
2057-01-06 08:00:00,1434.67,PNM
2057-01-06 09:00:00,1415.18,PNM
2057-01-06 10:00:00,1427.92,PNM
2057-01-06 11:00:00,1451.69,PNM
2057-01-06 12:00:00,1486.48,PNM
2057-01-06 13:00:00,1521.22,PNM
2057-01-06 14:00:00,1558.6,PNM
2057-01-06 15:00:00,1610.9,PNM
2057-01-06 16:00:00,1635.79,PNM
2057-01-06 17:00:00,1641.1,PNM
2057-01-06 18:00:00,1620.86,PNM
2057-01-06 19:00:00,1598.5,PNM
2057-01-06 20:00:00,1579.54,PNM
2057-01-06 21:00:00,1566.1,PNM
2057-01-06 22:00:00,1552.88,PNM
2057-01-06 23:00:00,1550.37,PNM
2057-01-07 00:00:00,1708.72,PNM
2057-01-07 01:00:00,1811.56,PNM
2057-01-07 02:00:00,1888.78,PNM
2057-01-07 03:00:00,1906.49,PNM
2057-01-07 04:00:00,1855.07,PNM
2057-01-07 05:00:00,1782.25,PNM
2057-01-07 06:00:00,1710.59,PNM
2057-01-07 07:00:00,1649.14,PNM
2057-01-07 08:00:00,1592.35,PNM
2057-01-07 09:00:00,1557.53,PNM
2057-01-07 10:00:00,1555.23,PNM
2057-01-07 11:00:00,1568.45,PNM
2057-01-07 12:00:00,1596.29,PNM
2057-01-07 13:00:00,1625.26,PNM
2057-01-07 14:00:00,1652.62,PNM
2057-01-07 15:00:00,1678.59,PNM
2057-01-07 16:00:00,1681.13,PNM
2057-01-07 17:00:00,1670.54,PNM
2057-01-07 18:00:00,1646.13,PNM
2057-01-07 19:00:00,1625.9,PNM
2057-01-07 20:00:00,1612.48,PNM
2057-01-07 21:00:00,1597.14,PNM
2057-01-07 22:00:00,1580.37,PNM
2057-01-07 23:00:00,1585.73,PNM
2057-01-08 00:00:00,1698.43,PNM
2057-01-08 01:00:00,1782.23,PNM
2057-01-08 02:00:00,1856.91,PNM
2057-01-08 03:00:00,1883.61,PNM
2057-01-08 04:00:00,1803.85,PNM
2057-01-08 05:00:00,1706.08,PNM
2057-01-08 06:00:00,1614.46,PNM
2057-01-08 07:00:00,1530.05,PNM
2057-01-08 08:00:00,1468.64,PNM
2057-01-08 09:00:00,1435.72,PNM
2057-01-08 10:00:00,1461.81,PNM
2057-01-08 11:00:00,1492.99,PNM
2057-01-08 12:00:00,1528.48,PNM
2057-01-08 13:00:00,1557.05,PNM
2057-01-08 14:00:00,1588.32,PNM
2057-01-08 15:00:00,1668.11,PNM
2057-01-08 16:00:00,1665.38,PNM
2057-01-08 17:00:00,1649.95,PNM
2057-01-08 18:00:00,1622.82,PNM
2057-01-08 19:00:00,1592.51,PNM
2057-01-08 20:00:00,1566.46,PNM
2057-01-08 21:00:00,1545.41,PNM
2057-01-08 22:00:00,1538.91,PNM
2057-01-08 23:00:00,1578.25,PNM
2057-01-09 00:00:00,1596.4,PNM
2057-01-09 01:00:00,1665.65,PNM
2057-01-09 02:00:00,1737.57,PNM
2057-01-09 03:00:00,1771.05,PNM
2057-01-09 04:00:00,1702.63,PNM
2057-01-09 05:00:00,1612.27,PNM
2057-01-09 06:00:00,1522.48,PNM
2057-01-09 07:00:00,1439.46,PNM
2057-01-09 08:00:00,1380.77,PNM
2057-01-09 09:00:00,1347.52,PNM
2057-01-09 10:00:00,1361.68,PNM
2057-01-09 11:00:00,1386.52,PNM
2057-01-09 12:00:00,1416.52,PNM
2057-01-09 13:00:00,1445.23,PNM
2057-01-09 14:00:00,1482.62,PNM
2057-01-09 15:00:00,1555.49,PNM
2057-01-09 16:00:00,1586.47,PNM
2057-01-09 17:00:00,1583.62,PNM
2057-01-09 18:00:00,1565.92,PNM
2057-01-09 19:00:00,1543.48,PNM
2057-01-09 20:00:00,1534.11,PNM
2057-01-09 21:00:00,1529.63,PNM
2057-01-09 22:00:00,1531.13,PNM
2057-01-09 23:00:00,1546.47,PNM
2057-01-10 00:00:00,1556.62,PNM
2057-01-10 01:00:00,1626.47,PNM
2057-01-10 02:00:00,1687.78,PNM
2057-01-10 03:00:00,1742.52,PNM
2057-01-10 04:00:00,1686.68,PNM
2057-01-10 05:00:00,1591.85,PNM
2057-01-10 06:00:00,1496.73,PNM
2057-01-10 07:00:00,1410.89,PNM
2057-01-10 08:00:00,1351.43,PNM
2057-01-10 09:00:00,1322.9,PNM
2057-01-10 10:00:00,1323.81,PNM
2057-01-10 11:00:00,1351.64,PNM
2057-01-10 12:00:00,1374.61,PNM
2057-01-10 13:00:00,1415.35,PNM
2057-01-10 14:00:00,1463.48,PNM
2057-01-10 15:00:00,1554.42,PNM
2057-01-10 16:00:00,1569.04,PNM
2057-01-10 17:00:00,1534.96,PNM
2057-01-10 18:00:00,1498.55,PNM
2057-01-10 19:00:00,1478.54,PNM
2057-01-10 20:00:00,1461.38,PNM
2057-01-10 21:00:00,1445.39,PNM
2057-01-10 22:00:00,1444.12,PNM
