Time_UTC,Load,BA
2057-01-01 00:00:00,23352.73,SOCO
2057-01-01 01:00:00,23613.56,SOCO
2057-01-01 02:00:00,23798.49,SOCO
2057-01-01 03:00:00,22635.81,SOCO
2057-01-01 04:00:00,21474.29,SOCO
2057-01-01 05:00:00,20299.36,SOCO
2057-01-01 06:00:00,19277.83,SOCO
2057-01-01 07:00:00,18828.46,SOCO
2057-01-01 08:00:00,18652.44,SOCO
2057-01-01 09:00:00,18848.18,SOCO
2057-01-01 10:00:00,19181.62,SOCO
2057-01-01 11:00:00,19522.9,SOCO
2057-01-01 12:00:00,19914.88,SOCO
2057-01-01 13:00:00,20416.25,SOCO
2057-01-01 14:00:00,21070.8,SOCO
2057-01-01 15:00:00,21793.61,SOCO
2057-01-01 16:00:00,21961.02,SOCO
2057-01-01 17:00:00,21980.34,SOCO
2057-01-01 18:00:00,22046.89,SOCO
2057-01-01 19:00:00,22098.55,SOCO
2057-01-01 20:00:00,22053.59,SOCO
2057-01-01 21:00:00,21960.88,SOCO
2057-01-01 22:00:00,21965.2,SOCO
2057-01-01 23:00:00,22057.2,SOCO
2057-01-02 00:00:00,24153.8,SOCO
2057-01-02 01:00:00,24332.85,SOCO
2057-01-02 02:00:00,24102.84,SOCO
2057-01-02 03:00:00,22783.37,SOCO
2057-01-02 04:00:00,21441.57,SOCO
2057-01-02 05:00:00,20158.11,SOCO
2057-01-02 06:00:00,19172.81,SOCO
2057-01-02 07:00:00,18664.48,SOCO
2057-01-02 08:00:00,18638.22,SOCO
2057-01-02 09:00:00,19207.92,SOCO
2057-01-02 10:00:00,19779.53,SOCO
2057-01-02 11:00:00,20372.71,SOCO
2057-01-02 12:00:00,20892.81,SOCO
2057-01-02 13:00:00,21426.15,SOCO
2057-01-02 14:00:00,22216.87,SOCO
2057-01-02 15:00:00,22422.7,SOCO
2057-01-02 16:00:00,22586.2,SOCO
2057-01-02 17:00:00,22674.95,SOCO
2057-01-02 18:00:00,22760.92,SOCO
2057-01-02 19:00:00,22769.26,SOCO
2057-01-02 20:00:00,22790.84,SOCO
2057-01-02 21:00:00,22815.9,SOCO
2057-01-02 22:00:00,22820.8,SOCO
2057-01-02 23:00:00,22807.3,SOCO
2057-01-03 00:00:00,23958.32,SOCO
2057-01-03 01:00:00,24082.31,SOCO
2057-01-03 02:00:00,23966.5,SOCO
2057-01-03 03:00:00,22646.55,SOCO
2057-01-03 04:00:00,21301.31,SOCO
2057-01-03 05:00:00,19961.85,SOCO
2057-01-03 06:00:00,18931.13,SOCO
2057-01-03 07:00:00,18461.43,SOCO
2057-01-03 08:00:00,18282.63,SOCO
2057-01-03 09:00:00,18852.13,SOCO
2057-01-03 10:00:00,19471.37,SOCO
2057-01-03 11:00:00,20076.7,SOCO
2057-01-03 12:00:00,20586.4,SOCO
2057-01-03 13:00:00,21077.91,SOCO
2057-01-03 14:00:00,21706.47,SOCO
2057-01-03 15:00:00,22079.53,SOCO
2057-01-03 16:00:00,22376.26,SOCO
2057-01-03 17:00:00,22615.29,SOCO
2057-01-03 18:00:00,22662.88,SOCO
2057-01-03 19:00:00,22714.58,SOCO
2057-01-03 20:00:00,22739.13,SOCO
2057-01-03 21:00:00,22775.91,SOCO
2057-01-03 22:00:00,22836.97,SOCO
2057-01-03 23:00:00,22514.76,SOCO
2057-01-04 00:00:00,25107.03,SOCO
2057-01-04 01:00:00,25197.31,SOCO
2057-01-04 02:00:00,24962.52,SOCO
2057-01-04 03:00:00,23566.88,SOCO
2057-01-04 04:00:00,22218.19,SOCO
2057-01-04 05:00:00,21026.8,SOCO
2057-01-04 06:00:00,19874.89,SOCO
2057-01-04 07:00:00,19209.67,SOCO
2057-01-04 08:00:00,19073.81,SOCO
2057-01-04 09:00:00,19595.81,SOCO
2057-01-04 10:00:00,20127.6,SOCO
2057-01-04 11:00:00,20699.14,SOCO
2057-01-04 12:00:00,21209.35,SOCO
2057-01-04 13:00:00,22178.23,SOCO
2057-01-04 14:00:00,23775.9,SOCO
2057-01-04 15:00:00,24068.69,SOCO
2057-01-04 16:00:00,24213.31,SOCO
2057-01-04 17:00:00,24271.74,SOCO
2057-01-04 18:00:00,24262.91,SOCO
2057-01-04 19:00:00,24133.23,SOCO
2057-01-04 20:00:00,23953.62,SOCO
2057-01-04 21:00:00,23953.01,SOCO
2057-01-04 22:00:00,23877.51,SOCO
2057-01-04 23:00:00,23936.43,SOCO
2057-01-05 00:00:00,26459.14,SOCO
2057-01-05 01:00:00,27434.66,SOCO
2057-01-05 02:00:00,27625.9,SOCO
2057-01-05 03:00:00,26709.16,SOCO
2057-01-05 04:00:00,25808.96,SOCO
2057-01-05 05:00:00,24975.06,SOCO
2057-01-05 06:00:00,24310.38,SOCO
2057-01-05 07:00:00,24170.76,SOCO
2057-01-05 08:00:00,25123.65,SOCO
2057-01-05 09:00:00,26468.62,SOCO
2057-01-05 10:00:00,27472.86,SOCO
2057-01-05 11:00:00,28250.11,SOCO
2057-01-05 12:00:00,29010.95,SOCO
2057-01-05 13:00:00,30234.41,SOCO
2057-01-05 14:00:00,31809.24,SOCO
2057-01-05 15:00:00,30259.51,SOCO
2057-01-05 16:00:00,28727.68,SOCO
2057-01-05 17:00:00,27177.86,SOCO
2057-01-05 18:00:00,25882.33,SOCO
2057-01-05 19:00:00,24911.44,SOCO
2057-01-05 20:00:00,24412.18,SOCO
2057-01-05 21:00:00,24102.95,SOCO
2057-01-05 22:00:00,24245.64,SOCO
2057-01-05 23:00:00,24875.21,SOCO
2057-01-06 00:00:00,25154.38,SOCO
2057-01-06 01:00:00,25954.5,SOCO
2057-01-06 02:00:00,26127.23,SOCO
2057-01-06 03:00:00,25280.79,SOCO
2057-01-06 04:00:00,24363.89,SOCO
2057-01-06 05:00:00,23511.77,SOCO
2057-01-06 06:00:00,23030.81,SOCO
2057-01-06 07:00:00,22780.47,SOCO
2057-01-06 08:00:00,22585.76,SOCO
2057-01-06 09:00:00,22650.99,SOCO
2057-01-06 10:00:00,23165.64,SOCO
2057-01-06 11:00:00,24014.63,SOCO
2057-01-06 12:00:00,24799.3,SOCO
2057-01-06 13:00:00,25495.83,SOCO
2057-01-06 14:00:00,26543.4,SOCO
2057-01-06 15:00:00,27263.34,SOCO
2057-01-06 16:00:00,27881.02,SOCO
2057-01-06 17:00:00,28434.85,SOCO
2057-01-06 18:00:00,28608.75,SOCO
2057-01-06 19:00:00,28490.17,SOCO
2057-01-06 20:00:00,28207.35,SOCO
2057-01-06 21:00:00,27953.46,SOCO
2057-01-06 22:00:00,28067.05,SOCO
2057-01-06 23:00:00,28289.26,SOCO
2057-01-07 00:00:00,29498.25,SOCO
2057-01-07 01:00:00,30275.22,SOCO
2057-01-07 02:00:00,30124.27,SOCO
2057-01-07 03:00:00,29323.22,SOCO
2057-01-07 04:00:00,28567.62,SOCO
2057-01-07 05:00:00,27743.77,SOCO
2057-01-07 06:00:00,27076.02,SOCO
2057-01-07 07:00:00,26855.09,SOCO
2057-01-07 08:00:00,27171.89,SOCO
2057-01-07 09:00:00,28181.03,SOCO
2057-01-07 10:00:00,29430.36,SOCO
2057-01-07 11:00:00,30562.28,SOCO
2057-01-07 12:00:00,31574.39,SOCO
2057-01-07 13:00:00,32452.65,SOCO
2057-01-07 14:00:00,33766.0,SOCO
2057-01-07 15:00:00,34392.18,SOCO
2057-01-07 16:00:00,34101.22,SOCO
2057-01-07 17:00:00,33434.03,SOCO
2057-01-07 18:00:00,32335.2,SOCO
2057-01-07 19:00:00,31327.94,SOCO
2057-01-07 20:00:00,30517.24,SOCO
2057-01-07 21:00:00,30119.47,SOCO
2057-01-07 22:00:00,29724.17,SOCO
2057-01-07 23:00:00,29976.68,SOCO
2057-01-08 00:00:00,34685.74,SOCO
2057-01-08 01:00:00,35654.73,SOCO
2057-01-08 02:00:00,35428.78,SOCO
2057-01-08 03:00:00,34731.99,SOCO
2057-01-08 04:00:00,33953.54,SOCO
2057-01-08 05:00:00,33107.64,SOCO
2057-01-08 06:00:00,32270.94,SOCO
2057-01-08 07:00:00,31957.57,SOCO
2057-01-08 08:00:00,32343.52,SOCO
2057-01-08 09:00:00,33152.54,SOCO
2057-01-08 10:00:00,33943.8,SOCO
2057-01-08 11:00:00,34730.91,SOCO
2057-01-08 12:00:00,35600.95,SOCO
2057-01-08 13:00:00,36823.44,SOCO
2057-01-08 14:00:00,38667.43,SOCO
2057-01-08 15:00:00,37299.7,SOCO
2057-01-08 16:00:00,35293.42,SOCO
2057-01-08 17:00:00,33597.59,SOCO
2057-01-08 18:00:00,32423.29,SOCO
2057-01-08 19:00:00,31591.74,SOCO
2057-01-08 20:00:00,31025.58,SOCO
2057-01-08 21:00:00,30853.0,SOCO
2057-01-08 22:00:00,30834.83,SOCO
2057-01-08 23:00:00,31729.82,SOCO
2057-01-09 00:00:00,33771.89,SOCO
2057-01-09 01:00:00,34845.55,SOCO
2057-01-09 02:00:00,34894.26,SOCO
2057-01-09 03:00:00,34653.48,SOCO
2057-01-09 04:00:00,33939.09,SOCO
2057-01-09 05:00:00,33001.85,SOCO
2057-01-09 06:00:00,31912.44,SOCO
2057-01-09 07:00:00,31670.87,SOCO
2057-01-09 08:00:00,31964.19,SOCO
2057-01-09 09:00:00,32527.44,SOCO
2057-01-09 10:00:00,33265.14,SOCO
2057-01-09 11:00:00,33814.29,SOCO
2057-01-09 12:00:00,34431.95,SOCO
2057-01-09 13:00:00,35356.93,SOCO
2057-01-09 14:00:00,35676.69,SOCO
2057-01-09 15:00:00,33367.54,SOCO
2057-01-09 16:00:00,31341.24,SOCO
2057-01-09 17:00:00,29963.93,SOCO
2057-01-09 18:00:00,28813.99,SOCO
2057-01-09 19:00:00,28022.01,SOCO
2057-01-09 20:00:00,27605.24,SOCO
2057-01-09 21:00:00,27219.44,SOCO
2057-01-09 22:00:00,27260.4,SOCO
2057-01-09 23:00:00,28919.65,SOCO
2057-01-10 00:00:00,30766.26,SOCO
2057-01-10 01:00:00,31676.58,SOCO
2057-01-10 02:00:00,31468.95,SOCO
2057-01-10 03:00:00,30574.63,SOCO
2057-01-10 04:00:00,29139.72,SOCO
2057-01-10 05:00:00,28022.84,SOCO
2057-01-10 06:00:00,26969.78,SOCO
2057-01-10 07:00:00,26240.03,SOCO
