Time_UTC,Load,BA
2057-01-01 00:00:00,2658.11,SRP
2057-01-01 01:00:00,2864.0,SRP
2057-01-01 02:00:00,2954.03,SRP
2057-01-01 03:00:00,3002.89,SRP
2057-01-01 04:00:00,2872.29,SRP
2057-01-01 05:00:00,2734.25,SRP
2057-01-01 06:00:00,2602.69,SRP
2057-01-01 07:00:00,2456.85,SRP
2057-01-01 08:00:00,2354.88,SRP
2057-01-01 09:00:00,2309.92,SRP
2057-01-01 10:00:00,2313.87,SRP
2057-01-01 11:00:00,2340.16,SRP
2057-01-01 12:00:00,2398.31,SRP
2057-01-01 13:00:00,2461.49,SRP
2057-01-01 14:00:00,2495.6,SRP
2057-01-01 15:00:00,2528.56,SRP
2057-01-01 16:00:00,2615.94,SRP
2057-01-01 17:00:00,2750.28,SRP
2057-01-01 18:00:00,2796.23,SRP
2057-01-01 19:00:00,2782.37,SRP
2057-01-01 20:00:00,2771.38,SRP
2057-01-01 21:00:00,2762.89,SRP
2057-01-01 22:00:00,2756.88,SRP
2057-01-01 23:00:00,2746.54,SRP
2057-01-02 00:00:00,2742.58,SRP
2057-01-02 01:00:00,3058.61,SRP
2057-01-02 02:00:00,3162.21,SRP
2057-01-02 03:00:00,3205.13,SRP
2057-01-02 04:00:00,3121.44,SRP
2057-01-02 05:00:00,2942.87,SRP
2057-01-02 06:00:00,2758.78,SRP
2057-01-02 07:00:00,2588.17,SRP
2057-01-02 08:00:00,2428.52,SRP
2057-01-02 09:00:00,2364.13,SRP
2057-01-02 10:00:00,2427.97,SRP
2057-01-02 11:00:00,2496.39,SRP
2057-01-02 12:00:00,2578.89,SRP
2057-01-02 13:00:00,2695.07,SRP
2057-01-02 14:00:00,2818.35,SRP
2057-01-02 15:00:00,2912.64,SRP
2057-01-02 16:00:00,2876.23,SRP
2057-01-02 17:00:00,2794.54,SRP
2057-01-02 18:00:00,2749.24,SRP
2057-01-02 19:00:00,2715.72,SRP
2057-01-02 20:00:00,2698.43,SRP
2057-01-02 21:00:00,2714.2,SRP
2057-01-02 22:00:00,2726.14,SRP
2057-01-02 23:00:00,2751.37,SRP
2057-01-03 00:00:00,2774.31,SRP
2057-01-03 01:00:00,3011.11,SRP
2057-01-03 02:00:00,3104.9,SRP
2057-01-03 03:00:00,3180.73,SRP
2057-01-03 04:00:00,3118.6,SRP
2057-01-03 05:00:00,2938.51,SRP
2057-01-03 06:00:00,2759.33,SRP
2057-01-03 07:00:00,2586.81,SRP
2057-01-03 08:00:00,2417.47,SRP
2057-01-03 09:00:00,2296.43,SRP
2057-01-03 10:00:00,2357.62,SRP
2057-01-03 11:00:00,2465.32,SRP
2057-01-03 12:00:00,2588.34,SRP
2057-01-03 13:00:00,2712.54,SRP
2057-01-03 14:00:00,2835.97,SRP
2057-01-03 15:00:00,2952.01,SRP
2057-01-03 16:00:00,2891.6,SRP
2057-01-03 17:00:00,2779.0,SRP
2057-01-03 18:00:00,2730.37,SRP
2057-01-03 19:00:00,2688.26,SRP
2057-01-03 20:00:00,2645.64,SRP
2057-01-03 21:00:00,2619.06,SRP
2057-01-03 22:00:00,2674.03,SRP
2057-01-03 23:00:00,2680.61,SRP
