Time_UTC,Load,BA
2057-01-01 00:00:00,1714.26,TEPC
2057-01-01 01:00:00,1720.97,TEPC
2057-01-01 02:00:00,1683.79,TEPC
2057-01-01 03:00:00,1653.63,TEPC
2057-01-01 04:00:00,1597.36,TEPC
2057-01-01 05:00:00,1530.36,TEPC
2057-01-01 06:00:00,1461.3,TEPC
2057-01-01 07:00:00,1399.13,TEPC
2057-01-01 08:00:00,1346.12,TEPC
2057-01-01 09:00:00,1324.35,TEPC
2057-01-01 10:00:00,1336.0,TEPC
2057-01-01 11:00:00,1363.57,TEPC
2057-01-01 12:00:00,1404.56,TEPC
2057-01-01 13:00:00,1442.5,TEPC
2057-01-01 14:00:00,1467.77,TEPC
2057-01-01 15:00:00,1488.22,TEPC
2057-01-01 16:00:00,1500.63,TEPC
2057-01-01 17:00:00,1521.71,TEPC
2057-01-01 18:00:00,1541.96,TEPC
2057-01-01 19:00:00,1545.01,TEPC
2057-01-01 20:00:00,1554.74,TEPC
2057-01-01 21:00:00,1565.68,TEPC
2057-01-01 22:00:00,1594.31,TEPC
2057-01-01 23:00:00,1612.06,TEPC
2057-01-02 00:00:00,1639.74,TEPC
2057-01-02 01:00:00,1718.86,TEPC
2057-01-02 02:00:00,1731.86,TEPC
2057-01-02 03:00:00,1718.18,TEPC
2057-01-02 04:00:00,1649.17,TEPC
2057-01-02 05:00:00,1579.11,TEPC
2057-01-02 06:00:00,1509.72,TEPC
2057-01-02 07:00:00,1441.39,TEPC
2057-01-02 08:00:00,1409.31,TEPC
2057-01-02 09:00:00,1426.1,TEPC
2057-01-02 10:00:00,1460.19,TEPC
2057-01-02 11:00:00,1493.61,TEPC
2057-01-02 12:00:00,1531.45,TEPC
2057-01-02 13:00:00,1566.58,TEPC
2057-01-02 14:00:00,1597.28,TEPC
2057-01-02 15:00:00,1640.67,TEPC
2057-01-02 16:00:00,1627.38,TEPC
2057-01-02 17:00:00,1563.64,TEPC
2057-01-02 18:00:00,1528.73,TEPC
2057-01-02 19:00:00,1522.58,TEPC
2057-01-02 20:00:00,1533.77,TEPC
2057-01-02 21:00:00,1558.24,TEPC
2057-01-02 22:00:00,1595.72,TEPC
2057-01-02 23:00:00,1629.18,TEPC
2057-01-03 00:00:00,1655.76,TEPC
2057-01-03 01:00:00,1697.27,TEPC
2057-01-03 02:00:00,1686.04,TEPC
2057-01-03 03:00:00,1659.07,TEPC
2057-01-03 04:00:00,1581.44,TEPC
2057-01-03 05:00:00,1515.42,TEPC
2057-01-03 06:00:00,1448.14,TEPC
2057-01-03 07:00:00,1384.46,TEPC
2057-01-03 08:00:00,1347.51,TEPC
2057-01-03 09:00:00,1350.28,TEPC
