Time_UTC,Load,BA
2057-01-01 00:00:00,717.31,TPWR
2057-01-01 01:00:00,722.39,TPWR
2057-01-01 02:00:00,718.36,TPWR
2057-01-01 03:00:00,723.73,TPWR
2057-01-01 04:00:00,722.97,TPWR
2057-01-01 05:00:00,697.38,TPWR
2057-01-01 06:00:00,674.27,TPWR
2057-01-01 07:00:00,642.58,TPWR
2057-01-01 08:00:00,608.32,TPWR
2057-01-01 09:00:00,576.95,TPWR
2057-01-01 10:00:00,559.27,TPWR
2057-01-01 11:00:00,551.65,TPWR
2057-01-01 12:00:00,566.08,TPWR
2057-01-01 13:00:00,593.42,TPWR
2057-01-01 14:00:00,626.52,TPWR
2057-01-01 15:00:00,658.01,TPWR
2057-01-01 16:00:00,687.69,TPWR
2057-01-01 17:00:00,714.4,TPWR
2057-01-01 18:00:00,729.65,TPWR
2057-01-01 19:00:00,727.92,TPWR
2057-01-01 20:00:00,724.1,TPWR
2057-01-01 21:00:00,738.5,TPWR
2057-01-01 22:00:00,751.85,TPWR
2057-01-01 23:00:00,756.19,TPWR
2057-01-02 00:00:00,768.81,TPWR
2057-01-02 01:00:00,790.28,TPWR
2057-01-02 02:00:00,796.74,TPWR
2057-01-02 03:00:00,801.83,TPWR
2057-01-02 04:00:00,807.01,TPWR
2057-01-02 05:00:00,778.87,TPWR
2057-01-02 06:00:00,749.95,TPWR
2057-01-02 07:00:00,719.05,TPWR
2057-01-02 08:00:00,690.71,TPWR
2057-01-02 09:00:00,664.51,TPWR
2057-01-02 10:00:00,656.05,TPWR
2057-01-02 11:00:00,674.28,TPWR
2057-01-02 12:00:00,700.63,TPWR
2057-01-02 13:00:00,729.73,TPWR
2057-01-02 14:00:00,758.64,TPWR
2057-01-02 15:00:00,786.54,TPWR
2057-01-02 16:00:00,807.88,TPWR
2057-01-02 17:00:00,850.81,TPWR
2057-01-02 18:00:00,836.1,TPWR
2057-01-02 19:00:00,818.11,TPWR
2057-01-02 20:00:00,805.55,TPWR
2057-01-02 21:00:00,801.9,TPWR
2057-01-02 22:00:00,806.01,TPWR
2057-01-02 23:00:00,819.4,TPWR
2057-01-03 00:00:00,812.64,TPWR
2057-01-03 01:00:00,840.67,TPWR
2057-01-03 02:00:00,846.5,TPWR
2057-01-03 03:00:00,849.36,TPWR
2057-01-03 04:00:00,846.19,TPWR
2057-01-03 05:00:00,811.79,TPWR
2057-01-03 06:00:00,777.43,TPWR
2057-01-03 07:00:00,741.35,TPWR
2057-01-03 08:00:00,705.7,TPWR
2057-01-03 09:00:00,670.45,TPWR
2057-01-03 10:00:00,661.32,TPWR
2057-01-03 11:00:00,686.26,TPWR
2057-01-03 12:00:00,715.95,TPWR
2057-01-03 13:00:00,747.02,TPWR
2057-01-03 14:00:00,779.85,TPWR
2057-01-03 15:00:00,808.95,TPWR
2057-01-03 16:00:00,834.2,TPWR
2057-01-03 17:00:00,874.6,TPWR
2057-01-03 18:00:00,854.2,TPWR
2057-01-03 19:00:00,832.87,TPWR
2057-01-03 20:00:00,819.31,TPWR
2057-01-03 21:00:00,813.03,TPWR
2057-01-03 22:00:00,815.43,TPWR
2057-01-03 23:00:00,824.47,TPWR
2057-01-04 00:00:00,798.49,TPWR
2057-01-04 01:00:00,842.1,TPWR
2057-01-04 02:00:00,850.82,TPWR
2057-01-04 03:00:00,855.72,TPWR
2057-01-04 04:00:00,852.15,TPWR
2057-01-04 05:00:00,823.05,TPWR
2057-01-04 06:00:00,791.22,TPWR
2057-01-04 07:00:00,756.88,TPWR
2057-01-04 08:00:00,719.38,TPWR
2057-01-04 09:00:00,685.03,TPWR
2057-01-04 10:00:00,675.9,TPWR
2057-01-04 11:00:00,695.69,TPWR
2057-01-04 12:00:00,722.78,TPWR
2057-01-04 13:00:00,744.31,TPWR
2057-01-04 14:00:00,766.84,TPWR
2057-01-04 15:00:00,791.85,TPWR
2057-01-04 16:00:00,812.87,TPWR
2057-01-04 17:00:00,857.07,TPWR
2057-01-04 18:00:00,839.07,TPWR
2057-01-04 19:00:00,817.27,TPWR
2057-01-04 20:00:00,803.91,TPWR
2057-01-04 21:00:00,799.05,TPWR
2057-01-04 22:00:00,799.76,TPWR
2057-01-04 23:00:00,809.7,TPWR
2057-01-05 00:00:00,780.94,TPWR
2057-01-05 01:00:00,813.52,TPWR
2057-01-05 02:00:00,821.45,TPWR
2057-01-05 03:00:00,826.03,TPWR
2057-01-05 04:00:00,807.73,TPWR
2057-01-05 05:00:00,772.46,TPWR
2057-01-05 06:00:00,738.29,TPWR
2057-01-05 07:00:00,702.12,TPWR
2057-01-05 08:00:00,667.52,TPWR
2057-01-05 09:00:00,638.29,TPWR
2057-01-05 10:00:00,641.73,TPWR
2057-01-05 11:00:00,670.79,TPWR
