Time_UTC,Load,BA
2057-01-01 00:00:00,914.41,WALC
2057-01-01 01:00:00,957.08,WALC
2057-01-01 02:00:00,966.53,WALC
2057-01-01 03:00:00,962.78,WALC
2057-01-01 04:00:00,956.14,WALC
2057-01-01 05:00:00,951.51,WALC
2057-01-01 06:00:00,942.81,WALC
2057-01-01 07:00:00,937.95,WALC
2057-01-01 08:00:00,932.57,WALC
2057-01-01 09:00:00,923.55,WALC
2057-01-01 10:00:00,911.7,WALC
2057-01-01 11:00:00,913.0,WALC
2057-01-01 12:00:00,912.36,WALC
2057-01-01 13:00:00,913.46,WALC
2057-01-01 14:00:00,918.83,WALC
2057-01-01 15:00:00,926.37,WALC
2057-01-01 16:00:00,909.84,WALC
2057-01-01 17:00:00,898.9,WALC
2057-01-01 18:00:00,899.54,WALC
2057-01-01 19:00:00,898.46,WALC
2057-01-01 20:00:00,887.09,WALC
2057-01-01 21:00:00,865.38,WALC
2057-01-01 22:00:00,852.02,WALC
2057-01-01 23:00:00,854.82,WALC
2057-01-02 00:00:00,811.27,WALC
2057-01-02 01:00:00,846.51,WALC
2057-01-02 02:00:00,847.21,WALC
2057-01-02 03:00:00,849.68,WALC
2057-01-02 04:00:00,845.37,WALC
2057-01-02 05:00:00,837.47,WALC
2057-01-02 06:00:00,826.87,WALC
2057-01-02 07:00:00,813.92,WALC
2057-01-02 08:00:00,815.72,WALC
2057-01-02 09:00:00,819.8,WALC
2057-01-02 10:00:00,831.37,WALC
2057-01-02 11:00:00,844.9,WALC
2057-01-02 12:00:00,858.81,WALC
2057-01-02 13:00:00,877.55,WALC
2057-01-02 14:00:00,893.84,WALC
2057-01-02 15:00:00,900.12,WALC
2057-01-02 16:00:00,881.79,WALC
2057-01-02 17:00:00,850.12,WALC
2057-01-02 18:00:00,825.12,WALC
2057-01-02 19:00:00,811.72,WALC
2057-01-02 20:00:00,805.15,WALC
2057-01-02 21:00:00,809.63,WALC
2057-01-02 22:00:00,820.43,WALC
2057-01-02 23:00:00,840.29,WALC
2057-01-03 00:00:00,855.09,WALC
2057-01-03 01:00:00,875.35,WALC
2057-01-03 02:00:00,873.37,WALC
2057-01-03 03:00:00,867.75,WALC
2057-01-03 04:00:00,851.69,WALC
2057-01-03 05:00:00,837.01,WALC
2057-01-03 06:00:00,823.34,WALC
2057-01-03 07:00:00,812.75,WALC
2057-01-03 08:00:00,812.05,WALC
2057-01-03 09:00:00,817.11,WALC
2057-01-03 10:00:00,824.66,WALC
2057-01-03 11:00:00,840.48,WALC
2057-01-03 12:00:00,861.37,WALC
2057-01-03 13:00:00,879.82,WALC
2057-01-03 14:00:00,893.05,WALC
2057-01-03 15:00:00,899.93,WALC
2057-01-03 16:00:00,877.31,WALC
2057-01-03 17:00:00,842.17,WALC
2057-01-03 18:00:00,817.14,WALC
2057-01-03 19:00:00,795.15,WALC
2057-01-03 20:00:00,788.94,WALC
2057-01-03 21:00:00,793.99,WALC
2057-01-03 22:00:00,806.15,WALC
2057-01-03 23:00:00,820.54,WALC
2057-01-04 00:00:00,851.71,WALC
2057-01-04 01:00:00,867.34,WALC
2057-01-04 02:00:00,863.51,WALC
2057-01-04 03:00:00,859.45,WALC
2057-01-04 04:00:00,850.01,WALC
2057-01-04 05:00:00,834.66,WALC
2057-01-04 06:00:00,819.59,WALC
2057-01-04 07:00:00,806.92,WALC
2057-01-04 08:00:00,796.41,WALC
2057-01-04 09:00:00,786.75,WALC
2057-01-04 10:00:00,776.24,WALC
2057-01-04 11:00:00,768.41,WALC
2057-01-04 12:00:00,768.47,WALC
2057-01-04 13:00:00,780.19,WALC
2057-01-04 14:00:00,794.6,WALC
2057-01-04 15:00:00,806.11,WALC
2057-01-04 16:00:00,791.65,WALC
2057-01-04 17:00:00,765.44,WALC
2057-01-04 18:00:00,755.66,WALC
2057-01-04 19:00:00,747.49,WALC
2057-01-04 20:00:00,741.9,WALC
2057-01-04 21:00:00,737.82,WALC
2057-01-04 22:00:00,742.97,WALC
2057-01-04 23:00:00,761.79,WALC
2057-01-05 00:00:00,823.47,WALC
2057-01-05 01:00:00,839.2,WALC
2057-01-05 02:00:00,838.58,WALC
2057-01-05 03:00:00,830.71,WALC
2057-01-05 04:00:00,818.9,WALC
2057-01-05 05:00:00,806.61,WALC
2057-01-05 06:00:00,799.38,WALC
2057-01-05 07:00:00,794.73,WALC
2057-01-05 08:00:00,788.94,WALC
2057-01-05 09:00:00,783.29,WALC
2057-01-05 10:00:00,776.94,WALC
2057-01-05 11:00:00,784.0,WALC
2057-01-05 12:00:00,800.02,WALC
2057-01-05 13:00:00,817.93,WALC
2057-01-05 14:00:00,837.61,WALC
2057-01-05 15:00:00,853.33,WALC
2057-01-05 16:00:00,830.27,WALC
2057-01-05 17:00:00,795.62,WALC
2057-01-05 18:00:00,771.63,WALC
2057-01-05 19:00:00,764.35,WALC
2057-01-05 20:00:00,754.08,WALC
2057-01-05 21:00:00,743.88,WALC
2057-01-05 22:00:00,738.54,WALC
2057-01-05 23:00:00,750.45,WALC
2057-01-06 00:00:00,733.27,WALC
2057-01-06 01:00:00,774.96,WALC
2057-01-06 02:00:00,790.89,WALC
2057-01-06 03:00:00,802.56,WALC
2057-01-06 04:00:00,811.48,WALC
2057-01-06 05:00:00,811.32,WALC
2057-01-06 06:00:00,803.51,WALC
2057-01-06 07:00:00,793.04,WALC
2057-01-06 08:00:00,785.78,WALC
2057-01-06 09:00:00,790.32,WALC
2057-01-06 10:00:00,803.41,WALC
2057-01-06 11:00:00,816.11,WALC
2057-01-06 12:00:00,828.5,WALC
2057-01-06 13:00:00,838.46,WALC
2057-01-06 14:00:00,845.74,WALC
2057-01-06 15:00:00,847.16,WALC
2057-01-06 16:00:00,830.79,WALC
2057-01-06 17:00:00,804.64,WALC
2057-01-06 18:00:00,782.06,WALC
2057-01-06 19:00:00,767.11,WALC
2057-01-06 20:00:00,758.05,WALC
2057-01-06 21:00:00,756.17,WALC
2057-01-06 22:00:00,756.8,WALC
2057-01-06 23:00:00,761.95,WALC
2057-01-07 00:00:00,810.02,WALC
2057-01-07 01:00:00,858.81,WALC
2057-01-07 02:00:00,872.64,WALC
2057-01-07 03:00:00,869.06,WALC
2057-01-07 04:00:00,860.1,WALC
2057-01-07 05:00:00,860.19,WALC
2057-01-07 06:00:00,868.69,WALC
2057-01-07 07:00:00,872.77,WALC
2057-01-07 08:00:00,875.54,WALC
2057-01-07 09:00:00,878.51,WALC
2057-01-07 10:00:00,884.19,WALC
2057-01-07 11:00:00,888.77,WALC
2057-01-07 12:00:00,895.86,WALC
2057-01-07 13:00:00,899.11,WALC
2057-01-07 14:00:00,896.38,WALC
2057-01-07 15:00:00,886.74,WALC
2057-01-07 16:00:00,863.61,WALC
2057-01-07 17:00:00,846.51,WALC
2057-01-07 18:00:00,829.66,WALC
2057-01-07 19:00:00,819.18,WALC
2057-01-07 20:00:00,814.04,WALC
2057-01-07 21:00:00,805.65,WALC
2057-01-07 22:00:00,795.27,WALC
2057-01-07 23:00:00,796.09,WALC
2057-01-08 00:00:00,888.11,WALC
2057-01-08 01:00:00,896.15,WALC
2057-01-08 02:00:00,887.45,WALC
2057-01-08 03:00:00,878.54,WALC
2057-01-08 04:00:00,861.86,WALC
2057-01-08 05:00:00,844.88,WALC
2057-01-08 06:00:00,829.86,WALC
2057-01-08 07:00:00,817.79,WALC
2057-01-08 08:00:00,803.08,WALC
2057-01-08 09:00:00,792.6,WALC
2057-01-08 10:00:00,785.98,WALC
2057-01-08 11:00:00,778.37,WALC
2057-01-08 12:00:00,771.79,WALC
2057-01-08 13:00:00,772.31,WALC
2057-01-08 14:00:00,777.9,WALC
2057-01-08 15:00:00,778.63,WALC
2057-01-08 16:00:00,758.48,WALC
2057-01-08 17:00:00,747.03,WALC
2057-01-08 18:00:00,746.81,WALC
2057-01-08 19:00:00,747.67,WALC
2057-01-08 20:00:00,746.1,WALC
2057-01-08 21:00:00,734.98,WALC
2057-01-08 22:00:00,726.7,WALC
2057-01-08 23:00:00,714.89,WALC
2057-01-09 00:00:00,861.14,WALC
2057-01-09 01:00:00,865.75,WALC
2057-01-09 02:00:00,852.0,WALC
2057-01-09 03:00:00,840.36,WALC
2057-01-09 04:00:00,833.06,WALC
2057-01-09 05:00:00,823.31,WALC
2057-01-09 06:00:00,805.25,WALC
2057-01-09 07:00:00,789.93,WALC
2057-01-09 08:00:00,774.66,WALC
2057-01-09 09:00:00,762.46,WALC
2057-01-09 10:00:00,750.74,WALC
2057-01-09 11:00:00,744.53,WALC
2057-01-09 12:00:00,739.07,WALC
2057-01-09 13:00:00,734.27,WALC
2057-01-09 14:00:00,737.58,WALC
2057-01-09 15:00:00,738.26,WALC
2057-01-09 16:00:00,727.98,WALC
2057-01-09 17:00:00,714.55,WALC
2057-01-09 18:00:00,708.92,WALC
2057-01-09 19:00:00,715.54,WALC
2057-01-09 20:00:00,719.87,WALC
2057-01-09 21:00:00,721.5,WALC
2057-01-09 22:00:00,720.27,WALC
2057-01-09 23:00:00,714.97,WALC
2057-01-10 00:00:00,842.2,WALC
2057-01-10 01:00:00,844.87,WALC
2057-01-10 02:00:00,826.27,WALC
2057-01-10 03:00:00,817.39,WALC
2057-01-10 04:00:00,816.1,WALC
2057-01-10 05:00:00,801.24,WALC
2057-01-10 06:00:00,790.83,WALC
2057-01-10 07:00:00,779.27,WALC
2057-01-10 08:00:00,775.25,WALC
2057-01-10 09:00:00,770.66,WALC
2057-01-10 10:00:00,764.94,WALC
2057-01-10 11:00:00,757.61,WALC
2057-01-10 12:00:00,753.77,WALC
2057-01-10 13:00:00,759.73,WALC
2057-01-10 14:00:00,770.62,WALC
2057-01-10 15:00:00,776.36,WALC
2057-01-10 16:00:00,758.57,WALC
2057-01-10 17:00:00,747.44,WALC
2057-01-10 18:00:00,745.18,WALC
2057-01-10 19:00:00,744.08,WALC
2057-01-10 20:00:00,741.66,WALC
2057-01-10 21:00:00,740.37,WALC
2057-01-10 22:00:00,736.76,WALC
2057-01-10 23:00:00,743.35,WALC
2057-01-11 00:00:00,862.73,WALC
2057-01-11 01:00:00,867.15,WALC
