Time_UTC,Load,BA
2057-01-01 00:00:00,108.79,WAUW
2057-01-01 01:00:00,109.0,WAUW
2057-01-01 02:00:00,108.23,WAUW
2057-01-01 03:00:00,107.03,WAUW
2057-01-01 04:00:00,105.26,WAUW
2057-01-01 05:00:00,102.36,WAUW
2057-01-01 06:00:00,99.62,WAUW
2057-01-01 07:00:00,97.29,WAUW
2057-01-01 08:00:00,95.35,WAUW
2057-01-01 09:00:00,94.83,WAUW
2057-01-01 10:00:00,95.61,WAUW
2057-01-01 11:00:00,96.97,WAUW
2057-01-01 12:00:00,99.05,WAUW
2057-01-01 13:00:00,100.91,WAUW
2057-01-01 14:00:00,103.39,WAUW
2057-01-01 15:00:00,105.88,WAUW
2057-01-01 16:00:00,112.26,WAUW
2057-01-01 17:00:00,115.46,WAUW
2057-01-01 18:00:00,117.15,WAUW
2057-01-01 19:00:00,117.82,WAUW
2057-01-01 20:00:00,118.14,WAUW
2057-01-01 21:00:00,118.52,WAUW
2057-01-01 22:00:00,118.21,WAUW
2057-01-01 23:00:00,118.02,WAUW
2057-01-02 00:00:00,129.17,WAUW
2057-01-02 01:00:00,129.15,WAUW
2057-01-02 02:00:00,128.3,WAUW
2057-01-02 03:00:00,126.85,WAUW
2057-01-02 04:00:00,124.15,WAUW
2057-01-02 05:00:00,120.4,WAUW
2057-01-02 06:00:00,117.7,WAUW
2057-01-02 07:00:00,115.03,WAUW
2057-01-02 08:00:00,111.79,WAUW
2057-01-02 09:00:00,110.44,WAUW
2057-01-02 10:00:00,109.89,WAUW
2057-01-02 11:00:00,110.34,WAUW
2057-01-02 12:00:00,112.48,WAUW
2057-01-02 13:00:00,114.02,WAUW
2057-01-02 14:00:00,115.82,WAUW
2057-01-02 15:00:00,117.77,WAUW
2057-01-02 16:00:00,121.75,WAUW
2057-01-02 17:00:00,122.69,WAUW
2057-01-02 18:00:00,121.39,WAUW
2057-01-02 19:00:00,121.45,WAUW
2057-01-02 20:00:00,121.4,WAUW
2057-01-02 21:00:00,121.75,WAUW
2057-01-02 22:00:00,121.6,WAUW
2057-01-02 23:00:00,119.47,WAUW
2057-01-03 00:00:00,129.99,WAUW
2057-01-03 01:00:00,129.35,WAUW
2057-01-03 02:00:00,128.24,WAUW
2057-01-03 03:00:00,125.33,WAUW
2057-01-03 04:00:00,122.43,WAUW
2057-01-03 05:00:00,119.88,WAUW
2057-01-03 06:00:00,117.77,WAUW
2057-01-03 07:00:00,115.96,WAUW
2057-01-03 08:00:00,115.97,WAUW
2057-01-03 09:00:00,115.92,WAUW
2057-01-03 10:00:00,116.35,WAUW
2057-01-03 11:00:00,117.21,WAUW
2057-01-03 12:00:00,118.13,WAUW
2057-01-03 13:00:00,119.42,WAUW
2057-01-03 14:00:00,120.36,WAUW
2057-01-03 15:00:00,121.64,WAUW
2057-01-03 16:00:00,126.22,WAUW
2057-01-03 17:00:00,127.03,WAUW
2057-01-03 18:00:00,124.92,WAUW
2057-01-03 19:00:00,122.67,WAUW
2057-01-03 20:00:00,120.6,WAUW
2057-01-03 21:00:00,119.83,WAUW
2057-01-03 22:00:00,120.21,WAUW
2057-01-03 23:00:00,118.59,WAUW
2057-01-04 00:00:00,131.97,WAUW
2057-01-04 01:00:00,132.77,WAUW
2057-01-04 02:00:00,132.49,WAUW
2057-01-04 03:00:00,130.42,WAUW
2057-01-04 04:00:00,127.82,WAUW
2057-01-04 05:00:00,125.39,WAUW
2057-01-04 06:00:00,123.18,WAUW
2057-01-04 07:00:00,121.45,WAUW
2057-01-04 08:00:00,120.26,WAUW
2057-01-04 09:00:00,119.13,WAUW
2057-01-04 10:00:00,118.31,WAUW
2057-01-04 11:00:00,117.75,WAUW
2057-01-04 12:00:00,117.86,WAUW
2057-01-04 13:00:00,119.44,WAUW
2057-01-04 14:00:00,121.42,WAUW
2057-01-04 15:00:00,123.08,WAUW
2057-01-04 16:00:00,126.38,WAUW
2057-01-04 17:00:00,127.17,WAUW
2057-01-04 18:00:00,123.17,WAUW
2057-01-04 19:00:00,121.04,WAUW
2057-01-04 20:00:00,120.48,WAUW
2057-01-04 21:00:00,120.17,WAUW
2057-01-04 22:00:00,119.83,WAUW
2057-01-04 23:00:00,117.22,WAUW
2057-01-05 00:00:00,128.35,WAUW
2057-01-05 01:00:00,129.0,WAUW
2057-01-05 02:00:00,128.56,WAUW
2057-01-05 03:00:00,126.88,WAUW
2057-01-05 04:00:00,124.77,WAUW
2057-01-05 05:00:00,122.54,WAUW
2057-01-05 06:00:00,120.4,WAUW
2057-01-05 07:00:00,117.52,WAUW
2057-01-05 08:00:00,116.03,WAUW
2057-01-05 09:00:00,115.49,WAUW
2057-01-05 10:00:00,115.38,WAUW
2057-01-05 11:00:00,115.56,WAUW
2057-01-05 12:00:00,116.06,WAUW
2057-01-05 13:00:00,117.63,WAUW
2057-01-05 14:00:00,119.4,WAUW
2057-01-05 15:00:00,120.62,WAUW
2057-01-05 16:00:00,125.2,WAUW
2057-01-05 17:00:00,124.6,WAUW
2057-01-05 18:00:00,121.08,WAUW
2057-01-05 19:00:00,119.13,WAUW
2057-01-05 20:00:00,117.59,WAUW
2057-01-05 21:00:00,116.41,WAUW
2057-01-05 22:00:00,117.02,WAUW
2057-01-05 23:00:00,115.79,WAUW
2057-01-06 00:00:00,125.24,WAUW
2057-01-06 01:00:00,125.7,WAUW
2057-01-06 02:00:00,125.42,WAUW
2057-01-06 03:00:00,124.44,WAUW
2057-01-06 04:00:00,122.12,WAUW
2057-01-06 05:00:00,119.67,WAUW
2057-01-06 06:00:00,117.3,WAUW
2057-01-06 07:00:00,114.92,WAUW
2057-01-06 08:00:00,112.09,WAUW
2057-01-06 09:00:00,110.14,WAUW
2057-01-06 10:00:00,109.62,WAUW
2057-01-06 11:00:00,109.93,WAUW
2057-01-06 12:00:00,111.17,WAUW
2057-01-06 13:00:00,112.39,WAUW
2057-01-06 14:00:00,113.4,WAUW
2057-01-06 15:00:00,114.34,WAUW
2057-01-06 16:00:00,116.68,WAUW
2057-01-06 17:00:00,117.09,WAUW
2057-01-06 18:00:00,114.72,WAUW
2057-01-06 19:00:00,111.89,WAUW
2057-01-06 20:00:00,109.94,WAUW
2057-01-06 21:00:00,108.67,WAUW
2057-01-06 22:00:00,108.24,WAUW
2057-01-06 23:00:00,108.43,WAUW
2057-01-07 00:00:00,118.36,WAUW
2057-01-07 01:00:00,118.14,WAUW
2057-01-07 02:00:00,117.98,WAUW
2057-01-07 03:00:00,116.92,WAUW
2057-01-07 04:00:00,114.83,WAUW
2057-01-07 05:00:00,112.45,WAUW
2057-01-07 06:00:00,110.18,WAUW
2057-01-07 07:00:00,107.49,WAUW
2057-01-07 08:00:00,105.29,WAUW
2057-01-07 09:00:00,104.77,WAUW
2057-01-07 10:00:00,104.8,WAUW
2057-01-07 11:00:00,106.39,WAUW
2057-01-07 12:00:00,108.08,WAUW
2057-01-07 13:00:00,109.5,WAUW
2057-01-07 14:00:00,110.97,WAUW
2057-01-07 15:00:00,112.44,WAUW
2057-01-07 16:00:00,115.91,WAUW
