FIPS,T2
1001,94.42
1003,95.99
1005,94.64
1007,92.97
1009,90.91
1011,94.44
1013,94.8
1015,90.55
1017,91.4
1019,90.79
1021,92.34
1023,95.05
1025,95.05
1027,89.11
1029,89.26
1031,96.53
1033,93.11
1035,95.97
1037,91.33
1039,97.43
1041,95.58
1043,91.47
1045,95.81
1047,95.94
1049,88.18
1051,93.83
1053,96.76
1055,90.66
1057,93.58
1059,92.46
1061,97.07
1063,96.58
1065,96.12
1067,95.43
1069,95.38
1071,89.22
1073,92.25
1075,94.71
1077,92.44
1079,91.83
1081,92.44
1083,91.6
1085,95.86
1087,93.67
1089,90.68
1091,96.73
1093,93.09
1095,90.43
1097,94.37
1099,94.96
1101,96.33
1103,91.53
1105,94.5
1107,94.77
1109,95.56
1111,89.53
1113,93.72
1115,91.22
1117,92.23
1119,96.35
1121,91.53
1123,91.6
1125,93.97
1127,93.07
1129,95.79
1131,95.99
1133,92.05
4001,91.96
4003,97.88
4005,96.73
4007,100.22
4009,100.27
4011,95.54
4012,113.45
4013,111.79
4015,104.13
4017,95.36
4019,105.76
4021,108.19
4023,97.5
4025,99.66
4027,114.71
5001,95.47
5003,98.15
5005,91.87
5007,93.69
5009,90.54
5011,97.75
5013,97.63
5015,91.08
5017,99.48
5019,97.88
5021,92.59
5023,91.96
5025,96.82
5027,99.88
5029,94.71
5031,93.49
5033,95.16
5035,94.86
5037,94.01
5039,97.25
5041,97.61
5043,96.85
5045,95.4
5047,93.96
5049,91.76
5051,94.71
5053,96.46
5055,93.09
5057,100.08
5059,96.17
5061,98.89
5063,93.33
5065,91.71
5067,94.01
5069,95.65
5071,92.68
5073,100.76
5075,93.81
5077,94.39
5079,95.59
5081,101.34
5083,94.84
5085,94.64
5087,89.22
5089,91.65
5091,101.57
5093,93.99
5095,94.89
5097,94.89
5099,99.07
5101,88.38
5103,98.67
5105,94.41
5107,94.75
5109,97.36
5111,93.92
5113,94.95
5115,93.15
5117,95.04
5119,95.59
5121,93.58
5123,94.41
5125,94.93
5127,94.78
5129,90.37
5131,97.09
5133,100.06
5135,92.8
5137,90.36
5139,99.01
5141,91.02
5143,93.04
5145,94.55
5147,94.53
5149,94.59
6001,97.77
6003,86.16
6005,101.79
6007,107.29
6009,102.78
6011,109.53
6013,103.69
6015,85.21
6017,96.53
6019,100.36
6021,107.83
6023,87.85
6025,115.18
6027,103.68
6029,105.66
6031,114.93
6033,100.33
6035,93.34
6037,98.78
6039,102.4
6041,89.01
6043,98.98
6045,91.92
6047,112.19
6049,93.81
6051,84.67
6053,97.97
6055,106.66
6057,96.4
6059,98.24
6061,97.75
6063,92.95
6065,109.29
6067,112.46
6069,102.58
6071,108.55
6073,98.13
6075,74.46
6077,111.45
6079,100.99
6081,86.36
6083,91.33
6085,102.11
6087,93.25
6089,100.71
6091,92.34
6093,93.72
6095,109.27
6097,98.64
6099,110.53
6101,113.79
6103,104.11
6105,94.15
6107,97.03
6109,92.26
6111,98.2
6113,111.78
6115,109.35
8001,98.83
8003,87.73
8005,96.94
8007,83.37
8009,101.23
8011,103.01
8013,87.17
8014,98.87
8015,77.79
8017,99.48
8019,73.22
8021,79.32
8023,81.66
8025,101.84
8027,81.32
8029,92.28
8031,98.17
8033,84.9
8035,91.94
8037,81.05
8039,94.68
8041,93.88
8043,88.47
8045,87.69
8047,78.94
8049,79.16
8051,79.09
8053,70.95
8055,88.63
8057,81.3
8059,88.68
8061,101.91
8063,98.69
8065,71.78
8067,85.21
8069,86.86
8071,94.08
8073,97.97
8075,100.85
8077,92.8
8079,73.09
8081,92.62
8083,91.71
8085,92.1
8087,100.9
8089,102.27
8091,81.34
8093,78.08
8095,100.33
8097,76.28
8099,103.98
8101,99.25
8103,89.67
8105,80.42
8107,84.24
8109,80.6
8111,68.9
8113,85.93
8115,100.09
8117,73.24
8119,81.18
8121,99.28
8123,99.99
8125,100.9
9001,82.69
9003,84.97
9005,82.04
9007,83.3
9009,82.26
9011,82.4
9013,83.23
9015,83.59
10001,82.69
10003,84.33
10005,82.29
11001,86.43
12001,89.91
12003,92.41
12005,92.41
12007,90.32
12009,92.46
12011,94.37
12013,95.77
12015,92.68
12017,90.01
12019,92.52
12021,94.06
12023,92.41
12027,94.66
12029,88.93
12031,91.8
12033,92.82
12035,91.98
12037,89.4
12039,94.77
12041,89.64
12043,95.56
12045,92.86
12047,91.94
12049,95.32
12051,96.06
12053,91.27
12055,95.34
12057,93.36
12059,97.47
12061,92.77
12063,95.61
12065,92.95
12067,91.98
12069,96.93
12071,91.0
12073,94.62
12075,89.29
12077,95.32
12079,93.76
12081,92.44
12083,92.57
12085,91.09
12086,93.38
12087,88.66
12089,92.1
12091,94.78
12093,94.21
12095,96.8
12097,96.69
12099,92.66
12101,93.67
12103,89.78
12105,96.24
12107,92.79
12109,91.4
12111,92.71
12113,95.85
12115,90.77
12117,97.23
12119,96.64
12121,91.58
12123,90.68
12125,90.12
12127,92.89
12129,91.98
12131,95.58
12133,97.81
13001,93.07
13003,92.77
13005,93.52
13007,93.97
13009,91.09
13011,89.31
13013,89.49
13015,89.11
13017,93.22
13019,92.28
13021,92.26
13023,92.46
13025,92.64
13027,91.26
13029,90.5
13031,92.28
13033,92.17
13035,91.08
13037,94.23
13039,92.88
13043,94.01
13045,88.74
13047,89.73
13049,92.61
13051,88.43
13053,92.55
13055,89.78
13057,87.96
13059,89.83
13061,94.73
13063,91.09
13065,92.57
13067,89.91
13069,93.06
13071,90.95
13073,89.64
13075,91.83
13077,89.91
13079,91.83
13081,92.88
13083,87.84
13085,86.09
13087,94.51
13089,90.93
13091,93.15
13093,92.23
13095,94.14
13097,89.58
13099,94.26
13101,92.71
13103,91.06
13105,89.94
13107,93.63
13109,92.86
13111,83.16
13113,90.25
13115,90.52
13117,88.48
13119,90.16
13121,90.27
13123,84.09
13125,90.46
13127,90.95
13129,89.31
13131,93.56
13133,90.07
13135,89.87
13137,86.85
13139,88.47
13141,90.43
13143,88.7
13145,90.75
13147,90.03
13149,89.92
13151,90.75
13153,92.86
13155,91.71
13157,89.98
13159,91.15
13161,92.62
13163,91.44
13165,93.34
13167,91.83
13169,91.36
13171,90.37
13173,92.59
13175,92.79
13177,93.24
13179,90.5
13181,89.91
13183,91.71
13185,91.99
13187,84.81
13189,89.58
13191,90.73
13193,92.26
13195,90.18
13197,91.42
13199,89.87
13201,93.43
13205,93.09
13207,91.26
13209,93.54
13211,90.64
13213,87.49
13215,92.48
13217,90.9
13219,89.82
13221,89.49
13223,88.88
13225,92.26
13227,86.22
13229,93.16
13231,90.09
13233,89.55
13235,92.35
13237,91.35
13239,94.35
13241,82.92
13243,94.08
13245,91.15
13247,90.81
13249,91.94
13251,93.24
13253,93.99
13255,90.3
13257,89.31
13259,93.04
13261,92.68
13263,90.39
13265,90.43
13267,92.89
13269,91.6
13271,93.51
13273,93.7
13275,91.81
13277,90.95
13279,94.06
13281,81.68
13283,93.24
13285,90.63
13287,92.53
13289,92.25
13291,82.87
13293,90.82
13295,88.81
13297,90.12
13299,92.59
13301,89.6
13303,90.99
13305,92.57
13307,92.39
13309,93.13
13311,84.96
13313,89.4
13315,93.27
13317,89.98
13319,91.44
13321,92.17
16001,103.64
16003,92.12
16005,94.17
16007,89.96
16009,95.74
16011,96.51
16013,90.48
16015,90.91
16017,91.49
16019,91.36
16021,87.73
16023,92.62
16025,89.35
16027,106.09
16029,90.41
16031,96.51
16033,89.53
16035,91.53
16037,82.65
16039,96.19
16041,94.8
16043,90.3
16045,99.7
16047,101.17
16049,87.49
16051,98.2
16053,102.36
16055,95.95
16057,97.95
16059,85.51
16061,95.92
16063,99.54
16065,94.75
16067,100.44
16069,101.53
16071,95.92
16073,97.14
16075,104.9
16077,96.89
16079,88.23
16081,88.41
16083,98.6
16085,84.58
16087,98.13
17001,86.58
17003,91.22
17005,88.48
17007,84.61
17009,87.96
17011,86.9
17013,90.3
17015,86.18
17017,88.9
17019,90.05
17021,87.91
17023,89.26
17025,90.0
17027,88.59
17029,89.82
17031,73.58
17033,89.44
17035,90.01
17037,85.33
17039,88.43
17041,89.87
17043,86.18
17045,88.66
17047,90.12
17049,89.31
17051,88.68
17053,89.56
17055,89.46
17057,88.75
17059,89.46
17061,89.22
17063,87.33
17065,90.09
17067,86.81
17069,89.53
17071,87.39
17073,87.33
17075,89.04
17077,89.74
17079,90.16
17081,89.22
17083,89.37
17085,85.59
17087,90.7
17089,85.28
17091,87.84
17093,86.36
17095,88.3
17097,67.44
17099,87.15
17101,89.42
17103,85.57
17105,88.57
17107,88.81
17109,87.44
17111,83.98
17113,88.61
17115,88.45
17117,87.82
17119,88.29
17121,89.13
17123,87.98
17125,90.43
17127,91.18
17129,89.28
17131,87.93
17133,88.75
17135,87.44
17137,88.36
17139,89.4
17141,85.55
17143,88.43
17145,88.48
17147,89.04
17149,88.21
17151,90.12
17153,91.63
17155,88.5
17157,88.65
17159,90.09
17161,87.64
17163,88.9
17165,89.89
17167,88.68
17169,87.85
17171,88.72
17173,88.5
17175,87.35
17177,85.12
17179,89.13
17181,90.19
17183,88.41
17185,89.71
17187,87.89
17189,88.11
17191,90.05
17193,89.98
17195,87.01
17197,86.9
17199,90.07
17201,85.8
17203,88.52
18001,85.69
18003,85.84
18005,86.9
18007,87.13
18009,85.14
18011,85.84
18013,87.49
18015,85.5
18017,85.89
18019,87.94
18021,88.41
18023,85.44
18025,88.38
18027,88.65
18029,86.49
18031,85.35
18033,85.1
18035,85.77
18037,89.38
18039,87.12
18041,84.96
18043,88.52
18045,88.09
18047,85.98
18049,86.23
18051,89.17
18053,85.64
18055,87.94
18057,86.5
18059,85.08
18061,88.36
18063,85.8
18065,84.04
18067,85.5
18069,85.42
18071,87.62
18073,87.62
18075,85.71
18077,86.85
18079,86.81
18081,86.74
18083,88.68
18085,86.09
18087,86.38
18089,80.82
18091,84.22
18093,88.14
18095,86.2
18097,86.94
18099,86.47
18101,88.9
18103,85.59
18105,87.73
18107,86.22
18109,86.7
18111,87.66
18113,85.32
18115,87.13
18117,88.61
18119,87.46
18121,87.91
18123,88.86
18125,89.26
18127,81.03
18129,89.24
18131,87.46
18133,86.72
18135,85.06
18137,85.71
18139,84.67
18141,87.13
18143,87.24
18145,85.86
18147,89.31
18149,87.57
18151,85.51
18153,88.95
18155,87.19
18157,86.59
18159,85.78
18161,85.08
18163,89.51
18165,88.2
18167,88.75
18169,85.41
18171,88.09
18173,89.19
18175,87.6
18177,84.22
18179,85.53
18181,86.5
18183,85.28
19001,88.93
19003,89.42
19005,84.16
19007,88.12
19009,88.18
19011,86.79
19013,85.14
19015,88.65
19017,84.52
19019,84.6
19021,86.72
19023,84.69
19025,86.14
19027,88.54
19029,88.79
19031,85.3
19033,83.84
19035,88.88
19037,83.55
19039,89.19
19041,86.77
19043,84.81
19045,86.13
19047,88.36
19049,90.05
19051,89.26
19053,89.35
19055,84.13
19057,86.88
19059,86.7
19061,84.78
19063,84.83
19065,84.54
19067,83.82
19069,84.15
19071,90.81
19073,89.28
19075,85.95
19077,89.17
19079,85.48
19081,84.34
19083,84.94
19085,91.45
19087,87.6
19089,82.31
19091,85.06
19093,87.37
19095,87.3
19097,85.59
19099,88.97
19101,88.54
19103,86.43
19105,84.49
19107,88.79
19109,84.76
19111,87.76
19113,85.66
19115,86.83
19117,89.31
19119,89.85
19121,90.07
19123,90.32
19125,89.24
19127,87.24
19129,91.11
19131,82.83
19133,91.65
19135,90.57
19137,89.96
19139,86.85
19141,88.12
19143,88.27
19145,90.25
19147,84.87
19149,90.81
19151,85.32
19153,90.7
19155,90.32
19157,87.98
19159,89.47
19161,87.19
19163,86.97
19165,88.25
19167,90.03
19169,87.53
19171,87.51
19173,89.26
19175,88.99
19177,88.97
19179,90.5
19181,90.0
19183,87.3
19185,87.64
19187,85.77
19189,83.95
19191,83.32
19193,90.63
19195,83.19
19197,84.56
20001,92.77
20003,91.89
20005,92.68
20007,103.14
20009,100.89
20011,92.97
20013,91.24
