FIPS,T2,Q2,U10,V10,SWDOWN,GLW
1001,305.63,0.01469,0.68,-2.98,954.23,417.09
1003,305.55,0.01647,0.42,-1.79,959.62,422.9
1005,305.59,0.01445,0.0,-1.76,946.55,416.25
1007,305.07,0.01387,-0.45,-1.97,957.89,409.29
1009,304.3,0.01279,0.41,-3.2,958.36,399.09
1011,305.08,0.0149,0.51,-1.7,947.6,416.0
1013,305.05,0.01542,0.0,-1.87,951.86,418.36
1015,303.92,0.01416,0.83,-2.24,951.19,402.91
1017,304.06,0.01474,0.87,-1.51,946.81,408.53
1019,304.23,0.01373,0.55,-1.96,948.57,403.4
1021,304.7,0.01477,0.36,-2.42,954.82,410.6
1023,305.32,0.01445,-0.32,-2.65,964.01,413.55
1025,305.31,0.01552,-0.27,-2.87,957.35,420.9
1027,303.42,0.01462,1.28,-2.67,953.31,401.06
1029,303.06,0.01465,1.1,-2.51,951.68,398.16
1031,305.88,0.0146,0.61,-2.3,821.51,431.43
1033,305.36,0.01268,-0.24,-3.07,960.14,403.32
1035,305.13,0.01588,0.02,-2.54,954.44,418.83
1037,304.29,0.01491,0.64,-2.56,951.99,409.32
1039,305.81,0.01527,0.22,-2.55,952.08,421.6
1041,305.31,0.01497,0.25,-2.01,951.6,417.81
1043,304.27,0.0131,0.13,-3.08,960.22,398.43
1045,306.08,0.01419,0.29,-1.99,853.14,428.13
1047,305.56,0.01527,0.4,-2.85,953.92,419.31
1049,303.28,0.01268,0.91,-3.33,956.39,391.52
1051,305.37,0.01484,0.34,-2.15,949.3,417.07
1053,305.93,0.01547,-0.09,-3.04,956.24,423.44
1055,304.3,0.01314,0.6,-2.85,954.66,400.31
1057,305.69,0.01299,-0.89,-2.47,959.46,408.95
1059,305.02,0.01261,-0.43,-2.98,961.37,401.56
1061,306.41,0.01516,0.33,-1.99,949.47,424.64
1063,306.47,0.01336,-0.32,-2.45,961.58,414.81
1065,306.12,0.01342,-0.78,-2.11,960.36,414.3
1067,306.01,0.01441,-0.17,-2.2,949.06,418.97
1069,306.04,0.0155,0.3,-1.52,928.14,426.68
1071,303.64,0.0127,0.53,-3.48,955.73,391.58
1073,304.86,0.01313,-0.18,-2.82,958.73,404.01
1075,306.11,0.01276,-0.32,-2.5,961.39,409.74
1077,304.87,0.01289,0.25,-3.09,960.32,401.16
1079,304.47,0.01331,-0.17,-3.07,959.25,401.32
1081,304.57,0.01488,0.62,-1.81,946.38,411.76
1083,304.46,0.01292,-0.1,-3.23,957.09,400.25
1085,305.85,0.01494,0.39,-2.04,951.59,420.98
1087,305.41,0.01489,0.38,-2.03,947.78,417.38
1089,304.08,0.01309,0.46,-3.71,957.26,396.08
1091,305.65,0.01445,-0.21,-2.59,960.41,415.22
1093,305.45,0.01246,-0.51,-2.72,960.95,404.59
1095,304.27,0.01261,0.39,-3.46,957.37,396.37
1097,305.36,0.01668,-0.03,-1.85,960.33,422.5
1099,305.05,0.01586,-0.24,-2.27,955.35,419.71
1101,305.9,0.01465,0.11,-1.99,950.6,419.77
1103,304.42,0.01292,0.2,-3.28,958.16,399.06
1105,305.16,0.0146,-0.08,-2.28,958.36,412.83
1107,306.4,0.01309,-0.6,-2.38,961.6,412.87
1109,305.42,0.01469,0.46,-2.39,950.44,415.96
1111,303.76,0.0144,1.06,-2.4,949.54,404.01
